date,OPEN,MIN,MAX,CLOSE,"VOLUME, RUB","NAV, USD"
25 02 22,"92,00","89,00","95,30","93,88","185800668,33","139099711,78"
24 02 22,"108,29","89,04","108,29","92,90","350761656,94","146152558,33"
22 02 22,"101,74","98,22","105,00","100,59","413692525,98","146614564,94"
21 02 22,"97,45","95,11","102,89","101,73","672512622,46",-
18 02 22,"97,18","96,09","98,45","98,18","220851681,88","146120216,94"
17 02 22,"94,90","94,75","97,39","97,28","194519475,67","146110451,75"
16 02 22,"94,05","93,35","94,74","94,62","40806607,78","143731768,18"
15 02 22,"95,79","93,40","96,90","94,05","165675805,66","142649441,31"
14 02 22,"96,40","94,75","97,34","96,65","259913281,85","144009214,25"
11 02 22,"92,49","91,77","96,90","96,40","167946858,37","141313908,99"
10 02 22,"92,30","91,34","92,71","92,38","56636348,62","141639721,44"
09 02 22,"91,90","91,60","92,53","92,23","167873572,17","141058865,40"
08 02 22,"92,48","91,66","92,48","92,17","39769872,75","140659412,00"
07 02 22,"92,12","91,74","92,62","92,48","35352977,19","139962867,27"
04 02 22,"93,20","91,66","93,21","92,04","45253529,37","139285163,61"
03 02 22,"93,35","91,72","94,60","92,85","66030658,02","138360917,81"
31 01 22,"93,50","92,64","93,66","93,48","86853366,00","138563356,36"
28 01 22,"94,62","92,86","94,62","93,54","44894451,00","138019952,62"
27 01 22,"96,90","93,64","96,94","94,20","221407897,40","139457157,84"
26 01 22,"97,42","96,46","99,00","96,94","270269530,20","141712340,78"
25 01 22,"97,26","94,12","98,38","97,42","210588121,20","142590058,43"
24 01 22,"95,36","94,42","98,00","97,26","267944953,20","141380324,54"
21 01 22,"94,90","93,98","95,48","95,04","80618093,40","141849053,34"
20 01 22,"94,28","93,80","95,02","94,90","140535773,40","142448750,48"
19 01 22,"93,30","92,42","94,60","94,10","95778835,60","141029926,79"
18 01 22,"92,96","92,38","93,62","93,48","148837357,60","142114797,47"
17 01 22,"92,80","91,80","93,74","92,86","101566216,20","142163678,97"
14 01 22,"92,54","91,54","94,10","92,90","146704216,00","142567533,21"
13 01 22,"91,48","90,96","93,30","93,12","93344790,20","142366188,01"
12 01 22,"90,60","90,60","91,64","91,52","31719849,00","144897904,86"
11 01 22,"90,60","90,54","91,34","91,02","32325601,80","143738920,51"
10 01 22,"91,14","90,08","91,14","90,58","50011934,40","142737387,55"
06 01 22,"93,20","91,46","93,20","91,66","79985345,00","144163520,97"
05 01 22,"91,80","91,74","93,40","93,20","120538312,60","147137855,66"
