id;date;tonepr;rate_shock_abs;rate_shock_rel;toneev;OPEN;h;TRADEDATE;CLOSE;spread;year;trans;trust
3;2014-02-14;-7.115753204379045;0.0;0.0;-8.935623510196278;33.0;0;2014-02-14;33.19;0.5741064265402773;2014.0;6.2;0.36
4;2014-03-03;-3.6033172251667085;0.0;0.0;;35.43;0;2014-03-03;35.2;-0.6512836273329103;2014.0;6.2;0.36
5;2014-03-14;-8.123946743760223;0.0;0.0;;36.03;0;2014-03-14;36.61;1.5969502372143118;2014.0;6.2;0.36
6;2014-04-25;-6.852045907510162;0.5;0.07142857142857142;;33.44;0;2014-04-25;33.81;1.1003828503294066;2014.0;6.2;0.36
7;2014-06-16;-6.204978674133912;0.0;0.0;-8.390548496021786;31.8;0;2014-06-16;31.97;0.5331673285619232;2014.0;6.2;0.36
9;2014-09-12;-5.80073801013683;0.0;0.0;-7.212114985002717;33.4;0;2014-09-12;33.44;0.11968882338462272;2014.0;6.2;0.36
10;2014-10-31;-7.8620151245781535;1.5;0.1875;;35.39;0;2014-10-31;35.72;0.9281461650926026;2014.0;6.2;0.36
11;2014-12-11;-6.766651719138959;1.0;0.10526315789473684;-9.310849410836532;47.7;0;2014-12-11;48.7;2.0747632194248578;2014.0;6.2;0.36
12;2014-12-16;-2.1958892020342677;0.0;0.0;;51.0;0;2014-12-16;61.65;18.96475968860272;2014.0;6.2;0.36
13;2015-01-30;-6.722367496937038;-2.0;-0.11764705882352941;;62.3;0;2015-01-30;63.95;2.6140102231444473;2015.0;7.2;0.46
14;2015-03-13;-5.121355845086528;-1.0;-0.06666666666666667;-8.869886752654205;51.2;0;2015-03-13;50.85;-0.6859409550893147;2015.0;7.2;0.46
15;2015-04-30;-6.357559135066115;-1.5;-0.10714285714285714;;44.4;0;2015-04-30;43.45;-2.1628617726777932;2015.0;7.2;0.46
16;2015-06-15;-6.702271100625785;-1.0;-0.08;-9.070159373225193;47.1;0;2015-06-15;46.65;-0.9600073729019609;2015.0;7.2;0.46
17;2015-07-31;-4.965063311513991;-0.5;-0.043478260869565216;;47.1;0;2015-07-31;48.15;2.2048137221762243;2015.0;7.2;0.46
18;2015-09-11;-5.917393391912702;0.0;0.0;-7.572947587883636;54.4;0;2015-09-11;53.95;-0.8306462157753103;2015.0;7.2;0.46
19;2015-10-30;-5.713729522307707;0.0;0.0;;53.35;0;2015-10-30;52.6;-1.4157858004097967;2015.0;7.2;0.46
20;2015-12-11;-6.165860047144953;0.0;0.0;-9.343946130718301;53.2;0;2015-12-11;54.3;2.0465830592291123;2015.0;7.2;0.46
21;2016-01-29;-6.873474388452071;0.0;0.0;;60.5;0;2016-01-29;60.45;-0.08267879759937813;2016.0;7.3;0.42
22;2016-03-18;-5.701132764428126;0.0;0.0;-8.11760735565921;63.0;0;2016-03-18;60.95;-3.308087046425179;2016.0;7.3;0.42
23;2016-04-29;-4.285522624905351;0.0;0.0;;58.8;0;2016-04-29;59.9;1.8534650216822435;2016.0;7.3;0.42
24;2016-06-10;-5.141967837852538;-0.5;-0.045454545454545456;-9.193270211467983;58.5;0;2016-06-10;58.9;0.6814336419729727;2016.0;7.3;0.42
25;2016-07-29;-5.153685756911098;0.0;0.0;;63.35;0;2016-07-29;63.2;-0.23706056143364407;2016.0;7.3;0.42
26;2016-09-16;-5.3945856676447;-0.5;-0.047619047619047616;-10.85829096445404;61.15;0;2016-09-16;60.85;-0.4918042699644687;2016.0;7.3;0.42
