id;date;tonepr;rate_shock_abs;rate_shock_rel;toneev;OPEN;h;TRADEDATE;CLOSE;spread;year;trans;trust
0;2013-10-14;-3.9663142380360257;0.0;0.0;;1511.81;0;2013-10-14;1510.2;-0.10655160984391898;2013.0;3.5;
1;2013-11-08;-4.879730164752349;0.0;0.0;;1508.61;0;2013-11-08;1489.55;-1.2714636158449366;2013.0;3.5;
2;2013-12-13;-4.583010579059484;0.0;0.0;;1449.74;0;2013-12-13;1452.76;0.20809654365701036;2013.0;3.5;
3;2014-02-14;-7.115753204379045;0.0;0.0;-8.935623510196278;1478.77;0;2014-02-14;1496.18;1.1704532014326752;2014.0;6.2;0.36
4;2014-03-03;-3.6033172251667085;0.0;0.0;;1438.02;0;2014-03-03;1288.81;-10.954785540164913;2014.0;6.2;0.36
5;2014-03-14;-8.123946743760223;0.0;0.0;;1248.29;0;2014-03-14;1237.43;-0.8737966543718834;2014.0;6.2;0.36
6;2014-04-25;-6.852045907510162;0.5;0.07142857142857142;;1300.53;0;2014-04-25;1280.12;-1.5818050153987073;2014.0;6.2;0.36
7;2014-06-16;-6.204978674133912;0.0;0.0;-8.390548496021786;1501.17;0;2014-06-16;1493.93;-0.48345725363159175;2014.0;6.2;0.36
8;2014-07-25;-5.930010197789854;0.5;0.06666666666666667;;1408.19;0;2014-07-25;1388.41;-1.4145984298807868;2014.0;6.2;0.36
9;2014-09-12;-5.80073801013683;0.0;0.0;-7.212114985002717;1449.4;0;2014-09-12;1458.52;0.6272545257123063;2014.0;6.2;0.36
10;2014-10-31;-7.8620151245781535;1.5;0.1875;;1453.89;0;2014-10-31;1488.47;2.350602387316414;2014.0;6.2;0.36
11;2014-12-11;-6.766651719138959;1.0;0.10526315789473684;-9.310849410836532;1486.89;0;2014-12-11;1455.04;-2.1653298642073437;2014.0;6.2;0.36
12;2014-12-16;-2.1958892020342677;0.0;0.0;;1424.72;0;2014-12-16;1444.32;1.3663319382094308;2014.0;6.2;0.36
13;2015-01-30;-6.722367496937038;-2.0;-0.11764705882352941;;1640.56;0;2015-01-30;1647.69;0.433666003148403;2015.0;7.2;0.46
14;2015-03-13;-5.121355845086528;-1.0;-0.06666666666666667;-8.869886752654205;1664.59;0;2015-03-13;1627.88;-2.2300292072658046;2015.0;7.2;0.46
15;2015-04-30;-6.357559135066115;-1.5;-0.10714285714285714;;1670.99;0;2015-04-30;1688.34;1.0329532537170394;2015.0;7.2;0.46
16;2015-06-15;-6.702271100625785;-1.0;-0.08;-9.070159373225193;1652.29;0;2015-06-15;1657.29;0.3021533731788928;2015.0;7.2;0.46
17;2015-07-31;-4.965063311513991;-0.5;-0.043478260869565216;;1636.72;0;2015-07-31;1669.0;1.953040551426355;2015.0;7.2;0.46
18;2015-09-11;-5.917393391912702;0.0;0.0;-7.572947587883636;1718.88;0;2015-09-11;1718.06;-0.047716865325408975;2015.0;7.2;0.46
19;2015-10-30;-5.713729522307707;0.0;0.0;;1708.51;0;2015-10-30;1711.53;0.17660616746830726;2015.0;7.2;0.46
20;2015-12-11;-6.165860047144953;0.0;0.0;-9.343946130718301;1732.9;0;2015-12-11;1720.31;-0.7291798520497217;2015.0;7.2;0.46
21;2016-01-29;-6.873474388452071;0.0;0.0;;1772.01;0;2016-01-29;1784.92;0.7259100792254891;2016.0;7.3;0.42
22;2016-03-18;-5.701132764428126;0.0;0.0;-8.11760735565921;1892.81;0;2016-03-18;1914.02;1.1143244890573278;2016.0;7.3;0.42
23;2016-04-29;-4.285522624905351;0.0;0.0;;1970.46;0;2016-04-29;1953.05;-0.8874764825162806;2016.0;7.3;0.42
24;2016-06-10;-5.141967837852538;-0.5;-0.045454545454545456;-9.193270211467983;1926.91;0;2016-06-10;1903.61;-1.2165600163688062;2016.0;7.3;0.42
25;2016-07-29;-5.153685756911098;0.0;0.0;;1952.82;0;2016-07-29;1944.62;-0.42078965163625526;2016.0;7.3;0.42
26;2016-09-16;-5.3945856676447;-0.5;-0.047619047619047616;-10.85829096445404;1998.14;0;2016-09-16;1981.96;-0.8130493772207537;2016.0;7.3;0.42
27;2016-10-28;-4.247185051924369;0.0;0.0;;1979.87;0;2016-10-28;1981.76;0.09541527822589657;2016.0;7.3;0.42
28;2016-12-16;-5.224522362458918;0.0;0.0;-10.216359289229997;2239.08;0;2016-12-16;2231.41;-0.34313945566806225;2016.0;7.3;0.42
29;2017-02-03;-5.972102867541159;0.0;0.0;;2219.49;0;2017-02-03;2226.61;0.3202809692272268;2017.0;7.3;0.42
30;2017-03-24;-5.976451086367311;-0.25;-0.025;-10.138329717317747;2047.78;0;2017-03-24;2039.77;-0.3919223130238514;2017.0;7.3;0.42
31;2017-04-28;-5.21082435941742;-0.5;-0.05128205128205128;;2021.74;0;2017-04-28;2016.71;-0.2491056024504168;2017.0;7.3;0.42
32;2017-06-16;-7.684616045968009;-0.25;-0.02702702702702703;-10.174987300916673;1818.87;0;2017-06-16;1822.91;0.2218696163567735;2017.0;7.3;0.42
33;2017-07-28;-6.918267496173505;0.0;0.0;;1940.79;0;2017-07-28;1916.75;-1.246406322308058;2017.0;7.3;0.42
34;2017-09-15;-6.07203453661727;-0.5;-0.05555555555555555;-9.913927689711194;2051.47;0;2017-09-15;2053.81;0.11399954465565187;2017.0;7.3;0.42
35;2017-10-27;-6.287036696946751;-0.25;-0.029411764705882353;;2050.35;0;2017-10-27;2068.76;0.8938883683776488;2017.0;7.3;0.42
36;2017-12-15;-5.998248009886984;-0.5;-0.06060606060606061;-11.196960498692736;2151.23;0;2017-12-15;2143.99;-0.3371192561426817;2017.0;7.3;0.42
37;2018-02-09;-6.401688974617332;-0.25;-0.03225806451612903;;2209.67;0;2018-02-09;2197.12;-0.5695771266027272;2018.0;8.3;0.37
38;2018-03-23;-5.552171264241022;-0.25;-0.03333333333333333;-9.722331379666498;2272.32;0;2018-03-23;2285.53;0.579660892250633;2018.0;8.3;0.37
39;2018-04-27;-8.344887492231212;0.0;0.0;;2287.95;0;2018-04-27;2301.49;0.5900519141408544;2018.0;8.3;0.37
40;2018-06-15;-6.937044868810566;0.0;0.0;-10.920530030516979;2254.09;0;2018-06-15;2237.53;-0.7373764937308458;2018.0;8.3;0.37
41;2018-07-27;-6.639924651131026;0.0;0.0;;2293.87;0;2018-07-27;2292.72;-0.05014618808738547;2018.0;8.3;0.37
42;2018-09-14;-5.499105185917299;0.25;0.034482758620689655;-9.19299204523229;2359.06;0;2018-09-14;2360.26;0.05085478525987952;2018.0;8.3;0.37
43;2018-10-26;-6.27864300831847;0.0;0.0;;2328.82;0;2018-10-26;2293.22;-1.5404758075097114;2018.0;8.3;0.37
44;2018-12-14;-5.679919386241788;0.25;0.03333333333333333;-7.63212588713131;2376.87;0;2018-12-14;2365.69;-0.4714761947130164;2018.0;8.3;0.37
45;2019-02-08;-5.475785033299257;0.0;0.0;;2508.85;0;2019-02-08;2502.82;-0.2406384662126726;2019.0;8.3;0.31
46;2019-03-22;-5.734642773662598;0.0;0.0;-10.016770691126691;2507.96;0;2019-03-22;2492.7;-0.610321332326258;2019.0;8.3;0.31
47;2019-04-26;-6.678236802449576;0.0;0.0;;2560.7;0;2019-04-26;2563.72;0.11786701127665111;2019.0;8.3;0.31
48;2019-06-14;-6.502453963007933;-0.25;-0.03225806451612903;-9.733010654624437;2757.58;0;2019-06-14;2739.28;-0.665837136443681;2019.0;8.3;0.31
49;2019-07-26;-5.605500660743729;-0.25;-0.03333333333333333;;2697.21;0;2019-07-26;2715.68;0.6824477011098118;2019.0;8.3;0.31
50;2019-09-06;-6.138628403532102;-0.25;-0.034482758620689655;-10.698152053449348;2805.95;0;2019-09-06;2797.55;-0.29981284169329214;2019.0;8.3;0.31
51;2019-10-25;-5.6597367935254175;-0.5;-0.07142857142857142;;2876.1;0;2019-10-25;2873.41;-0.09357319828220412;2019.0;8.3;0.31
52;2019-12-13;-5.856208063622337;-0.25;-0.038461538461538464;-9.722331379666498;2990.92;0;2019-12-13;2996.63;0.19072915402684743;2019.0;8.3;0.31
53;2020-02-07;-5.802286649755645;-0.25;-0.04;-9.91532356906116;3101.08;0;2020-02-07;3087.63;-0.43466315843296854;2020.0;9.3;0.33
54;2020-03-20;-7.266085381653719;0.0;0.0;-10.205676920261253;2327.27;0;2020-03-20;2331.61;0.18631092689274098;2020.0;9.3;0.33
55;2020-04-24;-5.7826801597065;-0.5;-0.08333333333333333;-9.803209180032233;2588.29;0;2020-04-24;2562.03;-1.019751299445204;2020.0;9.3;0.33
56;2020-06-19;-6.434003367385449;-1.0;-0.18181818181818182;-9.963173466248818;2739.04;0;2020-06-19;2758.67;0.71411854833201;2020.0;9.3;0.33
57;2020-07-24;-5.680871983653696;-0.25;-0.05555555555555555;-9.705252163864229;2835.15;0;2020-07-24;2863.12;0.9817093480813277;2020.0;9.3;0.33
58;2020-09-18;-5.744939403606889;0.0;0.0;-10.96777100241738;2976.1;0;2020-09-18;2951.79;-0.8201952560441761;2020.0;9.3;0.33
59;2020-10-23;-5.745142552313903;0.0;0.0;-9.921480153055436;2807.3;0;2020-10-23;2816.7;0.3342819613552983;2020.0;9.3;0.33
60;2020-12-18;-5.594341555113338;0.0;0.0;-11.264777825907201;3281.59;0;2020-12-18;3273.75;-0.23919441975497335;2020.0;9.3;0.33
61;2021-02-12;-5.820539028880427;0.0;0.0;-9.06933487555284;3403.07;0;2021-02-12;3427.08;0.7030621260259551;2021.0;9.8;0.32
62;2021-03-19;-5.3567417055260815;0.25;0.058823529411764705;-10.47012459059856;3473.84;0;2021-03-19;3475.26;0.0408686022582927;2021.0;9.8;0.32
63;2021-04-23;-5.530048451384545;0.5;0.1111111111111111;-10.174987300916673;3598.76;0;2021-04-23;3597.17;-0.044191647941893564;2021.0;9.8;0.32
64;2021-06-11;-4.9225962021980605;0.5;0.1;-9.196092175684617;3838.98;0;2021-06-11;3841.53;0.06640184294273155;2021.0;9.8;0.32
65;2021-07-23;-5.530025961481924;1.0;0.18181818181818182;-10.152931560437063;3760.33;0;2021-07-23;3734.54;-0.6882067811874393;2021.0;9.8;0.32
66;2021-09-10;-5.912915441521451;0.25;0.038461538461538464;-10.814859030199948;3993.53;0;2021-09-10;4002.66;0.22835885509415732;2021.0;9.8;0.32
67;2021-10-22;-5.860373883757891;0.75;0.1111111111111111;-11.27328322686144;4218.5;0;2021-10-22;4196.96;-0.5119160934615508;2021.0;9.8;0.32
68;2021-12-17;-6.725061219611952;1.0;0.13333333333333333;-10.478622411220416;3725.04;0;2021-12-17;3723.27;-0.0475275608378567;2021.0;9.8;0.32
0;2013-10-15;-3.9663142380360257;0.0;0.0;;1511.81;1;2013-10-15;1531.67;1.3051034930108507;2013.0;3.5;
4;2014-03-04;-3.6033172251667085;0.0;0.0;;1438.02;1;2014-03-04;1356.54;-5.832982707383572;2014.0;6.2;0.36
7;2014-06-17;-6.204978674133912;0.0;0.0;-8.390548496021786;1501.17;1;2014-06-17;1486.38;-0.9901170407652593;2014.0;6.2;0.36
11;2014-12-12;-6.766651719138959;1.0;0.10526315789473684;-9.310849410836532;1486.89;1;2014-12-12;1459.68;-1.8469456681555307;2014.0;6.2;0.36
12;2014-12-17;-2.1958892020342677;0.0;0.0;;1424.72;1;2014-12-17;1413.79;-0.7701261592139907;2014.0;6.2;0.36
16;2015-06-16;-6.702271100625785;-1.0;-0.08;-9.070159373225193;1652.29;1;2015-06-16;1668.82;0.995458536540017;2015.0;7.2;0.46
39;2018-04-28;-8.344887492231212;0.0;0.0;;2287.95;1;2018-04-28;2297.3;0.40783001840738464;2018.0;8.3;0.37
0;2013-10-16;-3.9663142380360257;0.0;0.0;;1511.81;2;2013-10-16;1531.57;1.2985744583915881;2013.0;3.5;
4;2014-03-05;-3.6033172251667085;0.0;0.0;;1438.02;2;2014-03-05;1351.11;-6.234069057493574;2014.0;6.2;0.36
7;2014-06-18;-6.204978674133912;0.0;0.0;-8.390548496021786;1501.17;2;2014-06-18;1494.28;-0.46003185838827676;2014.0;6.2;0.36
12;2014-12-18;-2.1958892020342677;0.0;0.0;;1424.72;2;2014-12-18;1477.27;3.6220486636212357;2014.0;6.2;0.36
16;2015-06-17;-6.702271100625785;-1.0;-0.08;-9.070159373225193;1652.29;2;2015-06-17;1664.66;0.745869388889453;2015.0;7.2;0.46
0;2013-10-17;-3.9663142380360257;0.0;0.0;;1511.81;3;2013-10-17;1512.32;0.033728709072367025;2013.0;3.5;
1;2013-11-11;-4.879730164752349;0.0;0.0;;1508.61;3;2013-11-11;1483.46;-1.6811499955090348;2013.0;3.5;
2;2013-12-16;-4.583010579059484;0.0;0.0;;1449.74;3;2013-12-16;1470.22;1.4027819447036904;2013.0;3.5;
3;2014-02-17;-7.115753204379045;0.0;0.0;-8.935623510196278;1478.77;3;2014-02-17;1507.49;1.9235354942430227;2014.0;6.2;0.36
4;2014-03-06;-3.6033172251667085;0.0;0.0;;1438.02;3;2014-03-06;1337.98;-7.210615349676885;2014.0;6.2;0.36
5;2014-03-17;-8.123946743760223;0.0;0.0;;1248.29;3;2014-03-17;1283.7;2.797191836077939;2014.0;6.2;0.36
6;2014-04-28;-6.852045907510162;0.5;0.07142857142857142;;1300.53;3;2014-04-28;1299.13;-0.10770640278661148;2014.0;6.2;0.36
7;2014-06-19;-6.204978674133912;0.0;0.0;-8.390548496021786;1501.17;3;2014-06-19;1495.09;-0.40583983666975243;2014.0;6.2;0.36
8;2014-07-28;-5.930010197789854;0.5;0.06666666666666667;;1408.19;3;2014-07-28;1361.94;-3.339503792012799;2014.0;6.2;0.36
9;2014-09-15;-5.80073801013683;0.0;0.0;-7.212114985002717;1449.4;3;2014-09-15;1454.19;0.32993668839313983;2014.0;6.2;0.36
10;2014-11-03;-7.8620151245781535;1.5;0.1875;;1453.89;3;2014-11-03;1491.19;2.5331736038666897;2014.0;6.2;0.36
12;2014-12-19;-2.1958892020342677;0.0;0.0;;1424.72;3;2014-12-19;1449.13;1.6988073174837304;2014.0;6.2;0.36
13;2015-02-02;-6.722367496937038;-2.0;-0.11764705882352941;;1640.56;3;2015-02-02;1625.31;-0.9339080147042544;2015.0;7.2;0.46
14;2015-03-16;-5.121355845086528;-1.0;-0.06666666666666667;-8.869886752654205;1664.59;3;2015-03-16;1609.85;-3.343783990844784;2015.0;7.2;0.46
16;2015-06-18;-6.702271100625785;-1.0;-0.08;-9.070159373225193;1652.29;3;2015-06-18;1660.14;0.47397316748645224;2015.0;7.2;0.46
17;2015-08-03;-4.965063311513991;-0.5;-0.043478260869565216;;1636.72;3;2015-08-03;1663.74;1.637384102527939;2015.0;7.2;0.46
18;2015-09-14;-5.917393391912702;0.0;0.0;-7.572947587883636;1718.88;3;2015-09-14;1729.75;0.6303973460688894;2015.0;7.2;0.46
19;2015-11-02;-5.713729522307707;0.0;0.0;;1708.51;3;2015-11-02;1735.75;1.5817951007662145;2015.0;7.2;0.46
20;2015-12-14;-6.165860047144953;0.0;0.0;-9.343946130718301;1732.9;3;2015-12-14;1708.7;-1.4063458191971634;2015.0;7.2;0.46
21;2016-02-01;-6.873474388452071;0.0;0.0;;1772.01;3;2016-02-01;1773.21;0.06769678868048246;2016.0;7.3;0.42
22;2016-03-21;-5.701132764428126;0.0;0.0;-8.11760735565921;1892.81;3;2016-03-21;1904.5;0.6157009530132207;2016.0;7.3;0.42
25;2016-08-01;-5.153685756911098;0.0;0.0;;1952.82;3;2016-08-01;1947.36;-0.2799872604277276;2016.0;7.3;0.42
26;2016-09-19;-5.3945856676447;-0.5;-0.047619047619047616;-10.85829096445404;1998.14;3;2016-09-19;1986.97;-0.560588252383365;2016.0;7.3;0.42
27;2016-10-31;-4.247185051924369;0.0;0.0;;1979.87;3;2016-10-31;1989.64;0.49225318632908355;2016.0;7.3;0.42
28;2016-12-19;-5.224522362458918;0.0;0.0;-10.216359289229997;2239.08;3;2016-12-19;2215.69;-1.0501199812490647;2016.0;7.3;0.42
29;2017-02-06;-5.972102867541159;0.0;0.0;;2219.49;3;2017-02-06;2210.51;-0.4054181625233966;2017.0;7.3;0.42
30;2017-03-27;-5.976451086367311;-0.25;-0.025;-10.138329717317747;2047.78;3;2017-03-27;2013.16;-1.705065267492678;2017.0;7.3;0.42
32;2017-06-19;-7.684616045968009;-0.25;-0.02702702702702703;-10.174987300916673;1818.87;3;2017-06-19;1849.78;1.685128395733404;2017.0;7.3;0.42
33;2017-07-31;-6.918267496173505;0.0;0.0;;1940.79;3;2017-07-31;1919.53;-1.1014742273294686;2017.0;7.3;0.42
34;2017-09-18;-6.07203453661727;-0.5;-0.05555555555555555;-9.913927689711194;2051.47;3;2017-09-18;2059.08;0.3702671756471432;2017.0;7.3;0.42
35;2017-10-30;-6.287036696946751;-0.25;-0.029411764705882353;;2050.35;3;2017-10-30;2065.25;0.7240774175842901;2017.0;7.3;0.42
36;2017-12-18;-5.998248009886984;-0.5;-0.06060606060606061;-11.196960498692736;2151.23;3;2017-12-18;2134.58;-0.7769865563063583;2017.0;7.3;0.42
37;2018-02-12;-6.401688974617332;-0.25;-0.03225806451612903;;2209.67;3;2018-02-12;2220.12;0.4718065364211377;2018.0;8.3;0.37
38;2018-03-26;-5.552171264241022;-0.25;-0.03333333333333333;-9.722331379666498;2272.32;3;2018-03-26;2240.85;-1.3946077837292847;2018.0;8.3;0.37
39;2018-04-30;-8.344887492231212;0.0;0.0;;2287.95;3;2018-04-30;2307.02;0.8300428289571116;2018.0;8.3;0.37
40;2018-06-18;-6.937044868810566;0.0;0.0;-10.920530030516979;2254.09;3;2018-06-18;2222.56;-1.4086659168584426;2018.0;8.3;0.37
41;2018-07-30;-6.639924651131026;0.0;0.0;;2293.87;3;2018-07-30;2295.72;0.08061722725534182;2018.0;8.3;0.37
42;2018-09-17;-5.499105185917299;0.25;0.034482758620689655;-9.19299204523229;2359.06;3;2018-09-17;2373.75;0.6207748536125379;2018.0;8.3;0.37
43;2018-10-29;-6.27864300831847;0.0;0.0;;2328.82;3;2018-10-29;2317.06;-0.5062560856897491;2018.0;8.3;0.37
44;2018-12-17;-5.679919386241788;0.25;0.03333333333333333;-7.63212588713131;2376.87;3;2018-12-17;2359.13;-0.7491589091960904;2018.0;8.3;0.37
45;2019-02-11;-5.475785033299257;0.0;0.0;;2508.85;3;2019-02-11;2510.22;0.05459178828042255;2019.0;8.3;0.31
46;2019-03-25;-5.734642773662598;0.0;0.0;-10.016770691126691;2507.96;3;2019-03-25;2497.59;-0.4143406752844747;2019.0;8.3;0.31
47;2019-04-29;-6.678236802449576;0.0;0.0;;2560.7;3;2019-04-29;2569.83;0.3559090245088825;2019.0;8.3;0.31
48;2019-06-17;-6.502453963007933;-0.25;-0.03225806451612903;-9.733010654624437;2757.58;3;2019-06-17;2734.31;-0.8474364657998557;2019.0;8.3;0.31
49;2019-07-29;-5.605500660743729;-0.25;-0.03333333333333333;;2697.21;3;2019-07-29;2728.27;1.1449803270703107;2019.0;8.3;0.31
50;2019-09-09;-6.138628403532102;-0.25;-0.034482758620689655;-10.698152053449348;2805.95;3;2019-09-09;2786.63;-0.6909182114939405;2019.0;8.3;0.31
51;2019-10-28;-5.6597367935254175;-0.5;-0.07142857142857142;;2876.1;3;2019-10-28;2856.91;-0.6694588591551032;2019.0;8.3;0.31
52;2019-12-16;-5.856208063622337;-0.25;-0.038461538461538464;-9.722331379666498;2990.92;3;2019-12-16;3006.16;0.5082484411138566;2019.0;8.3;0.31
53;2020-02-10;-5.802286649755645;-0.25;-0.04;-9.91532356906116;3101.08;3;2020-02-10;3062.41;-1.2548250231267488;2020.0;9.3;0.33
54;2020-03-23;-7.266085381653719;0.0;0.0;-10.205676920261253;2327.27;3;2020-03-23;2253.35;-3.227790900234595;2020.0;9.3;0.33
55;2020-04-27;-5.7826801597065;-0.5;-0.08333333333333333;-9.803209180032233;2588.29;3;2020-04-27;2570.91;-0.6737504165583275;2020.0;9.3;0.33
56;2020-06-22;-6.434003367385449;-1.0;-0.18181818181818182;-9.963173466248818;2739.04;3;2020-06-22;2763.29;0.8814504767777009;2020.0;9.3;0.33
57;2020-07-27;-5.680871983653696;-0.25;-0.05555555555555555;-9.705252163864229;2835.15;3;2020-07-27;2884.88;1.738845880797868;2020.0;9.3;0.33
58;2020-09-21;-5.744939403606889;0.0;0.0;-10.96777100241738;2976.1;3;2020-09-21;2863.67;-3.8509699560864696;2020.0;9.3;0.33
