id;date;tonepr;rate_shock_abs;rate_shock_rel;toneev;OPEN;h;TRADEDATE;CLOSE;spread;year;trans;trust
0;2013-10-14;-3.9663142380360257;0.0;0.0;;323.69;0;2013-10-14;324.02;0.10189746292432744;2013.0;3.5;
1;2013-11-08;-4.879730164752349;0.0;0.0;;326.33;0;2013-11-08;325.2;-0.3468761631979511;2013.0;3.5;
2;2013-12-13;-4.583010579059484;0.0;0.0;;323.8;0;2013-12-13;323.4;-0.12360941005287174;2013.0;3.5;
3;2014-02-14;-7.115753204379045;0.0;0.0;-8.935623510196278;322.61;0;2014-02-14;322.44;-0.052709093538716445;2014.0;6.2;0.36
4;2014-03-03;-3.6033172251667085;0.0;0.0;;320.41;0;2014-03-03;316.39;-1.262579586196555;2014.0;6.2;0.36
5;2014-03-14;-8.123946743760223;0.0;0.0;;307.76;0;2014-03-14;305.45;-0.7534159348264069;2014.0;6.2;0.36
6;2014-04-25;-6.852045907510162;0.5;0.07142857142857142;;314.83;0;2014-04-25;310.4;-1.417102229584799;2014.0;6.2;0.36
7;2014-06-16;-6.204978674133912;0.0;0.0;-8.390548496021786;323.15;0;2014-06-16;321.66;-0.46215246414034183;2014.0;6.2;0.36
8;2014-07-25;-5.930010197789854;0.5;0.06666666666666667;;319.59;0;2014-07-25;317.06;-0.7947893876133705;2014.0;6.2;0.36
9;2014-09-12;-5.80073801013683;0.0;0.0;-7.212114985002717;315.28;0;2014-09-12;315.35;0.02220002229122997;2014.0;6.2;0.36
10;2014-10-31;-7.8620151245781535;1.5;0.1875;;313.71;0;2014-10-31;314.74;0.3277908894111725;2014.0;6.2;0.36
11;2014-12-11;-6.766651719138959;1.0;0.10526315789473684;-9.310849410836532;290.51;0;2014-12-11;290.33;-0.0619792045183587;2014.0;6.2;0.36
12;2014-12-16;-2.1958892020342677;0.0;0.0;;281.55;0;2014-12-16;257.8;-8.812596119553984;2014.0;6.2;0.36
13;2015-01-30;-6.722367496937038;-2.0;-0.11764705882352941;;274.55;0;2015-01-30;278.85;1.5540609110681558;2015.0;7.2;0.46
14;2015-03-13;-5.121355845086528;-1.0;-0.06666666666666667;-8.869886752654205;293.35;0;2015-03-13;293.65;0.10221465966591126;2015.0;7.2;0.46
15;2015-04-30;-6.357559135066115;-1.5;-0.10714285714285714;;319.22;0;2015-04-30;322.31;0.9633295079137127;2015.0;7.2;0.46
16;2015-06-15;-6.702271100625785;-1.0;-0.08;-9.070159373225193;327.17;0;2015-06-15;326.69;-0.14682044664757754;2015.0;7.2;0.46
17;2015-07-31;-4.965063311513991;-0.5;-0.043478260869565216;;332.3;0;2015-07-31;332.02;-0.0842967294618191;2015.0;7.2;0.46
18;2015-09-11;-5.917393391912702;0.0;0.0;-7.572947587883636;325.69;0;2015-09-11;325.87;0.05525201196485696;2015.0;7.2;0.46
19;2015-10-30;-5.713729522307707;0.0;0.0;;350.44;0;2015-10-30;350.19;-0.07136434654819723;2015.0;7.2;0.46
20;2015-12-11;-6.165860047144953;0.0;0.0;-9.343946130718301;356.47;0;2015-12-11;356.44;-0.008416209624684257;2015.0;7.2;0.46
21;2016-01-29;-6.873474388452071;0.0;0.0;;357.99;0;2016-01-29;357.4;-0.16494503243462688;2016.0;7.3;0.42
22;2016-03-18;-5.701132764428126;0.0;0.0;-8.11760735565921;375.12;0;2016-03-18;376.94;0.48400488071500547;2016.0;7.3;0.42
23;2016-04-29;-4.285522624905351;0.0;0.0;;379.8;0;2016-04-29;381.46;0.4361197570095676;2016.0;7.3;0.42
24;2016-06-10;-5.141967837852538;-0.5;-0.045454545454545456;-9.193270211467983;386.57;0;2016-06-10;388.32;0.4516777801200078;2016.0;7.3;0.42
25;2016-07-29;-5.153685756911098;0.0;0.0;;393.88;0;2016-07-29;394.68;0.20290156093647482;2016.0;7.3;0.42
26;2016-09-16;-5.3945856676447;-0.5;-0.047619047619047616;-10.85829096445404;405.93;0;2016-09-16;404.57;-0.3355956265045812;2016.0;7.3;0.42
27;2016-10-28;-4.247185051924369;0.0;0.0;;403.87;0;2016-10-28;402.87;-0.24791147387439594;2016.0;7.3;0.42
28;2016-12-16;-5.224522362458918;0.0;0.0;-10.216359289229997;410.17;0;2016-12-16;410.42;0.060931770490757486;2016.0;7.3;0.42
29;2017-02-03;-5.972102867541159;0.0;0.0;;420.66;0;2017-02-03;420.36;-0.07134194495348467;2017.0;7.3;0.42
30;2017-03-24;-5.976451086367311;-0.25;-0.025;-10.138329717317747;425.47;0;2017-03-24;426.09;0.14561513212285604;2017.0;7.3;0.42
31;2017-04-28;-5.21082435941742;-0.5;-0.05128205128205128;;433.33;0;2017-04-28;434.76;0.3294592250746575;2017.0;7.3;0.42
32;2017-06-16;-7.684616045968009;-0.25;-0.02702702702702703;-10.174987300916673;438.47;0;2017-06-16;437.11;-0.3106514753000056;2017.0;7.3;0.42
33;2017-07-28;-6.918267496173505;0.0;0.0;;440.8;0;2017-07-28;440.68;-0.02722693668406606;2017.0;7.3;0.42
34;2017-09-15;-6.07203453661727;-0.5;-0.05555555555555555;-9.913927689711194;451.88;0;2017-09-15;452.18;0.06636727894422378;2017.0;7.3;0.42
35;2017-10-27;-6.287036696946751;-0.25;-0.029411764705882353;;457.2;0;2017-10-27;456.3;-0.1970443987298509;2017.0;7.3;0.42
36;2017-12-15;-5.998248009886984;-0.5;-0.06060606060606061;-11.196960498692736;462.8;0;2017-12-15;463.72;0.19859264826793677;2017.0;7.3;0.42
37;2018-02-09;-6.401688974617332;-0.25;-0.03225806451612903;;477.44;0;2018-02-09;477.82;0.07955949585332078;2018.0;8.3;0.37
38;2018-03-23;-5.552171264241022;-0.25;-0.03333333333333333;-9.722331379666498;485.85;0;2018-03-23;486.22;0.07612620857928576;2018.0;8.3;0.37
39;2018-04-27;-8.344887492231212;0.0;0.0;;481.76;0;2018-04-27;482.16;0.08299444413646384;2018.0;8.3;0.37
40;2018-06-15;-6.937044868810566;0.0;0.0;-10.920530030516979;481.45;0;2018-06-15;479.98;-0.3057947319102361;2018.0;8.3;0.37
41;2018-07-27;-6.639924651131026;0.0;0.0;;479.3;0;2018-07-27;478.8;-0.10437324817678117;2018.0;8.3;0.37
42;2018-09-14;-5.499105185917299;0.25;0.034482758620689655;-9.19299204523229;463.39;0;2018-09-14;462.11;-0.27660741569413005;2018.0;8.3;0.37
43;2018-10-26;-6.27864300831847;0.0;0.0;;470.01;0;2018-10-26;469.76;-0.05320450874100047;2018.0;8.3;0.37
44;2018-12-14;-5.679919386241788;0.25;0.03333333333333333;-7.63212588713131;473.3;0;2018-12-14;473.19;-0.02324377447093795;2018.0;8.3;0.37
45;2019-02-08;-5.475785033299257;0.0;0.0;;489.68;0;2019-02-08;489.6;-0.016338534469806376;2019.0;8.3;0.31
46;2019-03-22;-5.734642773662598;0.0;0.0;-10.016770691126691;496.42;0;2019-03-22;495.46;-0.19357186348356592;2019.0;8.3;0.31
47;2019-04-26;-6.678236802449576;0.0;0.0;;497.29;0;2019-04-26;497.51;0.044229996700195784;2019.0;8.3;0.31
48;2019-06-14;-6.502453963007933;-0.25;-0.03225806451612903;-9.733010654624437;514.3;0;2019-06-14;514.99;0.13407302186161374;2019.0;8.3;0.31
49;2019-07-26;-5.605500660743729;-0.25;-0.03333333333333333;;530.06;0;2019-07-26;529.16;-0.1699364091667377;2019.0;8.3;0.31
50;2019-09-06;-6.138628403532102;-0.25;-0.034482758620689655;-10.698152053449348;539.64;0;2019-09-06;539.9;0.0481686653624358;2019.0;8.3;0.31
51;2019-10-25;-5.6597367935254175;-0.5;-0.07142857142857142;;558.86;0;2019-10-25;560.71;0.33048432591193944;2019.0;8.3;0.31
52;2019-12-13;-5.856208063622337;-0.25;-0.038461538461538464;-9.722331379666498;567.36;0;2019-12-13;568.37;0.17785922116209107;2019.0;8.3;0.31
53;2020-02-07;-5.802286649755645;-0.25;-0.04;-9.91532356906116;579.99;0;2020-02-07;580.85;0.1481685946964184;2020.0;9.3;0.33
54;2020-03-20;-7.266085381653719;0.0;0.0;-10.205676920261253;531.53;0;2020-03-20;542.73;2.0852318485840904;2020.0;9.3;0.33
55;2020-04-24;-5.7826801597065;-0.5;-0.08333333333333333;-9.803209180032233;590.23;0;2020-04-24;592.33;0.3551620564624436;2020.0;9.3;0.33
56;2020-06-19;-6.434003367385449;-1.0;-0.18181818181818182;-9.963173466248818;614.55;0;2020-06-19;616.36;0.2940915752662754;2020.0;9.3;0.33
57;2020-07-24;-5.680871983653696;-0.25;-0.05555555555555555;-9.705252163864229;614.49;0;2020-07-24;613.71;-0.12701516118927003;2020.0;9.3;0.33
58;2020-09-18;-5.744939403606889;0.0;0.0;-10.96777100241738;608.8;0;2020-09-18;608.71;-0.014784272846046775;2020.0;9.3;0.33
59;2020-10-23;-5.745142552313903;0.0;0.0;-9.921480153055436;615.69;0;2020-10-23;616.07;0.06170033319072843;2020.0;9.3;0.33
