id;date;tonepr;rate_shock_abs;rate_shock_rel;toneev;OPEN;h;TRADEDATE;CLOSE;spread;year;trans;trust
0;2013-10-14;-3.9663142380360257;0.0;0.0;;126.08;0;2013-10-14;126.04;-0.031730922049533206;2013.0;3.5;
1;2013-11-08;-4.879730164752349;0.0;0.0;;126.67;0;2013-11-08;126.46;-0.1659226865073471;2013.0;3.5;
2;2013-12-13;-4.583010579059484;0.0;0.0;;126.44;0;2013-12-13;126.46;0.01581652830502378;2013.0;3.5;
3;2014-02-14;-7.115753204379045;0.0;0.0;-8.935623510196278;126.8;0;2014-02-14;126.93;0.10247113969610311;2014.0;6.2;0.36
4;2014-03-03;-3.6033172251667085;0.0;0.0;;125.04;0;2014-03-03;124.82;-0.17609866073247105;2014.0;6.2;0.36
5;2014-03-14;-8.123946743760223;0.0;0.0;;121.41;0;2014-03-14;122.27;0.7058466600215141;2014.0;6.2;0.36
6;2014-04-25;-6.852045907510162;0.5;0.07142857142857142;;123.06;0;2014-04-25;122.61;-0.3663455068048549;2014.0;6.2;0.36
7;2014-06-16;-6.204978674133912;0.0;0.0;-8.390548496021786;126.91;0;2014-06-16;126.78;-0.10248729660533584;2014.0;6.2;0.36
8;2014-07-25;-5.930010197789854;0.5;0.06666666666666667;;125.68;0;2014-07-25;125.28;-0.31877617048730045;2014.0;6.2;0.36
9;2014-09-12;-5.80073801013683;0.0;0.0;-7.212114985002717;125.19;0;2014-09-12;125.13;-0.047938639460731736;2014.0;6.2;0.36
10;2014-10-31;-7.8620151245781535;1.5;0.1875;;124.8;0;2014-10-31;124.79;-0.008013141556428849;2014.0;6.2;0.36
11;2014-12-11;-6.766651719138959;1.0;0.10526315789473684;-9.310849410836532;116.54;0;2014-12-11;114.94;-1.3824308635332017;2014.0;6.2;0.36
12;2014-12-16;-2.1958892020342677;0.0;0.0;;105.09;0;2014-12-16;109.39;4.01023522541939;2014.0;6.2;0.36
13;2015-01-30;-6.722367496937038;-2.0;-0.11764705882352941;;112.16;0;2015-01-30;113.17;0.8964689691570271;2015.0;7.2;0.46
14;2015-03-13;-5.121355845086528;-1.0;-0.06666666666666667;-8.869886752654205;117.76;0;2015-03-13;117.15;-0.5193490026761616;2015.0;7.2;0.46
15;2015-04-30;-6.357559135066115;-1.5;-0.10714285714285714;;128.15;0;2015-04-30;129.06;0.7075959697613321;2015.0;7.2;0.46
16;2015-06-15;-6.702271100625785;-1.0;-0.08;-9.070159373225193;131.45;0;2015-06-15;130.91;-0.4116486983882339;2015.0;7.2;0.46
17;2015-07-31;-4.965063311513991;-0.5;-0.043478260869565216;;132.82;0;2015-07-31;132.52;-0.2261250680872351;2015.0;7.2;0.46
18;2015-09-11;-5.917393391912702;0.0;0.0;-7.572947587883636;128.64;0;2015-09-11;128.85;0.16311316677173338;2015.0;7.2;0.46
19;2015-10-30;-5.713729522307707;0.0;0.0;;136.59;0;2015-10-30;136.68;0.06586892322903992;2015.0;7.2;0.46
20;2015-12-11;-6.165860047144953;0.0;0.0;-9.343946130718301;138.19;0;2015-12-11;137.53;-0.4787474688776605;2015.0;7.2;0.46
21;2016-01-29;-6.873474388452071;0.0;0.0;;137.99;0;2016-01-29;137.69;-0.21764373071819776;2016.0;7.3;0.42
22;2016-03-18;-5.701132764428126;0.0;0.0;-8.11760735565921;142.41;0;2016-03-18;142.37;-0.028091860568224547;2016.0;7.3;0.42
23;2016-04-29;-4.285522624905351;0.0;0.0;;143.69;0;2016-04-29;143.63;-0.04176527973838162;2016.0;7.3;0.42
24;2016-06-10;-5.141967837852538;-0.5;-0.045454545454545456;-9.193270211467983;145.34;0;2016-06-10;145.05;-0.19973146210769954;2016.0;7.3;0.42
25;2016-07-29;-5.153685756911098;0.0;0.0;;147.3;0;2016-07-29;147.56;0.1763549259890418;2016.0;7.3;0.42
26;2016-09-16;-5.3945856676447;-0.5;-0.047619047619047616;-10.85829096445404;148.03;0;2016-09-16;147.75;-0.18932996391933798;2016.0;7.3;0.42
27;2016-10-28;-4.247185051924369;0.0;0.0;;147.44;0;2016-10-28;147.47;0.020345190128168156;2016.0;7.3;0.42
28;2016-12-16;-5.224522362458918;0.0;0.0;-10.216359289229997;150.02;0;2016-12-16;150.07;0.03332333664074483;2016.0;7.3;0.42
29;2017-02-03;-5.972102867541159;0.0;0.0;;153.41;0;2017-02-03;153.44;0.019553527844617946;2017.0;7.3;0.42
30;2017-03-24;-5.976451086367311;-0.25;-0.025;-10.138329717317747;155.51;0;2017-03-24;155.63;0.07713569836722556;2017.0;7.3;0.42
31;2017-04-28;-5.21082435941742;-0.5;-0.05128205128205128;;158.64;0;2017-04-28;158.88;0.1511716085322412;2017.0;7.3;0.42
32;2017-06-16;-7.684616045968009;-0.25;-0.02702702702702703;-10.174987300916673;159.84;0;2017-06-16;159.42;-0.26310859004663456;2017.0;7.3;0.42
33;2017-07-28;-6.918267496173505;0.0;0.0;;161.11;0;2017-07-28;161.14;0.018619084615423276;2017.0;7.3;0.42
34;2017-09-15;-6.07203453661727;-0.5;-0.05555555555555555;-9.913927689711194;165.11;0;2017-09-15;165.08;-0.018171355936047462;2017.0;7.3;0.42
35;2017-10-27;-6.287036696946751;-0.25;-0.029411764705882353;;166.64;0;2017-10-27;166.9;0.15590337150728217;2017.0;7.3;0.42
36;2017-12-15;-5.998248009886984;-0.5;-0.06060606060606061;-11.196960498692736;169.04;0;2017-12-15;169.18;0.08278635680678548;2017.0;7.3;0.42
37;2018-02-09;-6.401688974617332;-0.25;-0.03225806451612903;;174.32;0;2018-02-09;174.44;0.06881523382009647;2018.0;8.3;0.37
38;2018-03-23;-5.552171264241022;-0.25;-0.03333333333333333;-9.722331379666498;177.3;0;2018-03-23;177.36;0.033835222789324604;2018.0;8.3;0.37
39;2018-04-27;-8.344887492231212;0.0;0.0;;176.08;0;2018-04-27;176.24;0.09082652758820586;2018.0;8.3;0.37
40;2018-06-15;-6.937044868810566;0.0;0.0;-10.920530030516979;175.96;0;2018-06-15;174.69;-0.7243721963380523;2018.0;8.3;0.37
41;2018-07-27;-6.639924651131026;0.0;0.0;;175.56;0;2018-07-27;175.71;0.08540439497668473;2018.0;8.3;0.37
42;2018-09-14;-5.499105185917299;0.25;0.034482758620689655;-9.19299204523229;169.88;0;2018-09-14;169.61;-0.15906215613226138;2018.0;8.3;0.37
43;2018-10-26;-6.27864300831847;0.0;0.0;;172.63;0;2018-10-26;172.95;0.1851959554720395;2018.0;8.3;0.37
44;2018-12-14;-5.679919386241788;0.25;0.03333333333333333;-7.63212588713131;173.8;0;2018-12-14;173.81;0.005753574409705919;2018.0;8.3;0.37
45;2019-02-08;-5.475785033299257;0.0;0.0;;179.06;0;2019-02-08;179.21;0.08373573492876929;2019.0;8.3;0.31
46;2019-03-22;-5.734642773662598;0.0;0.0;-10.016770691126691;181.21;0;2019-03-22;181.41;0.11030832291654136;2019.0;8.3;0.31
47;2019-04-26;-6.678236802449576;0.0;0.0;;182.17;0;2019-04-26;182.69;0.2850410305740958;2019.0;8.3;0.31
48;2019-06-14;-6.502453963007933;-0.25;-0.03225806451612903;-9.733010654624437;188.31;0;2019-06-14;188.69;0.20159158020724988;2019.0;8.3;0.31
