id;date;tonepr;rate_shock_abs;rate_shock_rel;toneev;OPEN;h;TRADEDATE;CLOSE;spread;year;trans;trust
0;2013-10-14;-3.9663142380360257;0.0;0.0;;116.59;0;2013-10-14;116.58;-0.008577432779599548;2013.0;3.5;
1;2013-11-08;-4.879730164752349;0.0;0.0;;117.03;0;2013-11-08;117.09;0.05125576739581916;2013.0;3.5;
2;2013-12-13;-4.583010579059484;0.0;0.0;;117.78;0;2013-12-13;117.85;0.05941518657150979;2013.0;3.5;
3;2014-02-14;-7.115753204379045;0.0;0.0;-8.935623510196278;118.74;0;2014-02-14;118.8;0.05051780860156896;2014.0;6.2;0.36
4;2014-03-03;-3.6033172251667085;0.0;0.0;;118.46;0;2014-03-03;118.66;0.16869099816778643;2014.0;6.2;0.36
5;2014-03-14;-8.123946743760223;0.0;0.0;;118.43;0;2014-03-14;118.8;0.3119338195141097;2014.0;6.2;0.36
6;2014-04-25;-6.852045907510162;0.5;0.07142857142857142;;119.4;0;2014-04-25;119.34;-0.05026388645656965;2014.0;6.2;0.36
7;2014-06-16;-6.204978674133912;0.0;0.0;-8.390548496021786;120.63;0;2014-06-16;120.6;-0.024872528420694096;2014.0;6.2;0.36
8;2014-07-25;-5.930010197789854;0.5;0.06666666666666667;;121.45;0;2014-07-25;121.43;-0.01646903824541468;2014.0;6.2;0.36
9;2014-09-12;-5.80073801013683;0.0;0.0;-7.212114985002717;122.94;0;2014-09-12;123.05;0.08943453582013206;2014.0;6.2;0.36
10;2014-10-31;-7.8620151245781535;1.5;0.1875;;123.78;0;2014-10-31;123.96;0.14531366083323505;2014.0;6.2;0.36
11;2014-12-11;-6.766651719138959;1.0;0.10526315789473684;-9.310849410836532;123.55;0;2014-12-11;123.36;-0.1539022619599706;2014.0;6.2;0.36
12;2014-12-16;-2.1958892020342677;0.0;0.0;;122.03;0;2014-12-16;122.06;0.024581097260067963;2014.0;6.2;0.36
13;2015-01-30;-6.722367496937038;-2.0;-0.11764705882352941;;124.25;0;2015-01-30;124.78;0.4256521705902294;2015.0;7.2;0.46
14;2015-03-13;-5.121355845086528;-1.0;-0.06666666666666667;-8.869886752654205;126.96;0;2015-03-13;126.96;0.0;2015.0;7.2;0.46
15;2015-04-30;-6.357559135066115;-1.5;-0.10714285714285714;;130.27;0;2015-04-30;130.51;0.18406324699640209;2015.0;7.2;0.46
16;2015-06-15;-6.702271100625785;-1.0;-0.08;-9.070159373225193;130.57;0;2015-06-15;130.5;-0.053625465719875365;2015.0;7.2;0.46
17;2015-07-31;-4.965063311513991;-0.5;-0.043478260869565216;;132.2;0;2015-07-31;131.29;-0.6907310471567563;2015.0;7.2;0.46
18;2015-09-11;-5.917393391912702;0.0;0.0;-7.572947587883636;131.28;0;2015-09-11;131.37;0.06853226995815476;2015.0;7.2;0.46
19;2015-10-30;-5.713729522307707;0.0;0.0;;133.56;0;2015-10-30;133.64;0.05988024131013958;2015.0;7.2;0.46
20;2015-12-11;-6.165860047144953;0.0;0.0;-9.343946130718301;133.01;0;2015-12-11;133.03;0.015035333060975375;2015.0;7.2;0.46
21;2016-01-29;-6.873474388452071;0.0;0.0;;135.18;0;2016-01-29;135.25;0.05176940543831776;2016.0;7.3;0.42
22;2016-03-18;-5.701132764428126;0.0;0.0;-8.11760735565921;135.07;0;2016-03-18;135.24;0.12578152670128517;2016.0;7.3;0.42
23;2016-04-29;-4.285522624905351;0.0;0.0;;136.4;0;2016-04-29;136.19;-0.15407758284959883;2016.0;7.3;0.42
24;2016-06-10;-5.141967837852538;-0.5;-0.045454545454545456;-9.193270211467983;137.31;0;2016-06-10;137.49;0.1310043855482057;2016.0;7.3;0.42
25;2016-07-29;-5.153685756911098;0.0;0.0;;136.66;0;2016-07-29;136.77;0.0804593540827625;2016.0;7.3;0.42
26;2016-09-16;-5.3945856676447;-0.5;-0.047619047619047616;-10.85829096445404;138.69;0;2016-09-16;138.71;0.01441961069552633;2016.0;7.3;0.42
27;2016-10-28;-4.247185051924369;0.0;0.0;;140.12;0;2016-10-28;140.17;0.035677334567996155;2016.0;7.3;0.42
28;2016-12-16;-5.224522362458918;0.0;0.0;-10.216359289229997;142.0;0;2016-12-16;142.08;0.05632216425990322;2016.0;7.3;0.42
29;2017-02-03;-5.972102867541159;0.0;0.0;;143.5;0;2017-02-03;143.57;0.0487685939926763;2017.0;7.3;0.42
30;2017-03-24;-5.976451086367311;-0.25;-0.025;-10.138329717317747;145.05;0;2017-03-24;145.12;0.04824757994139617;2017.0;7.3;0.42
31;2017-04-28;-5.21082435941742;-0.5;-0.05128205128205128;;146.86;0;2017-04-28;146.94;0.05445881686672038;2017.0;7.3;0.42
32;2017-06-16;-7.684616045968009;-0.25;-0.02702702702702703;-10.174987300916673;148.65;0;2017-06-16;148.75;0.06724949816323544;2017.0;7.3;0.42
33;2017-07-28;-6.918267496173505;0.0;0.0;;149.98;0;2017-07-28;150.06;0.0533262244339916;2017.0;7.3;0.42
34;2017-09-15;-6.07203453661727;-0.5;-0.05555555555555555;-9.913927689711194;150.78;0;2017-09-15;150.86;0.053043364192895126;2017.0;7.3;0.42
35;2017-10-27;-6.287036696946751;-0.25;-0.029411764705882353;;152.15;0;2017-10-27;152.24;0.05913466449145588;2017.0;7.3;0.42
36;2017-12-15;-5.998248009886984;-0.5;-0.06060606060606061;-11.196960498692736;153.88;0;2017-12-15;153.94;0.03898382220768326;2017.0;7.3;0.42
37;2018-02-09;-6.401688974617332;-0.25;-0.03225806451612903;;155.65;0;2018-02-09;155.57;-0.05141057885866829;2018.0;8.3;0.37
38;2018-03-23;-5.552171264241022;-0.25;-0.03333333333333333;-9.722331379666498;156.95;0;2018-03-23;157.02;0.04459024821468205;2018.0;8.3;0.37
39;2018-04-27;-8.344887492231212;0.0;0.0;;157.44;0;2018-04-27;157.68;0.15232295405214202;2018.0;8.3;0.37
40;2018-06-15;-6.937044868810566;0.0;0.0;-10.920530030516979;158.57;0;2018-06-15;158.48;-0.05677338111809149;2018.0;8.3;0.37
41;2018-07-27;-6.639924651131026;0.0;0.0;;159.49;0;2018-07-27;159.58;0.05641395454718534;2018.0;8.3;0.37
42;2018-09-14;-5.499105185917299;0.25;0.034482758620689655;-9.19299204523229;160.5;0;2018-09-14;160.52;0.01246028286452372;2018.0;8.3;0.37
43;2018-10-26;-6.27864300831847;0.0;0.0;;161.83;0;2018-10-26;161.91;0.04942237698664087;2018.0;8.3;0.37
44;2018-12-14;-5.679919386241788;0.25;0.03333333333333333;-7.63212588713131;163.27;0;2018-12-14;163.36;0.05510822782817115;2018.0;8.3;0.37
45;2019-02-08;-5.475785033299257;0.0;0.0;;165.16;0;2019-02-08;165.28;0.07263043534386782;2019.0;8.3;0.31
46;2019-03-22;-5.734642773662598;0.0;0.0;-10.016770691126691;166.9;0;2019-03-22;167.03;0.07786063340669003;2019.0;8.3;0.31
47;2019-04-26;-6.678236802449576;0.0;0.0;;167.78;0;2019-04-26;167.97;0.11317946107629595;2019.0;8.3;0.31
48;2019-06-14;-6.502453963007933;-0.25;-0.03225806451612903;-9.733010654624437;169.81;0;2019-06-14;170.06;0.14711509994365102;2019.0;8.3;0.31
49;2019-07-26;-5.605500660743729;-0.25;-0.03333333333333333;;171.76;0;2019-07-26;171.92;0.09310987637292101;2019.0;8.3;0.31
50;2019-09-06;-6.138628403532102;-0.25;-0.034482758620689655;-10.698152053449348;173.2;0;2019-09-06;173.25;0.02886419416778807;2019.0;8.3;0.31
51;2019-10-25;-5.6597367935254175;-0.5;-0.07142857142857142;;175.11;0;2019-10-25;175.24;0.0742115061888704;2019.0;8.3;0.31
52;2019-12-13;-5.856208063622337;-0.25;-0.038461538461538464;-9.722331379666498;176.85;0;2019-12-13;177.02;0.09608048892406629;2019.0;8.3;0.31
53;2020-02-07;-5.802286649755645;-0.25;-0.04;-9.91532356906116;178.74;0;2020-02-07;178.74;0.0;2020.0;9.3;0.33
54;2020-03-20;-7.266085381653719;0.0;0.0;-10.205676920261253;179.0;0;2020-03-20;178.82;-0.10060925335828586;2020.0;9.3;0.33
55;2020-04-24;-5.7826801597065;-0.5;-0.08333333333333333;-9.803209180032233;180.58;0;2020-04-24;180.69;0.06089628444065909;2020.0;9.3;0.33
56;2020-06-19;-6.434003367385449;-1.0;-0.18181818181818182;-9.963173466248818;183.14;0;2020-06-19;182.99;-0.08193811399905826;2020.0;9.3;0.33
57;2020-07-24;-5.680871983653696;-0.25;-0.05555555555555555;-9.705252163864229;183.81;0;2020-07-24;183.78;-0.01632253329342248;2020.0;9.3;0.33
58;2020-09-18;-5.744939403606889;0.0;0.0;-10.96777100241738;184.77;0;2020-09-18;184.82;0.027057009283204536;2020.0;9.3;0.33
59;2020-10-23;-5.745142552313903;0.0;0.0;-9.921480153055436;185.48;0;2020-10-23;185.52;0.02156334240162039;2020.0;9.3;0.33
60;2020-12-18;-5.594341555113338;0.0;0.0;-11.264777825907201;186.54;0;2020-12-18;186.61;0.03751842466632738;2020.0;9.3;0.33
61;2021-02-12;-5.820539028880427;0.0;0.0;-9.06933487555284;187.78;0;2021-02-12;187.78;0.0;2021.0;9.8;0.32
62;2021-03-19;-5.3567417055260815;0.25;0.058823529411764705;-10.47012459059856;188.09;0;2021-03-19;188.13;0.021264154032607507;2021.0;9.8;0.32
63;2021-04-23;-5.530048451384545;0.5;0.1111111111111111;-10.174987300916673;187.83;0;2021-04-23;187.75;-0.042600778108425885;2021.0;9.8;0.32
64;2021-06-11;-4.9225962021980605;0.5;0.1;-9.196092175684617;187.26;0;2021-06-11;187.4;0.07473442935781449;2021.0;9.8;0.32
65;2021-07-23;-5.530025961481924;1.0;0.18181818181818182;-10.152931560437063;188.06;0;2021-07-23;188.15;0.04784561905157858;2021.0;9.8;0.32
66;2021-09-10;-5.912915441521451;0.25;0.038461538461538464;-10.814859030199948;189.34;0;2021-09-10;189.45;0.05807967638649103;2021.0;9.8;0.32
67;2021-10-22;-5.860373883757891;0.75;0.1111111111111111;-11.27328322686144;190.3;0;2021-10-22;190.3;0.0;2021.0;9.8;0.32
68;2021-12-17;-6.725061219611952;1.0;0.13333333333333333;-10.478622411220416;192.17;0;2021-12-17;192.42;0.13000859887828398;2021.0;9.8;0.32
0;2013-10-15;-3.9663142380360257;0.0;0.0;;116.59;1;2013-10-15;116.63;0.03430237577584094;2013.0;3.5;
4;2014-03-04;-3.6033172251667085;0.0;0.0;;118.46;1;2014-03-04;118.69;0.1939701219594525;2014.0;6.2;0.36
7;2014-06-17;-6.204978674133912;0.0;0.0;-8.390548496021786;120.63;1;2014-06-17;120.61;-0.016580998214088538;2014.0;6.2;0.36
11;2014-12-12;-6.766651719138959;1.0;0.10526315789473684;-9.310849410836532;123.55;1;2014-12-12;123.55;0.0;2014.0;6.2;0.36
12;2014-12-17;-2.1958892020342677;0.0;0.0;;122.03;1;2014-12-17;122.64;0.49863184198102317;2014.0;6.2;0.36
16;2015-06-16;-6.702271100625785;-1.0;-0.08;-9.070159373225193;130.57;1;2015-06-16;130.44;-0.0996130498828407;2015.0;7.2;0.46
39;2018-04-28;-8.344887492231212;0.0;0.0;;157.44;1;2018-04-28;157.65;0.13329526871270758;2018.0;8.3;0.37
0;2013-10-16;-3.9663142380360257;0.0;0.0;;116.59;2;2013-10-16;116.67;0.06859298905661504;2013.0;3.5;
4;2014-03-05;-3.6033172251667085;0.0;0.0;;118.46;2;2014-03-05;118.7;0.20239507668033951;2014.0;6.2;0.36
7;2014-06-18;-6.204978674133912;0.0;0.0;-8.390548496021786;120.63;2;2014-06-18;120.71;0.06629651357430433;2014.0;6.2;0.36
12;2014-12-18;-2.1958892020342677;0.0;0.0;;122.03;2;2014-12-18;122.1;0.057346497291010934;2014.0;6.2;0.36
16;2015-06-17;-6.702271100625785;-1.0;-0.08;-9.070159373225193;130.57;2;2015-06-17;130.7;0.0995139210228757;2015.0;7.2;0.46
0;2013-10-17;-3.9663142380360257;0.0;0.0;;116.59;3;2013-10-17;116.71;0.1028718479062718;2013.0;3.5;
1;2013-11-11;-4.879730164752349;0.0;0.0;;117.03;3;2013-11-11;117.1;0.05979584169963914;2013.0;3.5;
2;2013-12-16;-4.583010579059484;0.0;0.0;;117.78;3;2013-12-16;117.65;-0.11043623430531113;2013.0;3.5;
3;2014-02-17;-7.115753204379045;0.0;0.0;-8.935623510196278;118.74;3;2014-02-17;118.84;0.0841821751877525;2014.0;6.2;0.36
4;2014-03-06;-3.6033172251667085;0.0;0.0;;118.46;3;2014-03-06;118.61;0.12654491923651534;2014.0;6.2;0.36
5;2014-03-17;-8.123946743760223;0.0;0.0;;118.43;3;2014-03-17;118.99;0.47173872336587763;2014.0;6.2;0.36
6;2014-04-28;-6.852045907510162;0.5;0.07142857142857142;;119.4;3;2014-04-28;119.56;0.13391364572354902;2014.0;6.2;0.36
7;2014-06-19;-6.204978674133912;0.0;0.0;-8.390548496021786;120.63;3;2014-06-19;120.7;0.05801185261935515;2014.0;6.2;0.36
8;2014-07-28;-5.930010197789854;0.5;0.06666666666666667;;121.45;3;2014-07-28;121.39;-0.04941525384687395;2014.0;6.2;0.36
9;2014-09-15;-5.80073801013683;0.0;0.0;-7.212114985002717;122.94;3;2014-09-15;123.03;0.07317965932136516;2014.0;6.2;0.36
10;2014-11-03;-7.8620151245781535;1.5;0.1875;;123.78;3;2014-11-03;123.74;-0.03232062083728948;2014.0;6.2;0.36
12;2014-12-19;-2.1958892020342677;0.0;0.0;;122.03;3;2014-12-19;122.3;0.2210126549377911;2014.0;6.2;0.36
13;2015-02-02;-6.722367496937038;-2.0;-0.11764705882352941;;124.25;3;2015-02-02;124.9;0.5217752154793587;2015.0;7.2;0.46
14;2015-03-16;-5.121355845086528;-1.0;-0.06666666666666667;-8.869886752654205;126.96;3;2015-03-16;127.11;0.1180777088423568;2015.0;7.2;0.46
16;2015-06-18;-6.702271100625785;-1.0;-0.08;-9.070159373225193;130.57;3;2015-06-18;130.62;0.038286305456392;2015.0;7.2;0.46
17;2015-08-03;-4.965063311513991;-0.5;-0.043478260869565216;;132.2;3;2015-08-03;131.11;-0.8279261906275259;2015.0;7.2;0.46
18;2015-09-14;-5.917393391912702;0.0;0.0;-7.572947587883636;131.28;3;2015-09-14;131.35;0.0533069349713422;2015.0;7.2;0.46
19;2015-11-02;-5.713729522307707;0.0;0.0;;133.56;3;2015-11-02;133.71;0.11224605511204189;2015.0;7.2;0.46
20;2015-12-14;-6.165860047144953;0.0;0.0;-9.343946130718301;133.01;3;2015-12-14;133.01;0.0;2015.0;7.2;0.46
21;2016-02-01;-6.873474388452071;0.0;0.0;;135.18;3;2016-02-01;135.31;0.09612186033445269;2016.0;7.3;0.42
22;2016-03-21;-5.701132764428126;0.0;0.0;-8.11760735565921;135.07;3;2016-03-21;135.2;0.09620010361910403;2016.0;7.3;0.42
25;2016-08-01;-5.153685756911098;0.0;0.0;;136.66;3;2016-08-01;136.81;0.10970125793905439;2016.0;7.3;0.42
26;2016-09-19;-5.3945856676447;-0.5;-0.047619047619047616;-10.85829096445404;138.69;3;2016-09-19;138.7;0.00721006525425949;2016.0;7.3;0.42
27;2016-10-31;-4.247185051924369;0.0;0.0;;140.12;3;2016-10-31;140.12;0.0;2016.0;7.3;0.42
28;2016-12-19;-5.224522362458918;0.0;0.0;-10.216359289229997;142.0;3;2016-12-19;142.14;0.09854297974882797;2016.0;7.3;0.42
29;2017-02-06;-5.972102867541159;0.0;0.0;;143.5;3;2017-02-06;143.59;0.06269811066097475;2017.0;7.3;0.42
30;2017-03-27;-5.976451086367311;-0.25;-0.025;-10.138329717317747;145.05;3;2017-03-27;145.15;0.06891799032260337;2017.0;7.3;0.42
32;2017-06-19;-7.684616045968009;-0.25;-0.02702702702702703;-10.174987300916673;148.65;3;2017-06-19;148.69;0.026905226502460522;2017.0;7.3;0.42
33;2017-07-31;-6.918267496173505;0.0;0.0;;149.98;3;2017-07-31;150.1;0.07997867661728719;2017.0;7.3;0.42
34;2017-09-18;-6.07203453661727;-0.5;-0.05555555555555555;-9.913927689711194;150.78;3;2017-09-18;150.78;0.0;2017.0;7.3;0.42
35;2017-10-30;-6.287036696946751;-0.25;-0.029411764705882353;;152.15;3;2017-10-30;152.29;0.09197215206198095;2017.0;7.3;0.42
36;2017-12-18;-5.998248009886984;-0.5;-0.06060606060606061;-11.196960498692736;153.88;3;2017-12-18;153.96;0.05197505314509243;2017.0;7.3;0.42
37;2018-02-12;-6.401688974617332;-0.25;-0.03225806451612903;;155.65;3;2018-02-12;155.7;0.032118195233543645;2018.0;8.3;0.37
38;2018-03-26;-5.552171264241022;-0.25;-0.03333333333333333;-9.722331379666498;156.95;3;2018-03-26;156.98;0.019112541070498423;2018.0;8.3;0.37
