date;tonepr;rate_shock_abs;rate_shock_rel;close;spread;toneev;year;trans;trust
2013-10-14;-3.9663142380360203;0.0;0.0;328.13;-0.24046887776671966;;2013.0;3.5;
2013-11-08;-4.8797301647523454;0.0;0.0;328.53;-0.49492274885487575;;2013.0;3.5;
2013-12-13;-4.58301057905948;0.0;0.0;325.92;-0.08893932777702673;;2013.0;3.5;
2014-02-14;-7.115753204379039;0.0;0.0;323.45;0.23834224212206934;-8.935623510196267;2014.0;6.2;0.36
2014-03-03;-3.603317225166705;0.0;0.0;313.93;-0.5717386854093398;;2014.0;6.2;0.36
2014-03-14;-8.123946743760218;0.0;0.0;301.25;1.3165119308638396;;2014.0;6.2;0.36
2014-04-25;-6.85204590751016;0.5;0.07142857142857142;301.87;-0.8904484665233525;;2014.0;6.2;0.36
2014-06-16;-6.204978674133906;0.0;0.0;322.12;-0.15820088603861748;-8.390548496021779;2014.0;6.2;0.36
2014-07-25;-5.93001019778985;0.5;0.06666666666666667;313.57;-0.2961455505571031;;2014.0;6.2;0.36
2014-09-12;-5.8007380101368256;0.0;0.0;309.71;-0.14841584966056587;-7.212114985002708;2014.0;6.2;0.36
2014-10-31;-7.862015124578151;1.5;0.1875;308.29;-0.012973954803907617;;2014.0;6.2;0.36
2014-12-11;-6.766651719138954;1.0;0.10526315789473684;265.4;-1.9699189465917755;-9.310849410836527;2014.0;6.2;0.36
2014-12-16;-2.1958892020342633;0.0;0.0;248.24;8.465573223166967;;2014.0;6.2;0.36
2015-01-30;-6.722367496937032;-2.0;-0.11764705882352941;261.61;2.621894790384438;;2015.0;7.2;0.46
2015-03-13;-5.121355845086526;-1.0;-0.06666666666666667;267.56;-1.3512715816032639;-8.869886752654194;2015.0;7.2;0.46
2015-04-30;-6.35755913506611;-1.5;-0.10714285714285714;314.15;0.443445559264255;;2015.0;7.2;0.46
2015-06-15;-6.702271100625779;-1.0;-0.08;320.75;-0.9772822681537896;-9.070159373225184;2015.0;7.2;0.46
2015-07-31;-4.965063311513989;-0.5;-0.043478260869565216;323.18;-0.7521613759267076;;2015.0;7.2;0.46
2015-09-11;-5.917393391912699;0.0;0.0;303.01;0.34381335728976836;-7.572947587883631;2015.0;7.2;0.46
2015-10-30;-5.713729522307703;0.0;0.0;335.05;0.25102365032720897;;2015.0;7.2;0.46
