date,OPEN,MAX,MIN,CLOSE,VOLUME,CAP,DURATION,YIELD
08 01 13,313.36,313.36,312.91,312.91,7 258,0.00,0.00,6.79
09 01 13,312.10,314.60,311.91,314.60,1 304 425 877,0.00,0.00,6.54
10 01 13,315.01,317.48,314.99,317.48,2 935 642 331,0.00,0.00,6.36
11 01 13,317.59,317.69,315.90,316.89,2 074 186 016,0.00,0.00,6.38
14 01 13,316.85,317.17,316.85,317.16,1 381 385 415,0.00,0.00,6.39
15 01 13,317.34,317.39,316.87,316.97,1 398 625 441,0.00,0.00,6.38
16 01 13,316.70,316.70,316.18,316.18,1 395 362 776,0.00,0.00,6.46
17 01 13,316.34,316.34,314.54,315.75,1 297 003 416,0.00,0.00,6.51
18 01 13,315.84,316.57,315.74,316.55,989 485 213,0.00,0.00,6.41
21 01 13,316.50,316.60,316.28,316.37,599 866 876,0.00,0.00,6.42
22 01 13,316.88,316.98,316.54,316.57,880 000 768,0.00,0.00,6.46
23 01 13,316.66,316.83,316.60,316.81,2 004 825 814,0.00,0.00,6.39
24 01 13,317.02,317.10,316.44,317.10,1 752 125 129,0.00,0.00,6.37
25 01 13,316.78,318.04,316.78,318.04,1 822 444 765,0.00,0.00,6.32
28 01 13,318.15,318.28,318.09,318.19,2 907 693 136,0.00,0.00,6.32
29 01 13,318.22,318.26,317.88,318.00,2 005 220 176,0.00,0.00,6.33
30 01 13,318.10,318.16,317.81,318.01,891 112 638,0.00,0.00,6.33
31 01 13,317.68,317.68,317.25,317.40,1 137 365 765,0.00,0.00,6.37
01 02 13,317.32,317.49,316.42,317.35,1 201 922 337,0.00,0.00,6.41
04 02 13,317.57,317.64,317.29,317.29,2 000 647 346,0.00,0.00,6.40
05 02 13,317.36,317.36,316.93,316.93,2 327 914 906,0.00,0.00,6.46
06 02 13,316.84,317.79,316.83,317.49,3 994 244 816,0.00,0.00,6.40
07 02 13,317.35,318.24,316.90,317.47,3 673 094 900,0.00,0.00,6.40
08 02 13,317.59,317.94,317.37,317.87,1 386 998 923,0.00,0.00,6.33
11 02 13,317.95,318.46,317.95,318.21,1 860 764 381,0.00,0.00,6.36
12 02 13,318.07,318.11,317.99,318.04,1 976 960 872,0.00,0.00,6.37
13 02 13,318.25,318.35,318.17,318.22,2 766 858 498,0.00,0.00,6.36
14 02 13,318.19,318.56,318.12,318.12,945 763 102,0.00,0.00,6.36
15 02 13,318.41,318.44,318.05,318.08,1 198 545 236,0.00,0.00,6.37
18 02 13,318.26,318.60,318.20,318.20,1 310 143 112,0.00,0.00,6.39
19 02 13,318.26,318.29,317.99,318.16,974 471 931,0.00,0.00,6.39
20 02 13,318.29,318.29,318.16,318.27,4 493 894 531,0.00,0.00,6.35
21 02 13,318.97,319.42,317.92,317.96,4 348 883 645,0.00,0.00,6.36
22 02 13,317.98,318.05,317.71,317.71,3 012 222 947,0.00,0.00,6.38
25 02 13,317.84,318.12,317.80,318.10,1 353 484 017,0.00,0.00,6.37
26 02 13,318.11,318.11,317.46,317.58,1 018 150 936,0.00,0.00,6.40
27 02 13,317.68,318.12,317.68,318.06,1 588 434 548,0.00,0.00,6.38
28 02 13,317.96,318.25,317.96,318.12,1 911 203 584,0.00,0.00,6.38
01 03 13,318.53,318.69,317.93,317.93,1 594 459 099,0.00,0.00,6.52
04 03 13,318.05,318.12,317.85,317.86,781 634 431,0.00,0.00,6.54
05 03 13,317.84,318.28,317.84,317.94,1 472 678 971,0.00,0.00,6.64
06 03 13,318.09,318.09,317.79,317.79,1 463 805 116,0.00,0.00,6.59
07 03 13,317.95,317.95,317.47,317.61,2 304 628 517,0.00,0.00,6.56
11 03 13,317.94,317.94,317.31,317.31,1 097 600 225,0.00,0.00,6.59
12 03 13,316.82,317.38,316.81,317.04,1 724 284 511,0.00,0.00,6.61
