date,CLOSE,"Объем, RUB","Капитализация, RUB","Дюрация индекса, дней","Доходность индекса, %"
08 01 13,119.89,2 968 231.69,0.00,1 383,7.26
09 01 13,120.18,1 932 033 115.63,0.00,1 384,7.22
10 01 13,120.97,5 862 400 457.89,0.00,1 394,7.07
11 01 13,120.96,4 338 347 320.39,0.00,1 391,7.05
14 01 13,121.10,3 552 461 639.27,0.00,1 388,7.03
15 01 13,121.08,4 906 931 513.23,0.00,1 386,7.03
16 01 13,120.95,4 168 002 127.13,0.00,1 386,7.06
17 01 13,120.93,3 878 190 459.89,0.00,1 384,7.06
18 01 13,121.05,3 446 452 592.76,0.00,1 383,7.04
21 01 13,121.07,2 321 197 292.91,0.00,1 380,7.05
22 01 13,121.12,2 961 586 730.52,0.00,1 378,7.05
23 01 13,121.20,4 444 668 483.51,0.00,1 378,7.02
24 01 13,121.26,4 207 432 738.07,0.00,1 378,7.01
25 01 13,121.46,4 338 038 413.36,0.00,1 379,6.97
28 01 13,121.53,5 130 048 934.86,0.00,1 375,6.97
29 01 13,121.53,6 092 918 355.09,0.00,1 374,6.97
30 01 13,121.51,4 041 106 915.94,0.00,1 375,6.98
31 01 13,121.46,4 841 453 208.33,0.00,1 373,6.98
01 02 13,121.51,2 772 047 240.65,0.00,1 372,6.98
04 02 13,121.47,3 081 274 995.9,0.00,1 368,7.00
05 02 13,121.37,4 577 309 162.59,0.00,1 366,7.02
06 02 13,121.54,6 504 675 060.25,0.00,1 370,7.00
07 02 13,121.53,6 320 849 862.75,0.00,1 368,7.00
08 02 13,121.66,2 800 996 825.19,0.00,1 368,6.97
11 02 13,121.77,4 939 119 972.71,0.00,1 365,6.96
12 02 13,121.78,6 338 658 984.7,0.00,1 363,6.95
13 02 13,121.84,6 243 892 018.89,0.00,1 365,6.94
14 02 13,121.84,3 785 703 213.43,0.00,1 364,6.94
15 02 13,121.87,1 920 884 602.98,0.00,1 365,6.94
18 02 13,121.92,2 267 323 897.21,0.00,1 360,6.94
19 02 13,121.90,3 070 712 147.33,0.00,1 359,6.94
20 02 13,121.98,6 764 219 821.4,0.00,1 361,6.93
21 02 13,121.89,7 402 038 271.37,0.00,1 358,6.94
22 02 13,121.87,3 829 798 245.12,0.00,1 357,6.95
25 02 13,121.99,3 040 718 002.59,0.00,1 355,6.94
26 02 13,121.90,3 161 452 619.38,0.00,1 352,6.95
27 02 13,122.02,4 786 346 172.94,0.00,1 353,6.94
28 02 13,122.10,4 796 488 394.07,0.00,1 352,6.93
01 03 13,122.09,2 809 324 656.69,0.00,1 477,7.00
04 03 13,122.08,2 199 575 443.19,0.00,1 472,7.01
05 03 13,122.24,5 212 950 430.61,0.00,1 475,7.00
06 03 13,122.14,4 500 690 474.31,0.00,1 473,7.01
07 03 13,122.14,5 221 033 741.36,0.00,1 473,7.02
11 03 13,122.12,2 889 026 438.33,0.00,1 467,7.03
12 03 13,122.05,3 590 235 221.91,0.00,1 465,7.05
13 03 13,122.03,5 711 417 795.29,0.00,1 463,7.05
14 03 13,122.02,4 808 522 033.93,0.00,1 462,7.06
15 03 13,122.05,4 417 451 634.43,0.00,1 461,7.05
18 03 13,121.94,5 207 548 237.59,0.00,1 457,7.10
19 03 13,121.85,6 040 313 255.57,0.00,1 456,7.12
20 03 13,121.87,16 021 762 831.6,0.00,1 456,7.13
21 03 13,121.81,4 003 230 334.63,0.00,1 457,7.15
22 03 13,121.88,4 148 123 345.66,0.00,1 456,7.13
25 03 13,121.88,4 552 110 591.49,0.00,1 454,7.16
26 03 13,121.88,4 020 910 188.53,0.00,1 453,7.16
27 03 13,121.98,19 072 132 355.04,0.00,1 451,7.13
28 03 13,121.99,7 527 609 052.68,0.00,1 450,7.12
29 03 13,122.29,4 066 198 162.34,0.00,1 450,7.06
01 04 13,122.30,4 970 433 772.12,0.00,1 447,7.08
02 04 13,122.45,4 510 380 881.55,0.00,1 449,7.06
03 04 13,122.30,6 920 690 169.35,0.00,1 445,7.07
04 04 13,122.53,8 432 254 634.71,0.00,1 446,7.04
05 04 13,122.77,5 318 562 727.58,0.00,1 446,7.00
08 04 13,123.28,6 214 755 656.98,0.00,1 450,6.93
09 04 13,123.28,5 372 029 316.48,0.00,1 448,6.92
10 04 13,123.39,18 700 106 527.05,0.00,1 449,6.91
11 04 13,123.44,4 102 109 029.42,0.00,1 448,6.90
12 04 13,123.40,2 550 403 602.59,0.00,1 447,6.91
15 04 13,123.22,4 206 255 208.16,0.00,1 442,6.96
16 04 13,122.84,2 842 310 398.55,0.00,1 438,7.03
17 04 13,123.07,2 123 644 573.22,0.00,1 439,6.99
18 04 13,123.17,4 640 340 159.25,0.00,1 440,6.98
19 04 13,123.33,2 094 539 295.41,0.00,1 440,6.95
22 04 13,123.43,2 151 473 793.78,0.00,1 437,6.94
23 04 13,123.60,5 675 029 830.28,0.00,1 438,6.92
24 04 13,123.75,29 364 797 872.33,0.00,1 442,6.90
25 04 13,123.78,6 707 395 048.76,0.00,1 442,6.91
26 04 13,123.83,4 109 939 750.88,0.00,1 441,6.89
29 04 13,123.98,4 407 597 806.89,0.00,1 440,6.88
30 04 13,124.31,4 610 563 087.37,0.00,1 442,6.83
02 05 13,124.39,513 329 198.5,0.00,1 441,6.83
03 05 13,124.54,228 256 950.6,0.00,1 440,6.80
06 05 13,124.58,1 680 875 003.32,0.00,1 437,6.80
07 05 13,124.54,1 795 611 435.34,0.00,1 437,6.83
08 05 13,124.54,3 171 413 380.29,0.00,1 435,6.82
10 05 13,124.62,36 137.49,0.00,1 433,6.82
13 05 13,124.46,3 005 019 021.33,0.00,1 429,6.86
14 05 13,124.41,987 114 254.81,0.00,1 428,6.88
15 05 13,124.47,2 416 155 593.02,0.00,1 427,6.87
16 05 13,124.43,4 031 286 439.12,0.00,1 427,6.88
