date,OPEN,MAX,MIN,CLOSE,VOLUME,CAP,DURATION,YIELD
13 05 22,440.05,440.80,439.43,440.80,731 439 798.62,2 027 813 091 546.67,711.00,12.76
12 05 22,440.90,441.01,439.94,439.96,618 015 423.39,2 023 954 571 354.41,712.00,12.63
11 05 22,440.69,441.91,440.44,440.76,549 234 265.3,2 028 061 422 321.52,713.00,12.63
06 05 22,439.88,440.71,439.38,440.45,297 070 854.72,2 026 616 881 093.59,717.00,12.71
05 05 22,440.18,440.27,439.57,439.72,646 171 026.89,2 023 549 107 739.89,719.00,12.61
04 05 22,441.50,441.63,440.08,440.08,315 283 945.8,2 025 215 206 622.49,719.00,12.42
29 04 22,440.35,441.72,440.12,441.29,440 750 768.43,2 031 026 566 636.06,724.00,12.53
28 04 22,438.76,440.34,438.65,440.32,540 142 625.6,2 028 821 326 721.28,725.00,12.69
27 04 22,435.88,438.81,435.78,438.68,1 418 025 156.67,2 021 595 835 069.77,724.00,13.05
26 04 22,434.90,435.78,433.60,435.78,2 648 720 708.58,2 009 232 348 696.16,725.00,13.16
25 04 22,436.01,436.01,433.37,434.82,714 933 544.07,2 004 824 706 970.84,726.00,13.00
22 04 22,433.77,435.92,433.71,435.78,800 996 156.98,2 010 499 971 623.64,728.00,13.25
21 04 22,430.75,433.69,430.22,433.69,690 408 755.61,2 001 335 998 883.58,727.00,13.62
20 04 22,429.43,430.80,428.25,430.65,635 221 759.72,1 987 457 960 007.06,727.00,13.75
19 04 22,428.40,430.08,428.40,429.54,947 070 865.15,1 982 916 926 090.09,728.00,13.89
18 04 22,427.17,428.61,426.70,428.34,991 110 900.28,1 977 699 041 263.58,728.00,14.04
15 04 22,425.40,426.86,425.08,426.85,1 427 480 451.13,1 971 024 743 491.83,729.00,14.25
14 04 22,423.75,426.06,423.75,425.24,3 466 960 613.52,1 965 020 289 432.52,731.00,14.42
13 04 22,423.07,423.93,422.95,423.65,2 156 460 046.41,1 957 664 435 208.1,731.00,14.50
12 04 22,422.85,424.34,422.82,422.93,797 680 528.38,1 954 324 050 832.45,732.00,14.50
11 04 22,420.37,423.98,420.10,422.80,722 449 708.35,1 954 691 436 395.84,732.00,14.81
08 04 22,415.83,420.14,415.40,420.14,1 200 406 327.89,1 943 446 140 083.96,733.00,15.41
07 04 22,416.21,417.31,415.42,415.66,774 523 591.15,1 923 102 602 738.64,734.00,15.30
06 04 22,418.21,419.06,415.95,416.15,828 721 667.13,1 925 382 117 450.56,736.00,15.01
05 04 22,419.50,420.96,417.95,418.05,879 936 473.26,1 934 607 311 962.74,736.00,14.81
04 04 22,418.72,420.74,418.68,419.38,527 259 903.51,1 940 767 896 918.4,738.00,14.89
01 04 22,413.79,418.74,413.72,418.39,608 441 153.93,1 936 928 327 455.43,739.00,15.52
31 03 22,408.38,414.83,408.38,413.68,627 258 354.04,1 915 103 771 030.69,737.00,16.23
30 03 22,400.69,408.27,400.64,408.27,1 320 969 908.6,1 891 036 888 311.46,735.00,17.29
29 03 22,402.53,402.95,398.90,400.65,1 816 787 009.92,1 857 429 641 449.05,738.00,16.98
28 03 22,419.95,419.95,402.28,402.41,592 712 990.43,1 865 609 889 248.98,742.00,14.57
25 02 22,415.74,421.59,414.34,419.42,1 581 535 842.44,1 945 184 975 487.63,774.00,14.82
24 02 22,436.53,436.61,414.67,415.33,597 015 559.01,1 926 694 007 427.49,780.00,12.17
