date,CLOSE,"Объем, RUB","Капитализация, RUB","Дюрация индекса, дней","Доходность индекса, %"
13 05 22,517.21,4 600 349 716,1 835 282 985 868.16,1 245,10.44
12 05 22,517.31,339 405 991,1 835 632 368 718.6,1 246,10.42
11 05 22,517.88,557 115 286,1 836 125 510 130.02,1 247,10.38
06 05 22,518.07,190 725 421,1 838 332 172 961.14,1 252,10.32
05 05 22,518.22,313 027 495,1 838 873 724 396.02,1 253,10.31
04 05 22,519.46,550 463 190,1 841 770 402 962.52,1 255,10.22
29 04 22,519.56,3 671 708 850,1 843 647 087 213.34,1 260,10.17
28 04 22,518.39,1 525 173 646,1 839 502 481 501.42,1 260,10.23
27 04 22,519.15,6 511 440 995,1 842 198 528 638.56,1 262,10.17
26 04 22,519.78,2 714 332 818,1 844 432 092 897.66,1 263,10.13
25 04 22,518.56,1 606 742 190,1 839 358 735 764.66,1 264,10.19
22 04 22,520.13,664 493 398,1 845 662 171 436.56,1 267,10.07
21 04 22,520.77,2 558 864 155,1 847 926 412 875.58,1 268,10.03
20 04 22,517.54,5 506 377 016,1 836 449 562 951.48,1 268,10.21
19 04 22,513.63,1 327 347 811,1 822 570 497 374.8,1 268,10.45
18 04 22,508.54,3 191 975 004,1 803 773 699 023.58,1 268,10.76
15 04 22,505.69,189 961 807,1 794 420 667 621.82,1 270,10.91
14 04 22,507.30,1 199 152 384,1 800 134 787 613.54,1 272,10.81
13 04 22,505.63,364 694 027,1 808 090 117 642.52,1 273,10.90
12 04 22,503.96,1 443 647 457,1 802 119 670 532.98,1 263,11.00
11 04 22,502.96,1 045 403 126,1 797 782 770 560.58,1 265,11.06
08 04 22,493.65,3 260 117 564,1 765 235 540 835.2,1 264,11.62
07 04 22,482.96,2 437 454 123,1 726 991 645 505.54,1 262,12.33
06 04 22,484.12,157 119 475,1 731 145 582 564.02,1 263,12.23
05 04 22,485.48,357 682 681,1 735 996 858 246.96,1 265,12.13
04 04 22,484.15,2 493 299 285,1 730 478 092 546.08,1 266,12.22
01 04 22,488.18,1 595 559 176,1 745 635 800 920.76,1 270,11.91
31 03 22,489.19,3 929 297 176,1 749 254 239 572.82,1 272,11.85
30 03 22,481.55,2 184 300 742,1 721 936 492 380.48,1 268,12.30
29 03 22,465.75,3 745 918 178,1 665 435 981 632.84,1 265,13.40
28 03 22,460.79,1 234 661 059,1 646 929 017 470.34,1 264,13.73
25 03 22,454.16,2 202 174 125,1 641 528 353 183.64,1 266,13.82
24 03 22,451.99,908 132 470,1 637 375 946 209.34,1 267,13.97
