BOARDID,SECID,TRADEDATE,SHORTNAME,NAME,CLOSE,OPEN,HIGH,LOW,VALUE
SNDX,IMOEX,11.01.2010,Индекс МосБиржи,Индекс МосБиржи,"1444,78","1370,30","1456,78","1370,30","52052321680,00"
SNDX,IMOEX,12.01.2010,Индекс МосБиржи,Индекс МосБиржи,"1427,67","1444,78","1445,70","1424,73","38821536344,00"
SNDX,IMOEX,13.01.2010,Индекс МосБиржи,Индекс МосБиржи,"1435,01","1427,62","1444,86","1412,87","42228746761,00"
SNDX,IMOEX,14.01.2010,Индекс МосБиржи,Индекс МосБиржи,"1455,65","1435,01","1456,34","1435,01","44511593307,00"
SNDX,IMOEX,15.01.2010,Индекс МосБиржи,Индекс МосБиржи,"1452,67","1455,47","1469,55","1448,68","42675536450,00"
SNDX,IMOEX,18.01.2010,Индекс МосБиржи,Индекс МосБиржи,"1479,53","1452,67","1479,76","1444,90","43049984281,00"
SNDX,IMOEX,19.01.2010,Индекс МосБиржи,Индекс МосБиржи,"1484,03","1479,52","1485,76","1454,91","58126756568,00"
SNDX,IMOEX,20.01.2010,Индекс МосБиржи,Индекс МосБиржи,"1461,23","1484,03","1491,36","1458,21","52549843379,00"
SNDX,IMOEX,21.01.2010,Индекс МосБиржи,Индекс МосБиржи,"1435,90","1461,23","1470,57","1435,45","55102742131,00"
SNDX,IMOEX,22.01.2010,Индекс МосБиржи,Индекс МосБиржи,"1410,38","1435,90","1435,90","1394,91","57708240433,00"
SNDX,IMOEX,25.01.2010,Индекс МосБиржи,Индекс МосБиржи,"1415,86","1410,37","1423,25","1396,39","47258064319,00"
SNDX,IMOEX,26.01.2010,Индекс МосБиржи,Индекс МосБиржи,"1384,79","1415,81","1416,03","1370,44","52371782202,00"
SNDX,IMOEX,27.01.2010,Индекс МосБиржи,Индекс МосБиржи,"1391,25","1384,79","1405,28","1363,03","60112271089,00"
SNDX,IMOEX,28.01.2010,Индекс МосБиржи,Индекс МосБиржи,"1406,55","1391,25","1425,60","1391,25","57061130858,00"
SNDX,IMOEX,29.01.2010,Индекс МосБиржи,Индекс МосБиржи,"1419,42","1406,46","1419,55","1390,32","51005139251,00"
SNDX,IMOEX,01.02.2010,Индекс МосБиржи,Индекс МосБиржи,"1417,00","1419,42","1419,57","1395,92","45908024206,00"
SNDX,IMOEX,02.02.2010,Индекс МосБиржи,Индекс МосБиржи,"1436,63","1417,00","1436,90","1417,00","49084866849,00"
SNDX,IMOEX,03.02.2010,Индекс МосБиржи,Индекс МосБиржи,"1431,08","1436,63","1455,51","1430,00","59587616758,00"
SNDX,IMOEX,04.02.2010,Индекс МосБиржи,Индекс МосБиржи,"1395,87","1431,08","1437,04","1390,54","56805884943,00"
SNDX,IMOEX,05.02.2010,Индекс МосБиржи,Индекс МосБиржи,"1355,64","1395,86","1395,86","1344,74","76716866970,00"
SNDX,IMOEX,08.02.2010,Индекс МосБиржи,Индекс МосБиржи,"1322,15","1355,64","1370,52","1319,06","63382831642,00"
SNDX,IMOEX,09.02.2010,Индекс МосБиржи,Индекс МосБиржи,"1338,16","1322,24","1343,71","1320,93","63830841261,00"
