BOARDID,SECID,TRADEDATE,SHORTNAME,NAME,CLOSE,OPEN,HIGH,LOW,VALUE
RTSI,RTSI,11.01.2010,Индекс РТС,Индекс РТС,"1553,06","1444,70","1561,80","1444,70","320188268,87"
RTSI,RTSI,12.01.2010,Индекс РТС,Индекс РТС,"1535,78","1550,20","1559,75","1528,09","348236490,80"
RTSI,RTSI,13.01.2010,Индекс РТС,Индекс РТС,"1538,43","1535,78","1548,46","1512,81","340850709,48"
RTSI,RTSI,14.01.2010,Индекс РТС,Индекс РТС,"1561,91","1538,37","1561,91","1538,22","294599513,42"
RTSI,RTSI,15.01.2010,Индекс РТС,Индекс РТС,"1559,25","1561,91","1573,90","1553,83","388966550,69"
RTSI,RTSI,18.01.2010,Индекс РТС,Индекс РТС,"1581,09","1559,25","1581,09","1551,99","289695350,32"
RTSI,RTSI,19.01.2010,Индекс РТС,Индекс РТС,"1580,67","1581,09","1588,96","1556,26","452441960,35"
RTSI,RTSI,20.01.2010,Индекс РТС,Индекс РТС,"1556,97","1580,63","1590,02","1555,92","547310304,72"
RTSI,RTSI,21.01.2010,Индекс РТС,Индекс РТС,"1530,29","1556,33","1564,31","1527,33","604541164,02"
RTSI,RTSI,22.01.2010,Индекс РТС,Индекс РТС,"1489,46","1530,53","1533,18","1480,15","593598422,98"
RTSI,RTSI,25.01.2010,Индекс РТС,Индекс РТС,"1485,92","1491,27","1501,32","1471,56","543632749,74"
RTSI,RTSI,26.01.2010,Индекс РТС,Индекс РТС,"1444,33","1485,53","1489,63","1431,92","561934874,83"
RTSI,RTSI,27.01.2010,Индекс РТС,Индекс РТС,"1446,36","1444,87","1462,19","1424,88","598190820,79"
RTSI,RTSI,28.01.2010,Индекс РТС,Индекс РТС,"1460,98","1448,11","1478,39","1440,50","551850462,35"
RTSI,RTSI,29.01.2010,Индекс РТС,Индекс РТС,"1473,81","1458,14","1474,13","1444,10","521411591,86"
RTSI,RTSI,01.02.2010,Индекс РТС,Индекс РТС,"1470,79","1473,81","1473,84","1452,08","426127038,42"
RTSI,RTSI,02.02.2010,Индекс РТС,Индекс РТС,"1498,75","1470,94","1499,19","1469,17","352721806,45"
RTSI,RTSI,03.02.2010,Индекс РТС,Индекс РТС,"1507,15","1498,75","1530,00","1497,47","391299898,67"
RTSI,RTSI,04.02.2010,Индекс РТС,Индекс РТС,"1463,01","1507,59","1514,07","1459,38","382173967,47"
RTSI,RTSI,05.02.2010,Индекс РТС,Индекс РТС,"1411,14","1462,25","1466,95","1394,19","475286978,14"
RTSI,RTSI,08.02.2010,Индекс РТС,Индекс РТС,"1375,34","1411,51","1421,37","1372,83","479427468,01"
RTSI,RTSI,09.02.2010,Индекс РТС,Индекс РТС,"1390,32","1376,42","1399,71","1374,32","420487680,72"
RTSI,RTSI,10.02.2010,Индекс РТС,Индекс РТС,"1387,11","1390,29","1417,65","1380,29","433608198,18"
RTSI,RTSI,11.02.2010,Индекс РТС,Индекс РТС,"1391,94","1387,11","1410,71","1384,38","461689326,93"
RTSI,RTSI,12.02.2010,Индекс РТС,Индекс РТС,"1363,83","1391,94","1406,74","1355,95","444932627,53"
RTSI,RTSI,15.02.2010,Индекс РТС,Индекс РТС,"1375,99","1363,83","1377,08","1362,89","258073936,31"
RTSI,RTSI,16.02.2010,Индекс РТС,Индекс РТС,"1418,16","1377,17","1418,16","1374,73","347989804,03"
RTSI,RTSI,17.02.2010,Индекс РТС,Индекс РТС,"1421,97","1418,00","1436,70","1413,85","380145521,65"
RTSI,RTSI,18.02.2010,Индекс РТС,Индекс РТС,"1410,85","1421,97","1427,30","1396,85","446495287,01"
RTSI,RTSI,19.02.2010,Индекс РТС,Индекс РТС,"1423,13","1410,85","1423,13","1381,55","384211377,70"
RTSI,RTSI,24.02.2010,Индекс РТС,Индекс РТС,"1401,48","1423,13","1427,87","1392,85","346987298,04"
RTSI,RTSI,25.02.2010,Индекс РТС,Индекс РТС,"1373,11","1401,56","1412,27","1363,96","375158861,97"
RTSI,RTSI,26.02.2010,Индекс РТС,Индекс РТС,"1390,25","1373,36","1393,82","1368,73","359733940,04"
RTSI,RTSI,27.02.2010,Индекс РТС,Индекс РТС,"1410,85","1389,80","1413,43","1388,29","118943541,64"
RTSI,RTSI,01.03.2010,Индекс РТС,Индекс РТС,"1429,77","1408,57","1432,89","1402,90","339801384,79"
