0;1;2;3;4;5
1301;9 октября 2020 года;Новость;Банк России сохранил прогноз структурного профицита ликвидности на 2020 год;"В сентябре величина структурного профицита ликвидности незначительно уменьшилась. Ее отток по причине роста объема наличных денег в обращении продолжил снижаться. При этом операции по бюджетному каналу оказали близкое к нейтральному влияние на ликвидность.
Прогноз структурного профицита ликвидности на конец 2020 года составляет 1,4–2,0 трлн рублей. Более подробно читайте в очередном выпуске комментария «Ликвидность банковского сектора и финансовые рынки».";https://www.cbr.ru/press/event/?id=8167
1302;9 октября 2020 года;Новость;Комментарий Банка России об установленных максимальных объемах предоставления средств на аукционах репо;"Банк России установил следующие максимальные объемы предоставления средств кредитным организациям (лимиты) на аукционах репо в рублях 12 октября 2020 года:
Текущий уровень ликвидности российского банковского сектора остается достаточным. При этом в конце года сезонная динамика факторов, влияющих на ликвидность банковского сектора, характеризуется разнонаправленными тенденциями. В частности, сезонное смещение бюджетных расходов на последние недели года в сочетании с текущим активным размещением Минфином России ОФЗ на первичном рынке для финансирования этих расходов делает возможным возникновение кратковременных дисбалансов распределения ликвидности в банковском секторе. В целях предоставления кредитным организациям большей гибкости в управлении ликвидностью в этот период Банк России счел целесообразным увеличить лимит на аукционе репо на срок 1 месяц.
Лимиты на последующих аукционах репо будут определяться с учетом динамики указанных факторов.";https://www.cbr.ru/press/event/?id=8165
1303;9 октября 2020 года;Пресс-релиз;Отозвана лицензия на осуществление банковских операций у Банк «Прохладный» ООО;"Банк России приказом от 09.10.2020 № ОД-1640 отозвал лицензию на осуществление банковских операций у Банка «Прохладный» (общество с ограниченной ответственностью) Банк «Прохладный» ООО (рег. № 874, Кабардино-Балкарская Республика, г. Прохладный, далее — Банк «Прохладный»). По величине активов кредитная организация занимала 348 место в банковской системе Российской Федерации1.
Банк России принял такое решение в соответствии с п. 6 части первой ст. 20 Федерального закона «О банках и банковской деятельности»2, руководствуясь тем, что Банк «Прохладный»:
Более 70% кредитного портфеля Банка «Прохладный» представлено проблемными ссудами. Банк России неоднократно направлял в адрес Банка «Прохладный» предписания о доформировании резервов на возможные потери, исполнение которых выявило наличие в его деятельности основания для осуществления мер по предупреждению несостоятельности (банкротства), что создало реальную угрозу интересам его кредиторов и вкладчиков.
Кроме того, банком проводились схемные операции по сокрытию уровня просроченной задолженности и формированию процентных доходов, информация о которых будет направлена Банком России в правоохранительные органы.
В Банк «Прохладный» назначена временная администрация Банка России3, которая будет действовать до момента назначения конкурсного управляющего4 либо ликвидатора5. Полномочия исполнительных органов кредитной организации в соответствии с федеральными законами приостановлены.
Информация для вкладчиков: Банк «Прохладный» является участником системы страхования вкладов, поэтому суммы вкладов будут возвращены вкладчикам6 в размере 100% остатка средств, но не более 1,4 млн рублей в совокупности на одного вкладчика (с учетом начисленных процентов по вкладам), за исключением случаев, определенных главой 2.1 Федерального закона «О страховании вкладов в банках Российской Федерации».
Выплата вкладов производится Государственной корпорацией «Агентство по страхованию вкладов» (далее — Агентство). Подробная информация о порядке выплат может быть получена вкладчиками круглосуточно по телефону горячей линии Агентства (8 800 200-08-05), а также на сайте Агентства в сети Интернет (https://www.asv.org.ru/) в разделе «Страхование вкладов/Страховые случаи».

1 Согласно данным отчетности на 01.01.2020.

2 Решение Банка России принято в связи с неисполнением кредитной организацией федеральных законов, регулирующих банковскую деятельность, а также нормативных актов Банка России с учетом неоднократного применения в течение одного года мер, предусмотренных Федеральным законом «O Центральном банке Российской Федерации (Банке России)», принимая во внимание наличие реальной угрозы интересам кредиторов и вкладчиков.


3 В соответствии с приказом Банка России от 09.10.2020 № ОД-1641.


4 В соответствии со статьями 127 и 189.68 Федерального закона «О несостоятельности (банкротстве)».


5 В соответствии со статьей 23.1 Федерального закона «О банках и банковской деятельности».


6 Вкладчик — гражданин Российской Федерации, иностранный гражданин, лицо без гражданства, в том числе осуществляющие предпринимательскую деятельность, или юридическое лицо, указанное в статье 5.1 Федерального закона «О страховании вкладов в банках Российской Федерации», заключившие с банком договор банковского вклада или договор банковского счета, либо любое из указанных лиц, в пользу которого внесен вклад и (или) которое является владельцем сберегательного сертификата, либо лицо, являющееся владельцем специального счета (специального депозита), предназначенного для формирования и использования средств фонда капитального ремонта общего имущества в многоквартирном доме, открытого в соответствии с требованиями Жилищного кодекса Российской Федерации.



При использовании материала ссылка на Пресс-службу Банка России обязательна.";https://www.cbr.ru/press/pr/?file=09102020_084648PR2020-10-09T08_46_31.htm
1304;9 октября 2020 года;Пресс-релиз;Отозвана лицензия на осуществление банковских операций у ООО «Банк «Майский»;"Банк России приказом от 09.10.2020 № ОД-1638 отозвал лицензию на осуществление банковских операций у ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ БАНК «МАЙСКИЙ» ООО «Банк «Майский» (рег. № 1673, Кабардино-Балкарская Республика, г. Майский, далее — Банк «Майский»). По величине активов кредитная организация занимала 350 место в банковской системе Российской Федерации1.
Банк России принял такое решение в соответствии с п.п. 6 и 6.1 части первой ст. 20 Федерального закона «О банках и банковской деятельности»2, руководствуясь тем, что Банк «Майский»:
Банк России неоднократно направлял в адрес кредитной организации предписания с требованиями об адекватной оценке принимаемых рисков и отражении в отчетности своего реального финансового положения. В ходе проведенной проверки были выявлены случаи фиктивного погашения ссудной задолженности в целях сокрытия реального уровня просроченной задолженности и искусственного формирования процентных доходов кредитной организации.
Информация о проводившихся банком операциях, имеющих признаки совершения уголовно наказуемых деяний, будет направлена Банком России в правоохранительные органы.
В Банк «Майский» назначена временная администрация Банка России3, которая будет действовать до момента назначения конкурсного управляющего4 либо ликвидатора5. Полномочия исполнительных органов кредитной организации в соответствии с федеральными законами приостановлены.
Информация для вкладчиков: Банк «Майский» является участником системы страхования вкладов, поэтому суммы вкладов будут возвращены вкладчикам6 в размере 100% остатка средств, но не более 1,4 млн рублей в совокупности на одного вкладчика (с учетом начисленных процентов по вкладам), за исключением случаев, определенных главой 2.1 Федерального закона «О страховании вкладов в банках Российской Федерации».
Выплата вкладов производится Государственной корпорацией «Агентство по страхованию вкладов» (далее — Агентство). Подробная информация о порядке выплат может быть получена вкладчиками круглосуточно по телефону горячей линии Агентства (8 800 200-08-05), а также на сайте Агентства в сети Интернет (https://www.asv.org.ru/) в разделе «Страхование вкладов/Страховые случаи».

1  Согласно данным отчетности на 01.09.2020.

2  Решение Банка России принято в связи с неисполнением федеральных законов, регулирующих банковскую деятельность, а также нормативных актов Банка России, неоднократным нарушением в течение одного года требований, предусмотренных статьями 6, 7 (за исключением пункта 3 статьи 7) Федерального закона «O противодействии легализации (отмыванию) доходов, полученных преступным путем, и финансированию терроризма», с учетом неоднократного применения в течение одного года мер, предусмотренных Федеральным законом «O Центральном банке Российской Федерации (Банке России)».


3 В соответствии с приказом Банка России от 09.10.2020 № ОД-1639.


4  В соответствии со статьями 127 и 189.68 Федерального закона «О несостоятельности (банкротстве)».


5  В соответствии со статьей 23.1 Федерального закона «О банках и банковской деятельности».


6  Вкладчик — гражданин Российской Федерации, иностранный гражданин, лицо без гражданства, в том числе осуществляющие предпринимательскую деятельность, или юридическое лицо, указанное в статье 5.1 Федерального закона «О страховании вкладов в банках Российской Федерации», заключившие с банком договор банковского вклада или договор банковского счета, либо любое из указанных лиц, в пользу которого внесен вклад и (или) которое является владельцем сберегательного сертификата, либо лицо, являющееся владельцем специального счета (специального депозита), предназначенного для формирования и использования средств фонда капитального ремонта общего имущества в многоквартирном доме, открытого в соответствии с требованиями Жилищного кодекса Российской Федерации.



При использовании материала ссылка на Пресс-службу Банка России обязательна.";https://www.cbr.ru/press/pr/?file=09102020_083515PR2020-10-09T08_33_36.htm
1305;8 октября 2020 года;Новость;Мониторинг отраслевых финансовых потоков: нормализация потоков в отраслях инвестиционного спроса;"Финансовые потоки в инвестиционных отраслях практически достигли «нормального» уровня.
Это подтверждается и другими оперативными индикаторами, которые указывают на продолжение уверенного восстановления объема работ в строительстве и производстве строительных материалов. В отраслях потребительского спроса продолжается снижение потоков с повышенных уровней, наблюдавшихся летом. В экспортных отраслях происходит стабилизация на пониженном уровне. Более подробно читайте в очередном выпуске «Мониторинга отраслевых финансовых потоков».";https://www.cbr.ru/press/event/?id=8163
1306;8 октября 2020 года;Пресс-релиз;Результаты мониторинга максимальных процентных ставок кредитных организаций;"Результаты мониторинга в сентябре 2020 года максимальных процентных ставок по вкладам1 в российских рублях десяти кредитных организаций2, привлекающих наибольший объём депозитов физических лиц:
I декада  сентября — 4,41%;
II декада  сентября — 4,40%;
III декада  сентября — 4,40%.
 
Сведения о динамике результатов мониторинга представлены на официальном сайте Банка России.

1 При определении максимальной процентной ставки по каждой кредитной организации:
— учитываются максимальные ставки по вкладам, доступным любому клиенту (в том числе потенциальному) без ограничений и предварительных условий. Вклады для выделенных категорий клиентов (пенсионеры, дети) и целей (на социальные и гуманитарные цели и т.п.) не рассматриваются;
— не учитываются ставки с капитализацией процентов по вкладу;
— не учитываются ставки, действующие при соблюдении определенных условий (регулярный оборот по банковской карте, постоянный неснижаемый остаток на банковской карте и т.п.);
— не рассматриваются комбинированные депозитные продукты, т.е. вклады с дополнительными условиями. Такими дополнительными условиями начисления повышенной процентной ставки могут быть, например, приобретение инвестиционных паев на определенную сумму, открытие инвестиционного счета, оформление программы инвестиционного или накопительного страхования жизни, подключение дополнительного пакета услуг и т.п.;
— не рассматриваются вклады, срок которых разделен на периоды с различными ставками.
Средняя максимальная процентная ставка рассчитывается как средняя арифметическая максимальных процентных ставок 10 кредитных организаций.

2 ПАО СБЕРБАНК (1481) — www.sberbank.ru, ПАО «СОВКОМБАНК» (963) — sovcombank.ru, Банк ВТБ (ПАО) (1000) — www.vtb.ru, АО «РАЙФФАЙЗЕНБАНК» (3292) — www.raiffeisen.ru, БАНК ГПБ (АО) (354) — www.gazprombank.ru, ПАО «МОСКОВСКИЙ КРЕДИТНЫЙ БАНК» (1978) — mkb.ru, АО «АЛЬФА-БАНК» (1326) — alfabank.ru, ПАО БАНК «ФК ОТКРЫТИЕ» (2209) — www.open.ru, ПАО «ПРОМСВЯЗЬБАНК» (3251) — www.psbank.ru, АО «РОССЕЛЬХОЗБАНК» (3349) — www.rshb.ru. Мониторинг проведен Департаментом обеспечения банковского надзора Банка России с использованием информации, представленной на указанных веб-сайтах. Публикуемый показатель является индикативным.



При использовании материала ссылка на Пресс-службу Банка России обязательна.";https://www.cbr.ru/press/pr/?file=08102020_172356mmps.htm
1307;8 октября 2020 года;Новость;В сентябре рынки более спокойно отреагировали на усиление пандемии, чем весной;"В сентябре ускорилось распространение пандемии коронавируса в мире, что привело к возобновлению ряда ограничительных мер в отдельных странах.
Реакция рынков была более спокойной, чем весной 2020 года. Это связано как с более осторожным возобновлением ограничений, так и с мерами центральных банков и правительств по поддержке экономики и купированию рисков финансовой стабильности. Более подробно читайте в очередном выпуске «Обзора рисков финансовых рынков».";https://www.cbr.ru/press/event/?id=8162
1308;8 октября 2020 года;Пресс-релиз;Информация о результатах проведенного временной администрацией обследования кредитной организации АО «Народный банк»;"Временная администрация по управлению кредитной организацией АО «Народный банк» (далее — Банк), назначенная приказом Банка России от 24.07.2020 № ОД-1175 в связи с отзывом у Банка лицензии на осуществление банковских операций, по результатам обследования кредитной организации установила обстоятельства, которые дают основания полагать наличие в деятельности бывшего руководства и собственников Банка признаков действий, направленных на предпочтительное удовлетворение кредиторов перед другими кредиторами Банка, на вывод ликвидных активов посредством совершения сделок по продаже имущества, монет из драгоценных металлов, а также путем кредитования заемщиков, не обладающих способностью исполнить свои обязательства, с причинением Банку ущерба на сумму не менее 1,2 млрд рублей.
По оценке временной администрации, стоимости активов Банка недостаточно для выполнения обязательств перед кредиторами.
Банком России в Арбитражный суд города Москвы 21.08.2020 направлено заявление о признании Банка несостоятельным (банкротом). Рассмотрение дела назначено на 30.10.2020.
Информация о финансовых операциях, имеющих признаки уголовно наказуемых деяний, осуществленных должностными лицами Банка, направлена Банком России в Генеральную прокуратуру Российской Федерации и Следственный департамент Министерства внутренних дел Российской Федерации для рассмотрения и принятия соответствующих процессуальных решений.

При использовании материала ссылка на Пресс-службу Банка России обязательна.";https://www.cbr.ru/press/pr/?file=08102020_170000PR2020-10-08T16_18_13.htm
1309;8 октября 2020 года;Интервью;Интервью директора Департамента обеспечения банковского надзора Александра Данилова агентству «Прайм»;"Когда «гром грянул», мы не метались
И аналитики, и власти неоднократно отмечали, что российские банки к нынешнему кризису, вызванному пандемией коронавируса, подошли подготовленными. Вместе с тем, риски для сектора никуда не делись. Что ждет банковскую систему России в будущем, какие уроки она должна извлечь, а также, сколько заработает по итогам 2020 года, в интервью агентству ПРАЙМ рассказал директор департамента обеспечения банковского надзора Банка России Александр Данилов.
— Александр Сергеевич, как вызванный пандемией коронавируса кризис повлиял на состояние банковской системы? Какие изменения произошли в структуре кредитного портфеля, в структуре привлеченных средств российского банковского сектора?
— Начать нужно с самого главного: в целом банковский сектор достаточно неплохо справляется с ситуацией. Все оказалось (пока, во всяком случае) лучше, чем изначально виделось. Экономика начала восстанавливаться, мы видим это по денежным потокам компаний, по возвращению кредитования к нормальным уровням, хотя в начале весны пришлось понервничать.
В корпоративном кредитовании был всплеск весной после ввода ограничительных мер, поскольку компании из-за падения выручки стали нуждаться в кредитных ресурсах. Прирост корпоративного портфеля в марте был рекордным — около триллиона рублей. Значительный рост был также в апреле, однако по мере нормализации ситуации темпы пошли на спад и, начиная с июня-июля, стали возвращаться на уровни 2019 года. По итогам 8 месяцев корпоративные кредиты выросли на 6,8%, выше, чем за весь прошлый год, когда рост составил 5,8%.
В сегменте необеспеченных кредитов был резкий спад весной — в начале лета, что ожидаемо с учетом повышенных рисков для банков. В итоге рост этого портфеля за восемь месяцев составил лишь 4,7% в сравнении с 20,9% за весь прошлый год и 15,5% за январь-август 2019 года. Однако в августе выдачи в целом вернулись на докризисный уровень.
Основным локомотивом роста розничного кредитования в этом году выступает ипотека, где риски меньше, а спрос был поддержан за счет снижения рыночных ставок, а также программ господдержки — в последние несколько месяцев на них приходится около 40% выданных ипотечных кредитов. В частности, треть выдач жилищных кредитов осуществляется в рамках госпрограммы льготной ипотеки под 6,5%. По итогам восьми месяцев ипотечный портфель прибавил 10,6%, и, судя по последним месяцам, темп выдач набирает обороты, так что по году рост может быть больше 18%.
Средства клиентов, компаний и населения, по итогам 8 месяцев выросли на 3,4%. Сейчас ситуация достаточно спокойная, хотя весной были оттоки со счетов граждан, поскольку у населения был повышенный спрос на наличные в период ограничений. И в целом прирост по розничным вкладам в этом году ниже, чем в прошлом. В условиях мягкой денежно-кредитной политики, когда ставки снижаются, уменьшается и привлекательность депозитов. Из-за этого наблюдаются некоторые структурные изменения, в частности, меняется срочность — снижается объем долгосрочных депозитов и появляется больше краткосрочных или текущих счетов. Также есть перетоки средств населения из банковской системы в альтернативные инструменты сбережения. Больших рисков пока в этой связи мы не видим, но, возможно, в дальнейшем банкам придется больше конкурировать не только между собой, но и с другими видами финансовых посредников.
Позитивно, что в этот кризис, в отличие от предыдущего, прибыль банков снизилась не сильно, так что у них есть существенный дополнительный запас прочности. По итогам 8 месяцев они заработали 933 миллиарда рублей, что довольно много с учетом обстоятельств. Конечно, в условиях возросшей неопределенности, связанной с пандемией давать какие-то прогнозы достаточно сложно. Но если удастся избежать масштабной второй волны и новых ограничительных мер, то я думаю, что прибыль в 1,2-1,3 триллиона по итогам года вполне достижима, даже может быть больше.
То, что банки прибыльны, способствует стабильности системы, потому что прибыль является «первой линией обороны» на случай роста резервов. Также прибыль является источником капитала для банков, позволяя им расти и кредитовать экономику, что особенно важно в период ее восстановления.
— Летом замминистра финансов Алексей Моисеев выразил опасения, что из-за субсидирования государством ставок на ипотечном рынке может образоваться пузырь. На ваш взгляд, справедливы ли эти опасения, в частности, из-за самой популярной программы под 6,5%?
— Пока волноваться не стоит. В рамках программы по состоянию на начало сентября было выдано около 400 миллиардов рублей при общем лимите 900 миллиардов рублей. Это не так уж много с учетом того, что весь ипотечный кредитный портфель банков около 8,5 триллионов рублей. И не надо забывать, что в рамках этой программы есть требования о наличии первоначального взноса в размере не менее 15%, а ставка субсидируется на всем сроке кредита.
Но, конечно, если будет принято решение о продлении программы и увеличении лимита, то надо будет смотреть. Потенциальные риски связаны с тем, что быстрое увеличение объемов выдач кредитов может вести к росту цен на жилье, создавая риски перегрева. После окончания программы спрос может упасть, а за ним и цены. Если в этом момент произойдет очередной кризис, когда у людей упадут доходы, то кредитные риски для банков могут существенно вырасти.
— Банк России не раз указывал, что кампания по оздоровлению банковской отрасли находится в завершающей стадии, подтверждается это и значительным снижением отзывов лицензий у банков. Не приведет ли кризис к тому, что интенсивность расчистки банковского сектора от слабых игроков может снова вырасти? По данным регулятора, как много слабых игроков появилось из-за кризиса?
— Пик ухода с рынка нежизнеспособных и недобросовестных игроков был пройден в 2014-2017 годах — тогда было отозвано 327 банковских лицензий, еще около 30 банков было санировано, включая несколько крупных федеральных кредитных организаций. Потом процесс пошел на спад. В 2018-ом было отозвано 60 лицензий, за 2019-й год 28, а с начала этого года всего восемь. При этом банки, лицензии которых в последнее время отзывались, очень маленькие, их доля в активах сектора незначительная — суммарно не более 1%. Так что оздоровление сектора действительно находится в завершающей фазе.
— Сколько убыточных банков появилось из-за кризиса?
— Количество убыточных банков увеличилось не сильно. По итогам восьми месяцев 2020-го таких игроков было 105, а за тот же период прошлого года их было 98. Но пусть вас цифра не пугает, это очень маленькие банки — на их долю приходится меньше 3% активов сектора. Иными словами, банковский сектор в основной массе, прибыльный — по результатам восьми месяцев заработал 933 миллиарда рублей, что довольно много с учетом кризиса.
— Летом сразу несколько банков добровольно сдали лицензии и были ликвидированы. Возможно ли увеличение числа сдачи лицензий из-за кризиса? Не считаете ли вы трендом такую форму ухода с рынка игроков?
— Я бы не назвал это трендом — таких банков было восемь в этом году, и, опять же, это не влияет на банковский сектор, потому что эти игроки очень маленькие. То, что они уходят добровольно — это хорошая практика, потому что не влечет расходов для государства, компаний и граждан. Их акционеры осознали, что банковский бизнес становится все сложнее, и лучше выйти сейчас с сохраненной репутацией и без существенных потерь, чем потом, понеся дополнительные убытки и попав в черный список. Просто на этапах становления банковского бизнеса было проще, больше возможностей, но со временем конкуренция обострилась, выросли требования.
Сейчас для успеха в банковском бизнесе нужно обладать очень хорошей экспертизой, технологической платформой, иметь клиентскую базу, а также продуктовые решения. Поэтому некоторые акционеры, понимая все сложности, решают выйти и сфокусироваться на других своих бизнесах, что разумно.
— Как изменится банковский сектор из-за этого кризиса? Какой урок он преподал? Какие выводы регулятор и банки должны сделать?
— Во-первых, все поняли важность цифровизации, возможность дистанционного обслуживания клиентов и организации работы для обеспечения непрерывности деятельности. Также, полагаю, банки увидели потенциал для экономии расходов — если можно качественно оказывать услуги дистанционно, и люди этим пользуются, то зачем нести огромные расходы на содержание большой сети отделений.
Также некоторые банки переосмыслили и переоценили свои бизнес-модели, и в частности, риск-аппетиты в отношении определенных направлений кредитования, в том числе сегментов потребительского кредитования. Так в этом году необеспеченное кредитование мало растет из-за высоких рисков. Но зато «бумит» ипотека, где есть залоги, и качество ссуд гораздо выше.
Кроме того, думаю, что банки осознали, как важно иметь «подушку» капитала на случай возникновения каких-либо шоков. Те требования по надбавкам, которые мы вводили последние несколько «тучных» лет, несмотря на критику со стороны банков, сейчас позволяют им чувствовать себя довольно уверенно, и они могут достаточно спокойно создавать дополнительные резервы без риска для нормативов по капиталу. В результате все эксперты признают, что, в отличие от предыдущих кризисов, нынешний не является кризисом банковского сектора. Наоборот, сейчас банки активно помогают населению и экономике его преодолевать.
С точки зрения регулирования мы в очередной раз убедились, как важно иметь в арсенале набор антикризисных мер. Благо по большей части он у нас уже был, и когда «гром грянул», мы не метались в поисках, а подключали по мере необходимости нужные механизмы поддержки. Особо нужно отметить важность эффективной координации между Банком России и правительством в части реализации отдельных общих мер.
— Не раз говорилось, что этот кризис не банковский, но все же некоторые аналитики утверждают, что риски для банков никуда не делись, они сохраняются. Разделяет ли Банк России эти опасения?
— Пока ситуация существенно лучше, чем многие ожидали в начале кризиса. Мы не видим большого роста проблемных кредитов и резервов у банков. В значительной степени это связано с тем, что банки активно реструктуровали кредиты — с конца марта по начало октября на сумму более 6 триллионов рублей, примерно 10% кредитного портфеля.
Банк России благоприятствовал этому — предоставил банкам временные послабления, позволив реструктурировать кредиты без необходимости увеличивать по ним резервы. Реструктуризации призваны помочь хорошим заемщикам (послабления действуют в значительной части в отношении заемщиков первой — второй категорий качества), пострадавшим отраслям малого и среднего бизнеса, а также людям, чьи доходы сильно сократились. Важно понимать, что эти реструктурированные кредиты не проблемные, скорее их качество пока неопределенное.
Полагаем, что большей части заемщиков реструктуризации помогут, и они опять вернутся к нормальному обслуживанию долга. Однако вероятно, что некоторые заемщики все же не справятся с последствиями пандемии, и их кредиты уйдут в дефолт. По ним банкам придется досоздавать резервы.
В связи с этим, понятно, есть некоторые опасения аналитиков и экспертов, что может начаться рост проблемной задолженности по мере того, как банки будут переоценивать реструктурированные кредиты на выходе из режима послаблений. Напомню, что банки должны будут досоздать необходимые резервы в зависимости от категории кредитов, либо к апрелю, либо к середине следующего года.
Таким образом, основная неопределенность связана с тем, насколько сильно вырастет объем реструктурированных кредитов, и сколько из них в итоге станут проблемными. Отвечая на первую часть вопроса — в последние месяцы спрос на реструктуризации сильно сократился, и если ситуация в экономике продолжит улучшаться (или как минимум не будет ухудшаться), то существенного дополнительного роста объема реструктурированных ссуд, скорее всего, не произойдет.
В отношении второй части вопроса, мы недавно опросили крупнейшие банки, и большинство из них полагает, что проблемными станут около 20% от реструктурированных кредитов населению и МСП. Это в целом согласуется с нашими оценками. Потери по кредитам крупным компаниям будут, скорее всего, меньше, так как у них больше финансовой гибкости.
То есть, суммарно речь идет о где-то 2-3% дополнительных проблемных кредитов, что в целом не так уж много. Для сравнения у банковского сектора в моменте есть запас капитала, достаточный для резервирования около 11% кредитов. То есть в три раза больше потенциального объема дополнительных проблем. Также банки сейчас прибыльны — по результатам восьми месяцев заработали 933 миллиарда — и в первую очередь будут создавать резервы именно из прибыли, не тратя капитал.
Так что пока ситуация выглядит достаточно управляемой. Однако есть риск, связанный с возможностью второй волны и возвращением части ограничений, но будем надеяться, что на этот раз обойдется без жестких мер. Также надо сделать оговорку, что капитал в секторе распределен неравномерно, то есть у одних банков его больше, чем у других. И объём проблемы тоже может отличаться от банка к банку. То есть может так оказаться, что у какого-то банка и запас поменьше, и проблем побольше.
— Расскажите подробнее, что собой представляет надзорное стресс-тестирование, как регулятор планирует использовать его в своей надзорной работе? Что уже сделано в этом направлении?
— Это очень полезный инструмент, потому что с его помощью можно оценить устойчивость банков к кризисным явлениям — как к общим шокам, так и к индивидуальным. Он широко используется в практике других центральных банков. В этом году из-за пандемии мы делали стресс-тест как внутреннее аналитическое упражнение для оценки влияния пандемии.
Мы построили индивидуальные динамические финансовые модели (с ежеквартальной итерацией баланса и отчета о прибылях и убытках) по 20 крупнейшим банкам, а по остальным банкам агрегированную модель, покрыв тем самым весь сектор. В результате мы увидели, что, даже с учетом довольно серьезных уровней стресса, которые мы заложили, серьезных проблем у сектора не возникает.
В перспективе этим крупнейшим 20 банкам, которые мы сами обсчитывали, будем рассылать индивидуальные таблицы для заполнения. Смысл в том, что они сами себя должны протестировать и предоставить нам результаты для того, чтобы мы могли увидеть, как банки себя видят, и сопоставить это с нашими выводами. И благодаря такой выверке у нас будет детальное понимание того, как крупнейшие банки поведут себя в тех или иных стрессовых ситуациях.
Таким образом, около 80% рынка мы будем покрывать за счет этих очень детальных, выверенных с банками моделей, а по остальным банкам будем делать стресс-тестирование самостоятельно. Мы не будем их запрашивать в силу операционных ограничений — нет возможности со всеми такую достаточно сложную процедуру делать, да и нет необходимости.
В рамках этой работы мы планируем выпускать аналитические материалы, чтобы рынок мог лучше ориентироваться в ситуации. Пока не хотим ничего конкретного анонсировать, есть еще потребность в дополнительной внутренней проработке, но идея именно в том, чтобы сообщать рынку о подверженности банков разного рода стрессам и о том, какие инструменты для их преодоления мы, как регулятор, можем использовать.
— А когда следующее стресс-тестирование крупнейших банков? Когда они должны вам предоставить результаты?
— Мы планируем обновить расчет нашего внутреннего стресс-теста до конца года — мы не ждем каких-то принципиально новых результатов, скорее делаем это для отработки инструментария. А вообще полноценный надзорный стресс-тест планируется в следующем году. В этом году мы разошлем банкам параметры стресс-тестирования и будем ждать от них результаты во втором квартале следующего года. Мы высылаем заранее для того, чтобы у них была возможность в рамках своего процесса бизнес-планирования и, возможно, внутреннего стресс-тестирования на следующий год, параллельно сделать работу и по надзорному стресс-тесту.
— В ЦБ ранее заявляли, что банки в России могут выдержать шоки вдвое мощнее, чем в предыдущие кризисы, 2008 и 2014 годов. На чем основана такая оценка российского банковского сектора? Не менялась ли она? Ведь кризис еще не закончился.
— Речь идет о запасе капитала, который банки могут направить на создание резервов без нарушения минимальных нормативов. В прошлый кризис 2014 года у банков запас капитала был порядка двух триллионов рублей, а сейчас около 6 триллионов, почти в три раза больше. То есть, при прочих равных сейчас система может выдержать уровень стресса в три раза больше. Также важно уточнить, что это запас прочности «в моменте», то есть если резервы надо создать сразу. Но это довольно консервативное допущение — в реальности у банков есть время, в том числе за счет послаблений, чтобы сделать это постепенно. Сначала они будут направлять на резервы часть прибыли, и только если ее будет недостаточно, тогда им придется тратить сам капитал.
— Регулятор указывал, что в России есть хронически убыточные банки, и это является серьезной проблемой для банковского сектора. Как кризис отразится на количестве таких игроков? Насколько может вырасти их число из-за кризиса?
— Не все сто с лишним банков, которые убыточны по итогам 8 месяцев этого года, хронически убыточны. То есть не все они были убыточными в прошлом году. Хронически убыточных — порядка 40. Однако их суммарная доля в активах около 1%, то есть это вообще ничтожная цифра в масштабах сектора.
— Есть ли видение, насколько может вырасти число хронически убыточных банков из-за кризиса, поскольку его последствия растянутся на длительное время, не только на этот год?
— Нельзя исключать, что их количество несколько вырастет, но вряд ли сильно, плюс надо учитывать, что это, как правило, банки маленькие, и занимаемая ими доля от активов сектора незначительна.
Автор: Светлана Орлик
Агентство экономической информации «Прайм», 08.10.2020";https://www.cbr.ru/press/event/?id=8160
