0;1;2;3;4;5
1;01.07.2014;Пресс-релиз;О продаже принадлежащих Банку России обыкновенных акций ОАО Московская Биржа;"В целях выполнения требования Федерального закона № 251-ФЗ от 23 июля 2013 г. о прекращении участия Банка России в капитале открытого акционерного общества «Московская Биржа ММВБ-РТС» до 1 января 2016 г., Совет директоров Банка России принял решение о продаже принадлежащих Банку России обыкновенных акций ОАО Московская Биржа в рамках нескольких сделок с привлечением компаний Goldman Sachs, J.P. Morgan, ВТБ Капитал и Сбербанк КИБ в качестве финансовых консультантов; Газпромбанк и Citigroup в качестве соисполнителей — финансовых консультантов; Cleary Gottlieb Steen & Hamilton LLC в качестве юридического консультанта Банка России.
При использовании материала ссылка на Пресс-службу Банка России обязательна.";http://www.cbr.ru/press/PR/?file=01072014_185059if2014-07-01T18_47_00.htm
2;01.07.2014;Пресс-релиз;Об Указании Банка России от 23 апреля 2014 года № 3239-У;"Банк России издал Указание Банка России от 23 апреля 2014 года № 3239-У «О предоставлении Банком России кредитов без обеспечения кредитным организациям», зарегистрированное Министерством юстиции Российской Федерации 18 июня 2014 года, № 32754 (далее — Указание).
Указание принято в целях совершенствования нормативной базы, регламентирующей применение инструментов рефинансирования кредитных организаций, а также в связи с произошедшими за последние годы изменениями в российском законодательстве, в частности в законодательстве о клиринговой деятельности. Указание обеспечивает возможность более гибкого и оперативного регулирования предоставления кредитов без обеспечения.
Вступление в силу Указания не предполагает возобновления Банком России предоставления кредитов без обеспечения. Решение о возобновлении и параметрах этих операций будет в случае необходимости принимать Совет директоров Банка России.
Указание разработано в соответствии с пунктом 11 части первой статьи 46 Федерального закона от 10 июля 2002 года № 86-ФЗ «О Центральном банке Российской Федерации (Банке России)». Указание признает утратившим силу Положение Банка России от 16 октября 2008 года № 323-П «О предоставлении Банком России кредитов без обеспечения кредитным организациям».
При использовании материала ссылка на Пресс-службу Банка России обязательна.";http://www.cbr.ru/press/PR/?file=01072014_183615if2014-07-01T18_02_37.htm
3;17.07.2014;Пресс-релиз;О прекращении деятельности временной администрации;"В связи с решением Арбитражного суда города Москвы от 01.07.2014 о признании несостоятельной (банкротом) кредитной организации коммерческий банк «Местный кредит» (общество с ограниченной ответственностью) ООО КБ «МК Банк» (г. Москва) (регистрационный номер Банка России 3370, дата регистрации 11.04.2001) и назначением конкурсного управляющего, в соответствии с пунктом 4 статьи 18 Федерального закона «О несостоятельности (банкротстве) кредитных организаций» Банк России принял решение (приказ от 17.07.2014 года № ОД-1806) прекратить с 18 июля 2014 года деятельность временной администрации по управлению кредитной организацией коммерческий банк «Местный кредит» (общество с ограниченной ответственностью), назначенной приказом Банка России от 24.04.2014 № ОД-804 «О назначении временной администрации по управлению кредитной организацией коммерческий банк „Местный кредит“ (общество с ограниченной ответственностью) ООО КБ „МК Банк“ (г. Москва) в связи с отзывом лицензии на осуществление банковских операций».
При использовании материала ссылка на Пресс-службу Банка России обязательна.";http://www.cbr.ru/press/PR/?file=17072014_143022ik2014-07-17T14_25_12.htm
4;17.07.2014;Пресс-релиз;О решении Банка России от 16 июля 2014 года;"Решение Банка России от 16 июля 2014 года:

Переоформить бланки лицензий профессионального участника рынка ценных бумаг следующим организациям:
Обществу с ограниченной ответственностью Банку Оранжевый на осуществление брокерской и дилерской деятельности в связи с изменением наименования и места нахождения (прежнее наименование: Общество с ограниченной ответственностью «ПромСервисБанк») (г. Санкт-Петербург);
Коммерческому банку «ОПМ — Банк» (общество с ограниченной ответственностью) на осуществление брокерской, дилерской, депозитарной деятельности и деятельности по управлению ценными бумагами в связи с изменением места нахождения (г. Москва);
Обществу с ограниченной ответственностью «Кинеф Инвестиции» на осуществление брокерской, дилерской, депозитарной деятельности и деятельности по управлению ценными бумагами в связи с изменением места нахождения (г. Москва);
Обществу с ограниченной ответственностью «Базилевс Финанс» на осуществление брокерской, дилерской деятельности и деятельности по управлению ценными бумагами в связи с изменением места нахождения (г. Москва);
Открытому акционерному обществу «Ай Ти Инвест» на осуществление брокерской, дилерской, депозитарной деятельности и деятельности по управлению ценными бумагами в связи с изменением места нахождения (г. Москва);
Обществу с ограниченной ответственностью «РОН Инвест» на осуществление брокерской, дилерской, депозитарной деятельности и деятельности по управлению ценными бумагами в связи с изменением места нахождения (г. Москва);
Коммерческому банку «Транспортный» (общество с ограниченной ответственностью) на осуществление брокерской, дилерской, депозитарной деятельности и деятельности по управлению ценными бумагами в связи с изменением места нахождения (г. Москва);
Закрытому акционерному обществу ФГ «Техкапитал» на осуществление брокерской, дилерской деятельности и деятельности по управлению ценными бумагами в связи с изменением места нахождения (г. Москва);
Обществу с ограниченной ответственностью ПромТрансБанку на осуществление брокерской, дилерской, депозитарной деятельности и деятельности по управлению ценными бумагами в связи с изменением наименования (прежнее наименование: Общество с ограниченной ответственностью «Промышленно — Транспортный Банк») (г. Уфа);
Обществу с ограниченной ответственностью «Новосиб Инвест» на осуществление брокерской, дилерской, депозитарной деятельности и деятельности по управлению ценными бумагами в связи с изменением места нахождения (г. Москва);
Обществу с ограниченной ответственностью «ФМ Капитал» на осуществление брокерской, дилерской деятельности и деятельности по управлению ценными бумагами в связи с изменением места нахождения (г. Москва);
Обществу с ограниченной ответственностью «Инвестиционная компания «Гелиус Капитал» на осуществление брокерской, дилерской и депозитарной деятельности в связи с изменением места нахождения (г. Москва);
Обществу с ограниченной ответственностью «Сибирь Кэпитал Групп» на осуществление брокерской, дилерской, депозитарной деятельности и деятельности по управлению ценными бумагами в связи с изменением места нахождения (г. Москва);
Обществу с ограниченной ответственностью «ГПБ Капитал» на осуществление брокерской, дилерской деятельности и деятельности по управлению ценными бумагами в связи с изменением места нахождения (г. Москва);
Обществу с ограниченной ответственностью «Инвестиционная компания «Капитал-Инком» на осуществление брокерской, дилерской, депозитарной деятельности и деятельности по управлению ценными бумагами в связи с изменением места нахождения (г. Самара);

При использовании материала ссылка на Пресс-службу Банка России обязательна.";http://www.cbr.ru/press/PR/?file=17072014_161510sbrfr2014-07-17T16_09_26.htm
5;17.07.2014;Пресс-релиз;Перечень кредитных организаций, в которые назначены уполномоченные представители Банка России;"Уполномоченные представители Банка России, действующие в соответствии со статьей 76 Федерального закона «О Центральном банке Российской Федерации (Банке России)», по состоянию на 01.07.2014 назначены в 57 кредитных организаций.





При использовании материала ссылка на Пресс-службу Банка России обязательна.";http://www.cbr.ru/press/PR/?file=17072014_204349if2014-07-17T20_35_22.htm
6;17.07.2014;Пресс-релиз;О деятельности Газпромбанка и Внешэкономбанка;"В связи с объявленными США санкциями в отношении Газпромбанка и Внешэкономбанка Банк России информирует, что, по имеющимся сведениям, эти меры носят ограниченный характер и не затрагивают интересов клиентов этих финансовых организаций.
Финансовые организации работают в обычном режиме, предоставляя полный набор услуг своим клиентам, включая операции по переводу средств и расчеты с использованием банковских карт.
В случае необходимости будут предприняты адекватные меры по поддержке указанных организаций с целью защиты интересов их клиентов, вкладчиков и кредиторов.

При использовании материала ссылка на Пресс-службу Банка России обязательна.";http://www.cbr.ru/press/PR/?file=17072014_175003if2014-07-17T17_45_33.htm
7;17.07.2014;Пресс-релиз;О поправочных коэффициентах Банка России;"При расчете стоимости обеспечения по кредитам Банка России с 17 июля 2014 года корректировка стоимости облигаций, принимаемых в обеспечение по кредитам Банка России, осуществляется с применением следующих поправочных коэффициентов:
в размере 0,95:
по облигациям Ленинградской области;
в размере 0,85:
по облигациям Закрытого акционерного общества коммерческий банк «ГЛОБЭКС»;
по облигациям Открытого акционерного общества «Промсвязьбанк»;
в размере 0,8:
по облигациям Открытого акционерного общества «МДМ Банк»;
в размере 0,75:
по облигациям Коммерческого банка «Ренессанс Кредит» (Общество с ограниченной ответственностью).

При использовании материала ссылка на Пресс-службу Банка России обязательна.";http://www.cbr.ru/press/PR/?file=17072014_094359if2014-07-17T09_39_31.htm
8;16.07.2014;Пресс-релиз;О выходе очередного номера «Вестника Банка России»;"Вышел «Вестник Банка России» № 66 (1544) от 16 июля 2014 года.
В номере размещены данные о поддельных денежных знаках, выявленных в банковской системе России во II квартале 2014 года.
Напечатан реестр арбитражных управляющих, аккредитованных при Банке России в качестве конкурсных управляющих при банкротстве кредитных организаций, по состоянию на 3 июля 2014 года.
Опубликованы приказы Банка России:
от 10.07.2014 № ОД-1706 ""О назначении временной администрации страховой организации Общества с ограниченной ответственностью «Общество страхования жизни «Россия»;
от 10.07.2014 № ОД-1711 о прекращении деятельности временной администрации по управлению кредитной организацией ООО КБ «Каспий» (г. Махачкала);
от 10.07.2014 № ОД-1712 об уточнении персонального состава временной администрации по управлению кредитной организацией ОАО Банк «Западный» (г. Москва);
от 10.07.2014 № ОД-1713 об уточнении персонального состава временной администрации по управлению кредитной организацией Банк «Навигатор» (ОАО) (г. Москва);
от 10.07.2014 № ОД-1714 об уточнении персонального состава временной администрации по управлению кредитной организацией ИАБ «Диг-Банк» (ОАО) (г. Владикавказ);
от 10.07.2014 № ОД-1715 об уточнении персонального состава временной администрации по управлению кредитной организацией КБ «Кредитимпэкс Банк» (ООО) (г. Москва);
от 10.07.2014 № ОД-1719 ""О приостановлении действия лицензии на осуществление посреднической деятельности в качестве страхового брокера Общества с ограниченной ответственностью «Страховой брокерский дом «Кенсингтон»;
от 11.07.2014 № ОД-1730 об отзыве лицензии на осуществление банковских операций у кредитной организации КБ «КРК» (ОАО) (г. Москва);
от 11.07.2014 № ОД-1731 о назначении временной администрации по управлению кредитной организацией КБ «КРК» (ОАО) (г. Москва) в связи с отзывом лицензии на осуществление банковских операций;
от 11.07.2014 № ОД-1732 об отзыве лицензии на осуществление банковских операций у кредитной организации ЗАО УРП (г. Москва);
от 11.07.2014 № ОД-1733 о назначении временной администрации по управлению кредитной организацией ЗАО УРП (г. Москва) в связи с отзывом лицензии на осуществление банковских операций.
Напечатаны сообщения государственной корпорации «Агентство по страхованию вкладов» для вкладчиков ОАО МКБ «Замоскворецкий» и ИАБ «Диг-Банк» (ОАО).
Опубликованы еженедельные сводные данные по секторам финансового рынка, официальные и информационные сообщения Банка России.

При использовании материала ссылка на Пресс-службу Банка России обязательна.";http://www.cbr.ru/press/PR/?file=16072014_112652vbr2014-07-16T11_24_54.htm
9;16.07.2014;Пресс-релиз;О решении Банка России от 15 июля 2014 года;"Решение Банка России от 15 июля 2014 года:

Заменить Обществу с ограниченной ответственностью «Регард страхование» бланки лицензий по видам деятельности — добровольное личное страхование за исключением добровольного страхования жизни, добровольное имущественное страхование и обязательное страхование гражданской ответственности владельцев транспортных средств.
При использовании материала ссылка на Пресс-службу Банка России обязательна.";http://www.cbr.ru/press/PR/?file=16072014_190131sbrfr2014-07-16T19_00_30.htm
10;16.07.2014;Пресс-релиз;О решениях Банка России от 15 июля 2014 года;"Решения Банка России от 15 июля 2014 года:

Приостановитьэмиссию обыкновенных именных бездокументарных акций открытого акционерного общества «Областной агропромышленный холдинг», размещенных путем закрытой подписки, государственный регистрационный номер дополнительного выпуска 1-01-04644-Е-003D.
Возобновить эмиссию и зарегистрировать отчет об итогах дополнительного выпуска обыкновенных именных бездокументарных акций открытого акционерного общества «Корпорация развития Среднего Урала», размещенных путем закрытой подписки, государственный регистрационный номер дополнительного выпуска 1-01-33480-D-004D.
Возобновить эмиссию и зарегистрировать отчет об итогах дополнительного выпуска обыкновенных именных бездокументарных акций закрытого акционерного общества «Лизинговая компания «ВОСХОД», размещенных путем закрытой подписки, государственный регистрационный номер дополнительного выпуска 1-01-28008-N-003D.
Зарегистрировать отчет об итогах выпуска неконвертируемых процентных документарных жилищных облигаций с ипотечным покрытием на предъявителя класса «Б» закрытого акционерного общества «Ипотечный агент МТСБ», размещенных путем закрытой подписки, государственный регистрационный номер выпуска 4-01-81796-Н.
Зарегистрировать отчет об итогах дополнительного выпуска обыкновенных именных бездокументарных акций открытого акционерного общества «СУЭК-Кузбасс», размещенных путем закрытой подписки, государственный регистрационный номер дополнительного выпуска 1-01-55290-Е-014D

При использовании материала ссылка на Пресс-службу Банка России обязательна.";http://www.cbr.ru/press/PR/?file=16072014_175039sbrfr2014-07-16T17_46_36.htm
