0;1;2;3;4;5
1001;1 февраля 2021 года;Новость;Малый и средний бизнес получит не только льготные кредиты, но и новые инструменты финансирования;"Дорожная карта по развитию финансирования субъектов малого и среднего предпринимательства (МСП) на 2021–2022 годы, разработанная Банком России с учетом предложений бизнес-сообщества, включает совершенствование традиционных кредитных инструментов финансовой поддержки МСП, а также продвижение тех, которые начали развиваться относительно недавно.
Будет продолжена работа по оптимизации резервирования и оценки заемщиков для банков, предоставляющих кредиты малому и среднему бизнесу, а также по повышению эффективности программ льготного кредитования для МСП. Запланирован ряд мер по внедрению в деятельность МСП новейших технологий: отдельное внимание будет уделено развитию Системы быстрых платежей для малого и среднего бизнеса.
Важной задачей станет обеспечение доступа предпринимателей к финансированию с помощью краудинвестинговых платформ, также будет продолжаться поддержка выхода бизнеса на фондовый рынок.
В конце 2021 года запланирован пилотный проект по проведению факторинговых сделок с субъектами МСП с помощью факторинговых платформ в онлайн-формате.";https://www.cbr.ru/press/event/?id=9530
1002;1 февраля 2021 года;Новость;Банк России установил критерии для разграничения надзорных полномочий на микрофинансовом рынке;"Под прямым надзором регулятора окажутся микрокредитные компании (МКК), у которых активы и портфель займов превышают 100 млн рублей, а также кредитные потребительские кооперативы (КПК) и сельскохозяйственные кредитные потребительские кооперативы (СКПК), где пайщиков менее 3000, но размер активов больше 100 млн рублей. Соответствующие указания Банка России вступят в силу 12 февраля 2021 года.
По закону регулятор контролирует деятельность всех микрофинансовых компаний, а также КПК и СКПК, в которых количество пайщиков превышает 3000, и компаний, временно не входящих в саморегулируемые организации (СРО).
Таким образом, под прямым надзором Банка России будет находиться 17% микрофинансовых организаций, 33% действующих КПК и 13% действующих СКПК.
Исполнение профильного законодательства остальными микрофинансовыми институтами (МКК, КПК и СКПК) будут контролировать СРО.
Применение такого пропорционального подхода позволит снизить надзорную нагрузку для небольших участников микрофинансового рынка и усилить надзор за его крупными игроками.";https://www.cbr.ru/press/event/?id=9529
1003;1 февраля 2021 года;Новость;Банк России установит требования к раскрытию информации о страховых продуктах;"Страховщики, а также их представители до заключения договора страхования будут обязаны предоставить потребителю основные параметры страхового продукта в виде краткого стандартизированного информационного документа.
В нем, в частности, будут содержаться сведения о страховых случаях, основаниях для отказа в страховой выплате, порядке и сроках ее осуществления. Вся информация должна быть изложена простым языком без использования мелкого шрифта.
Таким образом, потребитель сможет понять все плюсы и минусы предлагаемого полиса и принять взвешенное решение о его покупке.
В случае нарушения страховщиком обязанности по раскрытию информации страхователь сможет отказаться от договора страхования и получить назад уплаченную страховую премию.
Планируется, что требования будут вступать в силу поэтапно: с 1 октября 2021 года — в отношении личного страхования, с 1 апреля 2022 года — по другим видам добровольного страхования.";https://www.cbr.ru/press/event/?id=9527
1004;1 февраля 2021 года;Пресс-релиз;Банк России выпускает в обращение памятную монету из драгоценного металла;"Банк России 2 февраля 2021 года выпускает в обращение памятную серебряную монету номиналом 3 рубля «Богородицерождественский Бобренев мужской монастырь, Московская область» серии «Памятники архитектуры России» (каталожный № 5111-0440).
Серебряная монета (масса драгоценного металла в чистоте — 31,1 г, проба сплава — 925) имеет форму круга диаметром 39,0 мм.
С лицевой и оборотной сторон монеты по окружности имеется выступающий кант.
На лицевой стороне монеты расположено рельефное изображение Государственного герба Российской Федерации, имеются надписи: «РОССИЙСКАЯ ФЕДЕРАЦИЯ», «БАНК РОССИИ», номинал монеты: «3 РУБЛЯ», дата: «2021 г.», обозначение металла по Периодической системе элементов Д.И. Менделеева, проба сплава, товарный знак Санкт-Петербургского монетного двора и масса драгоценного металла в чистоте.
На оборотной стороне монеты расположено рельефное изображение монастыря; по окружности имеются надписи, вверху: «БОГОРОДИЦЕРОЖДЕСТВЕНСКИЙ БОБРЕНЕВ МУЖСКОЙ МОНАСТЫРЬ», внизу: «МОСКОВСКАЯ ОБЛАСТЬ».
Боковая поверхность монеты рифленая.
Монета изготовлена качеством «пруф».
Тираж монеты — 3,0 тыс. штук.
Выпускаемая монета является законным средством наличного платежа на территории Российской Федерации и обязательна к приему по номиналу во все виды платежей без всяких ограничений.
При использовании материала ссылка на Пресс-службу Банка России обязательна.";https://www.cbr.ru/press/pr/?file=01022021_084324coin.htm
1005;29 января 2021 года;Пресс-релиз;Банк России вносит изменения в методологию отражения счетов эскроу в денежно-кредитной и финансовой статистике;"В целях совершенствования оценки вложений населения в различные виды финансовых активов Банк России вносит изменения в методологию отражения средств на счетах эскроу в денежно-кредитной статистике, статистике привлеченных средств, а также в финансовых счетах и балансах финансовых активов и обязательств системы национальных счетов Российской Федерации.
В Обзоре кредитных организаций и Обзоре банковской системы средства на счетах эскроу исключаются из показателя «Депозиты, не включаемые в широкую денежную массу» и будут отражаться отдельной строкой в составе показателя «Другие пассивы».
В финансовых счетах и балансах финансовых активов и обязательств системы национальных счетов средства на счетах эскроу по сектору «Домашние хозяйства» будут отражаться отдельной строкой в составе показателя «Дебиторская задолженность» и будут исключены из показателя «Наличная валюта и депозиты».
В статистике привлеченных средств, формирующейся на основе отчетности по форме 0409302 «Сведения о привлеченных средствах», средства на счетах эскроу будут исключены из показателя «Вклады (депозиты) и другие привлеченные средства физических лиц» и одновременно выделены в отдельный показатель «Средства на счетах эскроу» после проведения подготовительных работ. Таким образом, остатки средств по счетам эскроу остаются в составе показателя «Средства клиентов». Таблицы, содержащие показатель «Вклады (депозиты) и другие привлеченные средства физических лиц» с учетом средств на счетах эскроу, будут перемещены в ретроспективный блок.
Внесение указанных изменений в статистические данные и методологические комментарии к ним будет отражено при выходе соответствующих публикаций.
При использовании материала ссылка на Пресс-службу Банка России обязательна.";https://www.cbr.ru/press/pr/?file=29012021_192915PP29012021_162956.htm
1006;29 января 2021 года;Пресс-релиз;Опубликованы новые статистические данные;"В целях улучшения информационного обеспечения пользователей Банк России расширяет представление информации по статистике личных переводов и размещает на сайте информацию по детализированным компонентам личных переводов между Россией и странами СНГ.
Указанные статистические данные разработаны в соответствии с Методологическим комментарием и информационной базой по личным переводам.
Статистические данные размещены в подрубрике «Трансграничные переводы физических лиц» рубрики «Статистика внешнего сектора» подраздела «Макроэкономическая финансовая статистика» раздела «Статистика» на официальном сайте Банка России в сети Интернет. Первая публикация включает данные за I–III кварталы 2020 года. В дальнейшем данные будут обновляться в соответствии со сроками, установленными в Календаре публикации официальной статистической информации.
При использовании материала ссылка на Пресс-службу Банка России обязательна.";https://www.cbr.ru/press/pr/?file=29012021_150159PP29012021_140400.htm
1007;29 января 2021 года;Новость;Банк России совершенствует регулирование брокерской деятельности;"Регулятор установил, в каких случаях для исполнения поручения клиента на наиболее выгодных для него условиях брокеры смогут совершать внебиржевые сделки внутри собственной инфраструктуры, не выводя заявку на торги (в том числе сделки между своими клиентами).
Такую возможность дает режим интернализации, который введен поправками в законодательство. В этом режиме брокер совершает сделку по поручению клиента с третьим лицом от своего имени и за свой счет, а затем зеркальную сделку с клиентом на тех же условиях.
Режим интернализации может быть удобен участникам рынка и инвесторам, например, если брокер продает или покупает ценные бумаги по лучшей цене, чем если бы заявки исполнялись в режиме обычных торгов. Также этот режим может применяться, если ценная бумага не допущена к организованным торгам или торги по ней приостановлены либо если клиент дал поручение на сделку с большим объемом бумаг. При этом исполнение поручения в таком режиме должно быть предусмотрено договором о брокерском обслуживании и поручением клиента. Соответствующее указание Банка России зарегистрировано Минюстом России и вступает в силу со дня официального опубликования.
Информацию о ценах на покупку и продажу ценных бумаг, вознаграждении брокера и других расходах участники рынка должны раскрывать клиенту — неквалифицированному инвестору перед каждой сделкой. Такая обязанность введена с 1 января 2021 года, а процедура раскрытия прописана в базовом стандарте совершения операций брокером, новую редакцию которого ранее утвердил Банк России.";https://www.cbr.ru/press/event/?id=9525
1008;28 января 2021 года;Выступление;Выступление директора Департамента обеспечения банковского надзора Банка России Александра Данилова на онлайн-брифинге о развитии банковского сектора в 2020 году;;https://www.cbr.ru/press/event/?id=9522
1009;28 января 2021 года;Новость;Динамика экспорта в IV квартале улучшилась на фоне роста цен на сырье;"Сокращение экспорта в IV квартале 2020 года к аналогичному периоду предыдущего года было менее значительным, чем в III квартале, из-за восстановления мировых цен на многие сырьевые товары.
Поддержку экспорту оказал и хороший урожай зерновых. Динамика импорта тоже улучшилась. Вместе с тем снижение экспорта лишь частично компенсировалось уменьшением импорта и отрицательного вклада других компонентов счета текущих операций. В результате положительное сальдо текущего счета снизилось вдвое. Более подробно читайте в ежеквартальном выпуске информационно-аналитического комментария «Платежный баланс России».";https://www.cbr.ru/press/event/?id=9521
1010;28 января 2021 года;Новость;Мониторинг отраслевых финансовых потоков: неоднородная динамика начала года;"Экономическая активность в начале года остается близкой к уровню IV квартала 2020 года, но отраслевая динамика неоднородна. Основной позитивный вклад вносят входящие платежи в госсекторе и добывающих отраслях.
Однако рост финансовых потоков в государственном управлении может носить временный характер, так как вызван возвратом размещенных ранее депозитов Минфина и внутрибюджетными операциями. Более подробно читайте в очередном выпуске «Мониторинга отраслевых финансовых потоков».";https://www.cbr.ru/press/event/?id=9520
