
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)"

="toneev",="-0.327**",="-1.219",="0",="-0.143",="-0.354",="-0.909",="-0.106",="0.107",="-1.386",="0",="0.329",="0.651",="0.405",="1.033",="0.532"
="",="(0.154)",="(.)",="(.)",="(0.269)",="(0.382)",="(0.672)",="(0.491)",="(0.544)",="(.)",="(.)",="(0.524)",="(0.543)",="(0.711)",="(0.756)",="(0.870)"

="tonepr",="-0.257",="0",="0",="-0.607",="-1.083",="-1.230",="-1.880*",="-2.012*",="0",="0",="-2.113*",="-2.182***",="-2.279***",="-2.570***",="-1.420"
="",="(0.230)",="(.)",="(.)",="(0.634)",="(0.881)",="(1.205)",="(0.941)",="(1.008)",="(.)",="(.)",="(1.046)",="(0.715)",="(0.729)",="(0.824)",="(0.964)"

="rate_shock_abs",="-0.0466",="4.081",="2.418",="-0.470",="0.808",="4.299",="0.423",="-0.134",="3.833",="3.099",="-0.939",="-1.490",="-1.786",="-2.388*",="-2.638*"
="",="(0.339)",="(.)",="(.)",="(0.547)",="(1.329)",="(3.213)",="(1.259)",="(1.162)",="(.)",="(.)",="(0.949)",="(0.954)",="(1.235)",="(1.210)",="(1.372)"

="trans",="-0.444***",="0",="0",="-0.0620",="-1.123",="-2.983",="-0.934",="-0.384",="-1.206",="0",="0.534",="0.573",="0.524",="1.209",="0.484"
="",="(0.155)",="(.)",="(.)",="(0.340)",="(0.767)",="(1.801)",="(0.833)",="(0.703)",="(.)",="(.)",="(0.599)",="(0.511)",="(0.624)",="(0.726)",="(0.782)"

="trust",="-8.337",="0",="0",="-5.222",="-16.97",="-31.26",="-15.08",="-17.30",="0",="0",="-8.683",="-15.37",="-12.74",="-3.897",="-15.25"
="",="(5.052)",="(.)",="(.)",="(7.546)",="(10.15)",="(21.04)",="(11.66)",="(11.91)",="(.)",="(.)",="(11.76)",="(12.24)",="(11.17)",="(13.50)",="(13.70)"

="_cons",="1.990",="-10.33",="-0.599",="-2.467",="6.164",="20.70",="1.296",="-1.068",="-2.971",="0.627",="-10.30",="-5.480",="-9.274",="-13.77",="-1.450"
="",="(3.276)",="(.)",="(.)",="(6.598)",="(9.359)",="(21.26)",="(11.74)",="(10.78)",="(.)",="(.)",="(10.88)",="(8.911)",="(8.782)",="(10.55)",="(10.85)"

="N",="40",="3",="2",="37",="40",="37",="38",="39",="4",="2",="38",="39",="36",="36",="38"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
