
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)"

="toneev",="0.296**",="-0.706",="0",="0.511*",="0.696**",="0.578**",="0.567*",="0.421",="3.287",="0",="0.0202",="0.0712",="0.120",="-0.107",="0.0346"
="",="(0.112)",="(.)",="(.)",="(0.256)",="(0.280)",="(0.248)",="(0.334)",="(0.257)",="(.)",="(.)",="(0.252)",="(0.369)",="(0.418)",="(0.516)",="(0.463)"

="tonepr",="-0.351**",="0",="0",="-0.362",="-1.211***",="-1.615***",="-1.897***",="-1.465***",="0",="0",="-1.266***",="-1.557**",="-1.645**",="-1.462",="-1.828*"
="",="(0.172)",="(.)",="(.)",="(0.605)",="(0.427)",="(0.434)",="(0.653)",="(0.366)",="(.)",="(.)",="(0.437)",="(0.696)",="(0.601)",="(0.882)",="(0.955)"

="rate_shock_abs",="-0.324",="-1.506",="-1.206",="0.166",="-1.009",="-1.017*",="-1.056",="-0.692",="-0.717",="-1.262",="-0.455",="-0.928",="-2.180**",="-1.078",="-0.768"
="",="(0.335)",="(.)",="(.)",="(0.572)",="(0.605)",="(0.588)",="(0.828)",="(0.421)",="(.)",="(.)",="(0.497)",="(0.668)",="(0.954)",="(0.945)",="(0.952)"

="trans",="0.243",="0",="0",="0.0545",="0.720**",="1.069***",="1.183**",="0.576**",="0.646",="0",="0.557**",="0.869**",="1.282**",="1.412**",="1.394**"
="",="(0.175)",="(.)",="(.)",="(0.319)",="(0.354)",="(0.321)",="(0.501)",="(0.222)",="(.)",="(.)",="(0.269)",="(0.397)",="(0.540)",="(0.630)",="(0.591)"

="trust",="-1.920",="0",="0",="-4.286",="-2.964",="3.798",="7.676",="-2.315",="0",="0",="-8.889*",="-6.868",="-4.887",="-2.444",="-5.122"
="",="(3.166)",="(.)",="(.)",="(5.138)",="(5.839)",="(5.235)",="(8.679)",="(3.625)",="(.)",="(.)",="(4.745)",="(5.846)",="(10.35)",="(12.38)",="(9.564)"

="_cons",="-0.735",="-6.910",="-0.460",="3.578",="-5.426",="-14.15***",="-18.61**",="-8.949**",="24.74",="-1.289",="-8.958*",="-13.48*",="-17.39*",="-20.28*",="-20.03**"
="",="(2.113)",="(.)",="(.)",="(5.572)",="(5.671)",="(5.014)",="(8.143)",="(3.443)",="(.)",="(.)",="(4.853)",="(6.702)",="(8.719)",="(10.88)",="(9.723)"

="N",="40",="3",="2",="38",="40",="37",="38",="39",="4",="2",="38",="39",="36",="36",="38"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
