
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)"

="toneev",="0.0444",="-0.511",="0",="0.0618",="0.0932*",="0.165",="0.110",="0.0642",="2.065",="0",="0.0177",="0.134",="0.0847",="0.0240",="0.106"
="",="(0.0275)",="(.)",="(.)",="(0.0399)",="(0.0530)",="(0.107)",="(0.0806)",="(0.0953)",="(.)",="(.)",="(0.0993)",="(0.130)",="(0.148)",="(0.142)",="(0.133)"

="tonepr",="-0.161*",="0",="0",="-0.117",="-0.216",="-0.265",="-0.181",="-0.189",="0",="0",="-0.256",="-0.207",="-0.299",="-0.218",="-0.0161"
="",="(0.0864)",="(.)",="(.)",="(0.102)",="(0.156)",="(0.216)",="(0.218)",="(0.219)",="(.)",="(.)",="(0.223)",="(0.266)",="(0.294)",="(0.299)",="(0.332)"

="rate_shock_abs",="-0.204***",="-0.425",="-0.934",="-0.215*",="-0.229*",="-0.949*",="-0.586*",="-0.615",="-2.020",="-0.933",="-0.233",="-0.841*",="-1.268*",="-0.737",="-1.121**"
="",="(0.0462)",="(.)",="(.)",="(0.116)",="(0.122)",="(0.488)",="(0.345)",="(0.390)",="(.)",="(.)",="(0.272)",="(0.476)",="(0.621)",="(0.560)",="(0.530)"

="trans",="0.0909**",="0",="0",="0.0907*",="0.138*",="0.475*",="0.346*",="0.320",="0.269",="0",="0.127",="0.462*",="0.654*",="0.567*",="0.376"
="",="(0.0396)",="(.)",="(.)",="(0.0531)",="(0.0733)",="(0.271)",="(0.199)",="(0.197)",="(.)",="(.)",="(0.106)",="(0.251)",="(0.334)",="(0.314)",="(0.262)"

="trust",="0.920",="0",="0",="1.139",="1.916*",="4.097",="4.055",="4.125*",="0",="0",="3.606**",="5.159*",="7.124*",="9.358**",="5.632**"
="",="(0.739)",="(.)",="(.)",="(1.014)",="(1.019)",="(3.030)",="(2.539)",="(2.122)",="(.)",="(.)",="(1.528)",="(2.761)",="(3.827)",="(4.028)",="(2.754)"

="_cons",="-1.548*",="-4.281",="0.0122",="-1.137",="-2.065",="-5.332",="-4.247",="-4.454",="15.81",="0.174",="-3.345",="-5.319",="-8.666*",="-8.786*",="-3.895"
="",="(0.874)",="(.)",="(.)",="(1.094)",="(1.547)",="(3.550)",="(2.895)",="(2.634)",="(.)",="(.)",="(2.260)",="(3.287)",="(4.589)",="(4.516)",="(3.425)"

="N",="40",="3",="2",="38",="40",="37",="38",="39",="4",="2",="38",="39",="36",="36",="38"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
