
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)"

="toneev",="0.00672",="0.0415",="0",="0.0157",="0.0507",="0.0567",="0.0356",="0.0411",="0.877",="0",="0.0196",="0.0545",="0.0543",="0.0295",="0.0264"
="",="(0.00738)",="(.)",="(.)",="(0.0111)",="(0.0445)",="(0.0494)",="(0.0407)",="(0.0423)",="(.)",="(.)",="(0.0291)",="(0.0468)",="(0.0502)",="(0.0544)",="(0.0522)"

="tonepr",="0.0308",="0",="0",="-0.00672",="-0.151",="-0.192",="-0.141",="-0.119",="0",="0",="-0.148",="-0.116",="-0.148",="-0.120",="-0.0567"
="",="(0.0228)",="(.)",="(.)",="(0.0296)",="(0.128)",="(0.126)",="(0.124)",="(0.132)",="(.)",="(.)",="(0.125)",="(0.132)",="(0.133)",="(0.139)",="(0.157)"

="rate_shock_abs",="0.00243",="0.0548",="-0.0332",="0.0251",="-0.0993",="-0.207",="-0.0518",="-0.147",="-0.409",="0.0297",="0.0800",="-0.128",="-0.290",="-0.0964",="-0.136"
="",="(0.0384)",="(.)",="(.)",="(0.0422)",="(0.183)",="(0.198)",="(0.153)",="(0.201)",="(.)",="(.)",="(0.101)",="(0.177)",="(0.208)",="(0.195)",="(0.177)"

="trans",="-0.00444",="0",="0",="-0.0106",="0.141",="0.189",="0.101",="0.126",="0.134",="0",="0.0103",="0.127",="0.198*",="0.138",="0.119"
="",="(0.0190)",="(.)",="(.)",="(0.0140)",="(0.0989)",="(0.114)",="(0.0904)",="(0.0989)",="(.)",="(.)",="(0.0386)",="(0.0960)",="(0.111)",="(0.0998)",="(0.0845)"

="trust",="-0.0640",="0",="0",="-0.173",="1.070",="1.325",="0.798",="0.759",="0",="0",="0.0747",="1.577",="2.421",="2.900*",="2.401*"
="",="(0.322)",="(.)",="(.)",="(0.321)",="(1.210)",="(1.427)",="(1.322)",="(1.183)",="(.)",="(.)",="(0.814)",="(1.193)",="(1.441)",="(1.562)",="(1.306)"

="_cons",="0.338",="0.332",="0.0663",="0.310",="-1.969",="-2.612",="-1.567",="-1.536",="6.726",="0.290",="-0.634",="-1.624",="-2.679*",="-2.410",="-1.715"
="",="(0.297)",="(.)",="(.)",="(0.325)",="(1.282)",="(1.602)",="(1.477)",="(1.258)",="(.)",="(.)",="(0.827)",="(1.223)",="(1.525)",="(1.499)",="(1.428)"

="N",="40",="3",="2",="38",="40",="37",="38",="39",="4",="2",="38",="39",="36",="36",="38"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
