
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)"

="toneev",="0.0975",="0.940",="0",="0.161",="0.311*",="0.576*",="0.421*",="0.366",="4.683",="0",="0.356*",="0.576**",="0.688**",="0.475*",="0.480*"
="",="(0.0700)",="(.)",="(.)",="(0.122)",="(0.182)",="(0.339)",="(0.246)",="(0.229)",="(.)",="(.)",="(0.204)",="(0.258)",="(0.286)",="(0.272)",="(0.261)"

="tonepr",="-0.168",="0",="0",="-0.183",="-0.396",="-0.708",="-0.546",="-0.427",="0",="0",="-0.497",="-0.480",="-0.679",="-0.281",="0.0137"
="",="(0.238)",="(.)",="(.)",="(0.299)",="(0.552)",="(0.607)",="(0.625)",="(0.641)",="(.)",="(.)",="(0.610)",="(0.748)",="(0.791)",="(0.789)",="(0.937)"

="rate_shock_abs",="-0.165",="-0.184",="0.407",="-0.0504",="-0.482",="-2.732*",="-1.324",="-0.881",="-1.922",="0.444",="-0.149",="-0.741",="-1.814**",="-1.024",="-1.122"
="",="(0.108)",="(.)",="(.)",="(0.244)",="(0.440)",="(1.575)",="(0.968)",="(0.766)",="(.)",="(.)",="(0.495)",="(0.704)",="(0.729)",="(0.833)",="(0.881)"

="trans",="0.129",="0",="0",="0.0685",="0.381",="1.539*",="0.902",="0.620",="0.504",="0",="0.167",="0.566",="0.950*",="0.770",="0.459"
="",="(0.108)",="(.)",="(.)",="(0.135)",="(0.297)",="(0.886)",="(0.588)",="(0.437)",="(.)",="(.)",="(0.307)",="(0.431)",="(0.488)",="(0.523)",="(0.507)"

="trust",="0.539",="0",="0",="-2.688",="0.380",="11.93",="9.083",="5.104",="0",="0",="2.604",="4.475",="9.291*",="12.94*",="6.420"
="",="(1.241)",="(.)",="(.)",="(1.761)",="(3.208)",="(9.793)",="(7.324)",="(4.567)",="(.)",="(.)",="(3.902)",="(4.959)",="(5.349)",="(6.915)",="(6.099)"

="_cons",="-1.285",="7.320",="-0.397",="0.829",="-2.748",="-15.97",="-10.06",="-5.952",="36.46",="0.408",="-1.597",="-3.360",="-8.278",="-7.748",="-1.151"
="",="(2.201)",="(.)",="(.)",="(2.827)",="(5.164)",="(11.05)",="(8.446)",="(6.367)",="(.)",="(.)",="(5.597)",="(7.028)",="(8.408)",="(9.157)",="(8.951)"

="N",="40",="3",="2",="38",="40",="37",="38",="39",="4",="2",="38",="39",="36",="36",="38"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
