
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)"

="toneev",="0.272",="1.007",="0",="0.544",="1.028*",="1.268",="0.419",="0.343",="12.15",="0",="-0.396",="-0.340",="-0.0834",="-0.721",="-0.695"
="",="(0.163)",="(.)",="(.)",="(0.465)",="(0.520)",="(0.826)",="(0.651)",="(0.524)",="(.)",="(.)",="(0.541)",="(0.646)",="(0.615)",="(0.676)",="(0.653)"

="tonepr",="-0.473",="0",="0",="-0.414",="-1.095",="-1.512",="-1.583",="-1.064*",="0",="0",="-0.750",="-0.984",="-0.878",="-0.604",="-1.266"
="",="(0.282)",="(.)",="(.)",="(0.863)",="(0.748)",="(1.012)",="(1.213)",="(0.581)",="(.)",="(.)",="(0.564)",="(1.097)",="(0.780)",="(1.305)",="(1.442)"

="rate_shock_abs",="-0.704",="-4.906",="-1.574",="-0.261",="-3.208",="-6.333",="-3.267",="-2.653*",="-4.239",="1.459",="-0.787",="-1.699",="-3.237***",="-1.738*",="-0.371"
="",="(0.519)",="(.)",="(.)",="(1.061)",="(1.907)",="(3.793)",="(1.982)",="(1.382)",="(.)",="(.)",="(0.889)",="(1.231)",="(1.132)",="(0.985)",="(0.983)"

="trans",="0.302",="0",="0",="-0.00565",="1.803*",="4.196*",="2.340*",="1.069",="1.185",="0",="-0.236",="0.333",="1.189**",="1.117",="0.697"
="",="(0.282)",="(.)",="(.)",="(0.523)",="(1.036)",="(2.116)",="(1.261)",="(0.741)",="(.)",="(.)",="(0.597)",="(0.713)",="(0.550)",="(0.686)",="(0.776)"

="trust",="-2.217",="0",="0",="-7.131",="2.848",="35.45",="22.03",="8.432",="0",="0",="-9.035",="-5.104",="2.250",="5.863",="-1.906"
="",="(4.968)",="(.)",="(.)",="(10.74)",="(12.25)",="(25.40)",="(18.00)",="(12.27)",="(.)",="(.)",="(13.71)",="(11.43)",="(8.969)",="(10.58)",="(11.47)"

="_cons",="-2.289",="7.465",="0.459",="4.897",="-13.29",="-45.44*",="-33.71*",="-15.93*",="99.19",="1.918",="-3.621",="-10.58",="-16.72*",="-21.66",="-19.11"
="",="(3.590)",="(.)",="(.)",="(9.996)",="(10.45)",="(24.27)",="(16.98)",="(9.162)",="(.)",="(.)",="(11.55)",="(11.63)",="(8.428)",="(12.93)",="(14.49)"

="N",="40",="3",="2",="38",="40",="37",="38",="39",="4",="2",="38",="39",="36",="36",="38"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
