
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)"

="toneev",="0.0767",="2.126",="0",="0.122",="0.302",="0.312",="0.223",="0.298",="3.357",="0",="0.210",="0.401**",="0.427**",="0.271",="0.250"
="",="(0.0544)",="(.)",="(.)",="(0.102)",="(0.225)",="(0.198)",="(0.163)",="(0.184)",="(.)",="(.)",="(0.156)",="(0.196)",="(0.202)",="(0.212)",="(0.184)"

="tonepr",="0.0380",="0",="0",="-0.237",="-0.0203",="-0.459",="-0.323",="-0.147",="0",="0",="-0.283",="-0.0403",="-0.319",="-0.171",="0.207"
="",="(0.0856)",="(.)",="(.)",="(0.286)",="(0.402)",="(0.327)",="(0.381)",="(0.382)",="(.)",="(.)",="(0.448)",="(0.486)",="(0.461)",="(0.523)",="(0.659)"

="rate_shock_abs",="-0.137",="-0.596",="1.116",="0.169",="-1.464",="-1.481",="-0.824",="-0.896",="-1.153",="1.274",="0.0854",="-0.762",="-1.523**",="-0.701",="-0.908"
="",="(0.200)",="(.)",="(.)",="(0.185)",="(1.228)",="(0.889)",="(0.672)",="(0.826)",="(.)",="(.)",="(0.450)",="(0.702)",="(0.655)",="(0.831)",="(0.717)"

="trans",="0.0810",="0",="0",="-0.0178",="0.791",="0.786",="0.589",="0.494",="0.269",="0",="-0.0292",="0.466",="0.709*",="0.595",="0.297"
="",="(0.0973)",="(.)",="(.)",="(0.131)",="(0.658)",="(0.485)",="(0.397)",="(0.422)",="(.)",="(.)",="(0.236)",="(0.382)",="(0.375)",="(0.436)",="(0.375)"

="trust",="-1.171",="0",="0",="-2.228",="4.966",="5.565",="6.766",="4.397",="0",="0",="0.174",="3.691",="8.448*",="11.24*",="5.046"
="",="(1.363)",="(.)",="(.)",="(1.848)",="(7.182)",="(5.649)",="(4.946)",="(4.852)",="(.)",="(.)",="(3.599)",="(4.847)",="(4.728)",="(5.965)",="(5.041)"

="_cons",="0.617",="17.86",="0.268",="0.679",="-5.881",="-8.362",="-7.137",="-3.663",="27.21",="0.824",="0.760",="-1.387",="-6.362",="-7.092",="-0.372"
="",="(1.198)",="(.)",="(.)",="(2.717)",="(6.977)",="(6.183)",="(5.485)",="(4.975)",="(.)",="(.)",="(4.183)",="(5.385)",="(5.943)",="(6.677)",="(6.413)"

="N",="40",="3",="2",="38",="40",="37",="38",="39",="4",="2",="38",="39",="36",="36",="38"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
