
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)"

="toneev",="0.122",="3.375",="0",="0.188",="0.474",="0.455",="0.328",="0.468*",="3.913",="0",="0.378",="0.625**",="0.767**",="0.518",="0.441"
="",="(0.101)",="(.)",="(.)",="(0.179)",="(0.371)",="(0.306)",="(0.230)",="(0.261)",="(.)",="(.)",="(0.264)",="(0.297)",="(0.317)",="(0.327)",="(0.272)"

="tonepr",="0.0274",="0",="0",="-0.405",="-0.0102",="-0.744",="-0.587",="-0.359",="0",="0",="-0.546",="-0.149",="-0.505",="-0.283",="0.240"
="",="(0.148)",="(.)",="(.)",="(0.470)",="(0.641)",="(0.525)",="(0.589)",="(0.559)",="(.)",="(.)",="(0.702)",="(0.750)",="(0.721)",="(0.823)",="(1.001)"

="rate_shock_abs",="-0.101",="-0.574",="1.572",="0.392",="-2.309",="-1.932",="-0.631",="-0.800",="-1.309",="2.581",="0.388",="-0.587",="-2.287**",="-0.945",="-0.890"
="",="(0.308)",="(.)",="(.)",="(0.310)",="(2.016)",="(1.255)",="(0.741)",="(0.966)",="(.)",="(.)",="(0.661)",="(0.845)",="(0.951)",="(1.221)",="(0.986)"

="trans",="0.0969",="0",="0",="-0.0363",="1.344",="1.127",="0.659",="0.565",="0.0494",="0",="-0.0338",="0.478",="1.089*",="0.851",="0.311"
="",="(0.153)",="(.)",="(.)",="(0.223)",="(1.083)",="(0.680)",="(0.448)",="(0.507)",="(.)",="(.)",="(0.386)",="(0.489)",="(0.561)",="(0.637)",="(0.531)"

="trust",="-2.946",="0",="0",="-4.055",="10.38",="8.301",="8.620",="5.976",="0",="0",="0.823",="3.778",="13.65*",="16.92*",="6.684"
="",="(2.400)",="(.)",="(.)",="(3.430)",="(11.96)",="(8.428)",="(5.952)",="(6.548)",="(.)",="(.)",="(6.103)",="(7.017)",="(7.079)",="(8.941)",="(7.843)"

="_cons",="1.384",="28.48",="0.455",="1.051",="-10.94",="-12.60",="-8.939",="-4.472",="33.95",="1.541",="0.624",="0.0324",="-9.136",="-9.519",="1.009"
="",="(1.930)",="(.)",="(.)",="(4.449)",="(11.44)",="(8.808)",="(6.870)",="(6.422)",="(.)",="(.)",="(6.651)",="(7.577)",="(8.940)",="(9.959)",="(9.620)"

="N",="40",="3",="2",="38",="40",="37",="38",="39",="4",="2",="38",="39",="36",="36",="38"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
