0;1;2;3;4;5
1;16 февраля 2022 года;Новость;В 2021 году Банк России выявил почти 2,7 тысячи нелегальных компаний и финансовых пирамид;"Среди них 871 финансовая пирамида (в 2020 году — 222), 860 нелегальных профессиональных участников рынка ценных бумаг (в 2020 году — 395) и 948 компаний с признаками «черных кредиторов» (в 2020 году — 821).
Такая динамика объясняется несколькими факторами. Мошенники активно осваивают онлайн-пространство, где создавать новые проекты намного дешевле и проще. В то же время Банк России усовершенствовал процесс мониторинга, с помощью которого более эффективно выявляет нелегалов в Сети.
Более половины финансовых пирамид, действовавших в Интернете, привлекали средства клиентов в криптовалюте либо предлагали им вложения в различные несуществующие криптовалютные активы. Злоумышленники пользовались финансовой и цифровой неграмотностью потенциальных жертв и рекламировали инвестиции в проекты, которые невозможно реализовать даже технически.
Большинство выявленных нелегальных профессиональных участников рынка ценных бумаг — 812 из 860 — предлагали услуги форекс-дилеров. Многие из них позиционировали себя в качестве иностранных брокеров, и почти все пытались «завоевывать» клиентов в онлайне.
По инициативе Банка России в прошлом году был разделегирован или ограничен доступ более чем к 3 тысячам сайтов нелегальных участников финансового рынка и финансовых пирамид.
«Мы рекомендуем людям быть внимательнее, анализировать и оценивать все финансовые предложения, особенно те, которые касаются инвестиций. Инвестирование всегда сопряжено с риском. Поэтому надо пользоваться услугами только настоящих профессионалов, имеющих лицензию Банка России. Реестры всех легальных участников рынка размещены на сайте Банка России. Мы публикуем также так называемый предупредительный список — перечень компаний, у которых установлены признаки незаконной деятельности или финансовых пирамид. Проверяйте поступающие предложения при малейшем подозрении на то, что с вами связываются мошенники! Если же вам стало известно о таких схемах или вы оказались их жертвой, обязательно сообщайте об этом в правоохранительные органы и в Банк России. Такая информация поможет быстрее разоблачить злоумышленников», — говорит директор Департамента противодействия недобросовестным практикам Валерий Лях.";https://www.cbr.ru/press/event/?id=12695
2;16 февраля 2022 года;Новость;В Банке России состоялось заседание рабочей группы по финансированию малого и среднего предпринимательства;"Участники встречи обсудили результаты мер поддержки кредитования малого и среднего предпринимательства (МСП), дальнейшие шаги по развитию инструментов его финансирования, вопросы снижения транзакционных издержек бизнеса, работы платформы «Знай своего клиента» и другие.
Регулятор рассмотрит расширение участия в программе стимулирования кредитования региональных банков и банков с базовой лицензией, активно работающих с МСП, отметила глава Банка России Эльвира Набиуллина.
В 2022 году также планируется увеличить с 10 до 50 млн рублей предельный размер ссуд субъектам МСП, оценка риска по которым производится на основании внутрибанковских подходов. Одновременно рассматривается вопрос о калибровке шкалы резервирования по таким ссудам. Это снизит операционные издержки у заемщиков и банков, позволит банкам более оперативно выдавать кредиты большему числу заемщиков.
Дополнительно регулятор начинает собирать предложения бизнеса в дорожную карту по финансированию МСП на 2023–2024 годы.";https://www.cbr.ru/press/event/?id=12694
3;15 февраля 2022 года;Новость;Доходности денежного и долгового рынков выросли;"В январе доходности денежного и долгового рынков продолжили расти. Это было связано с ростом премии за риск и пересмотром участниками рынка ожиданий по дальнейшему изменению ключевой ставки.
Рост ставок по рублевым депозитам в декабре и январе продолжился. При этом повышение ключевой ставки пока не в полном объеме транслировалось в ставки по депозитам.
Более подробно читайте в очередном выпуске комментария «Ликвидность банковского сектора и финансовые рынки».";https://www.cbr.ru/press/event/?id=12691
4;15 февраля 2022 года;Новость;Банк России подвел итоги первых трех месяцев тестирования неквалифицированных инвесторов;"Почти 67% инвесторов, проходивших тестирование перед сделками со сложными финансовыми инструментами, смогли верно ответить на все вопросы, причем 42,5% сдали тест с первого раза. Некоторым потребовалось четыре и более попыток (7,8%). Значительная часть тех, кто не смог пройти тест с первой или повторных попыток, передумали совершать сделку.
Это следует из мониторинга, проведенного НАУФОР и НФА по заказу Банка России. Он основан на данных за октябрь — декабрь 2021 года, предоставленных 24 крупнейшими брокерами, на обслуживании которых к концу года было 19,7 млн клиентов. За три месяца тестирование попытались пройти 2,8 млн человек.
Обязательное тестирование неквалифицированных инвесторов началось 1 октября. Оно призвано помочь людям оценить свои знания и принимаемые на себя риски. В случае отрицательного результата инвестор может пройти тестирование еще раз — количество попыток не ограничено. Кроме того, даже не сумев сдать тест, он может совершить желаемую сделку на ограниченную сумму, если брокер предлагает воспользоваться правом «последнего слова». Так поступили немногим более 20 тыс. человек.
Чаще всего инвесторы проходили тестирование перед покупкой российских акций, не включенных в котировальные списки (18,7% от общего числа тех, кто сдавал тест), а также иностранных акций, не включенных в ведущие мировые индексы (18,2%). Далее с большим отрывом следовали покупки российских облигаций с низким кредитным рейтингом или без него (9,96%) и сделки с другими инструментами. В частности, тестирование для покупки облигаций со структурным доходом и структурных облигаций проходили 5,9 и 6,8% инвесторов соответственно.
Схожие результаты показал первый замер, проведенный по итогам октября 2021 года.";https://www.cbr.ru/press/event/?id=12689
5;15 февраля 2022 года;Новость;1 марта начнется олимпиада по финансовой грамотности и предпринимательству для школьников;"Всероссийская онлайн-олимпиада для учеников 1–9 классов пройдет на платформе Учи.ру. Принять участие в ней можно в течение месяца в любой день — с 1 до 31 марта.
Задания олимпиады на конкретных примерах из повседневной жизни объясняют, в чем заключается рациональная модель финансового поведения. Они помогут научиться распознавать приемы мошенников и маркетинговые уловки, планировать личные сбережения и расходы, безопасно пользоваться банковской картой. Отдельные блоки задач посвящены развитию предпринимательских качеств и бережному отношению к природе как части культуры потребления.
Участники и победители смогут пополнить свои портфолио сертификатами и грамотами, которые появятся в их личных кабинетах на Учи.ру.
Олимпиаду откроет онлайн-урок первого заместителя Председателя Банка России Владимира Чистюхина на тему «Кто есть кто на финансовом рынке». Начало урока — 1 марта в 9:30 по московскому времени. Трансляция пройдет при поддержке социальной сети ВКонтакте: в сообществе Банка России можно будет задать вопрос спикеру. Кроме этого, присоединиться к трансляции можно будет на странице урока и в личных кабинетах учителей и учеников 6–11 классов на Учи.ру.
Олимпиада проводится при содействии Банка России, Минфина России, НИФИ, Минэкономразвития России, Ассоциации развития финансовой грамотности в рамках реализации Стратегии повышения финансовой грамотности и в соответствии с задачами национального проекта «Малое и среднее предпринимательство и поддержка индивидуальной предпринимательской инициативы». Участие в ней бесплатное.
В 2021 году в олимпиаде участвовали более 800 тыс. школьников.";https://www.cbr.ru/press/event/?id=12683
6;15 февраля 2022 года;Новость;Цифровой рубль: старт тестирования;"Банк России и участники рынка приступили к тестированию платформы цифрового рубля и успешно провели первые переводы в цифровых рублях между гражданами.
Создание прототипа платформы цифрового рубля было завершено в декабре 2021 года. Принять участие в тестировании платформы выразили желание 12 банков.
Сейчас три банка из пилотной группы уже подключились к платформе. Два из них успешно провели полный цикл операций по переводу цифровых рублей между клиентами с использованием банковских мобильных приложений. Клиенты не только открыли через мобильное приложение цифровые кошельки на платформе цифрового рубля, но и обменяли безналичные рубли со своих счетов на цифровые и затем провели операции перевода цифровых рублей между собой. Остальные участники пилотной группы планируют подключиться к тестированию платформы цифрового рубля по мере завершения доработок своих ИТ-систем.
Взаимодействие Банка России и участников рынка по операциям с цифровыми рублями строится по принципу двухуровневой розничной модели. Банк России является эмитентом цифровых рублей и оператором платформы. При этом клиенты открывают кошельки и проводят по ним операции на платформе цифрового рубля через финансовые организации. Уникальность цифрового рубля состоит в том, что будет обеспечена возможность доступа к своему цифровому кошельку через мобильное приложение любого банка, в котором обслуживается клиент.
«Платформа цифрового рубля — это новые возможности для граждан, бизнеса и государства. Мы планируем, что для граждан переводы в цифровых рублях будут бесплатными и доступными в любом регионе страны, а для бизнеса это снизит издержки и создаст возможности для разработки инновационных продуктов и сервисов. Государство же получит новый инструмент для целевых выплат и администрирования бюджетных платежей, — отметила первый заместитель Председателя Банка России Ольга Скоробогатова. — В течение этого года мы будем тестировать различные сценарии и дорабатывать платформу цифрового рубля. На последующих этапах развития платформы мы также планируем предусмотреть бесшовное взаимодействие с цифровыми платформами и цифровыми экосистемами».
На первом этапе будет протестирован выпуск цифровых рублей, открытие цифровых кошельков банкам и гражданам, а также переводы между гражданами. На втором этапе планируется протестировать операции по оплате товаров и услуг в торгово-сервисных предприятиях, платежи за государственные услуги, реализацию смарт-контрактов, а также взаимодействие с Федеральным казначейством. В дальнейшем предполагается внедрить возможность оплаты в местах без Интернета (офлайн-режим), организовать взаимодействие с финансовыми посредниками и цифровыми платформами, а также предусмотреть возможность проведения операций с цифровым рублем для клиентов-нерезидентов.
По результатам тестирования будет сформирована дорожная карта внедрения платформы цифрового рубля.";https://www.cbr.ru/press/event/?id=12685
7;15 февраля 2022 года;Интервью;Интервью Михаила Мамуты газете «Известия»;"Человек получит право взять каникулы по каждому кредиту
— Михаил Валерьевич, в прошлом году Центробанк по закону получил большие полномочия по противодействую мисселингу. В частности, в случае выявления системных нарушений вы можете приостановить продажи продукта и требовать обратного выкупа его у клиента. Вы уже применяли эти меры?
— Мы сейчас регистрируем нормативные акты, которые регламентируют применение этих мер. Это новые полномочия Центрального банка, и они должны быть тщательно проработаны и зафиксированы.
— То есть уже скоро, если, скажем, бабушке навяжут договор инвестиционного страхования жизни (ИСЖ) под видом вклада, она сможет вернуть деньги — финорганизация будет вынуждена выкупить у нее этот продукт обратно?
— Одной бабушке мы тоже, конечно, поможем, выдав банку предписание — тем более довольно давно рекомендовали не продавать инвестиционные продукты клиентам старше определенного возраста, и в целом банки эти рекомендации выполняют. Однако для применения оферты закон требует неоднократности, то есть должно быть несколько подобных случаев в конкретной финансовой организации. Тогда мы сможем принять меры в рамках наших новых полномочий. Хотел бы обратить внимание на важный момент. Если раньше человек жаловался на то, что «его обманули, злоупотребили незнанием», что он «не понял, что ему говорили», то при разбирательстве это были его слова против слов сотрудника банка. Не всегда удавалось установить истину. Часто приходилось больше апеллировать к совести продавца, чем к установленному факту. Ведь введение в заблуждение происходит, как правило, именно в ходе разговора.
Теперь ситуация меняется. Наше новое регулирование описывает требования к взаимодействию продавца с покупателем — например, что и как должен рассказывать банк, который выступает агентом по продаже страхового продукта. Требования будут одинаковые ко всем — и к банку, и к страховщику. Появляются формальные обязательства финансовых компаний продавать честно, причем в регулировании есть одна принципиальная новелла — то, что продавец говорит устно, не может по сути отличаться от зафиксированного на бумаге.
И если мы получим такую жалобу, о которой вы сказали, и через контрольную закупку поймаем нечестного продавца на обмане, это даст нам законные основания применить все предусмотренные законом нормы. Я надеюсь, что нам придется применять их не очень часто, но мы будем обязательно это делать, если будет доказан обман людей. Новые меры существенно охладят интерес недобросовестных продавцов к подобного рода сделкам.
— И когда вы реально начнете их применять?
— Точно в этом году — вероятно, со второго полугодия. Банкам тоже нужно время, чтобы перенастроить учетные системы под новые требования. Мы предполагаем, что нормативный акт о правилах продаж вступит в силу с июля 2022 года.
Сценарии для инвестора
— В прошлом году с опережением графика была введена процедура тестирования неквалифицированных инвесторов. Какая последняя статистика по результатам тестов?
— Как и любая новая процедура, тестирование требует определенного привыкания. Когда закон готовился, вокруг него было сломано очень много копий. Сначала профучастники пытались нас убедить, что это никому не нужно, что тестирование просто усложняет процесс продаж и это лишняя потеря времени.
Мы уже сейчас видим, что это совсем не так. Первые результаты тестирования свидетельствуют, что система помогает людям принимать правильные решения, с осторожностью относиться к сложным финансовым продуктам. Важно понимать, что если тест не пройден — это не запрет, а настоятельная рекомендация не совершать эту сделку. Это реально эксперимент для людей. Раньше человек часто не понимал, что за операции он совершает. Ему что-то предлагали, и инвестор был уверен, что, купив это, он обязательно разбогатеет. Но результаты часто были обратными.
Тестирование появилось 1 октября прошлого года. Уже выборочный замер по итогам октября и по крупнейшим брокерам показал, что успешное прохождение тестов колебалось по разным инструментам от 20% до 70% от числа тех, кто пытался их сдавать, что похоже на правду.
Чаще всего — почти 25% инвесторов — тестирование проходили для покупки иностранных акций, которые не включены в котировальные списки из перечня Банка России. Это говорит о высоком интересе к покупке иностранных активов.
Структурными облигациями в октябре интересовалось гораздо меньше инвесторов — лишь 7% из тех, кто проходил тесты. При этом прошли их всего около 46%, что логично с учетом их сложности.
— Первые итоги, которые подводили саморегулируемые организации (СРО), свидетельствовали о том, что результаты оказались лучше пилотных. Это наталкивает на подозрение, что людям слегка помогали профучастники. Справедливо ли оно, будут ли усложняться тесты с учетом первых итогов?
— В интернете почти сразу появились правильные ответы на вопросы. Хотя пользоваться подсказками не в интересах самого инвестора. Какой смысл обманывать самого себя, списать ответ и купить какой-нибудь производный инструмент, сути которого человек не понимает? Потом даже претензию предъявить будет сложно, потому что тест сдан. Пользуясь случаем, я еще раз рекомендовал бы инвесторам относиться к тесту как к самооценке — максимально честно. Захотите купить что-то, не сдав тест, можно сделать это через механизм «последнего слова» (возможность совершить сделку при отрицательном результате тестирования, но на сумму не более 100 тыс. рублей. — «Известия»). Можно, в конце концов, пройти тест и второй, и третий раз: пересдача не ограничена.
Запустив базовое тестирование, мы разработали дорожную карту на 2022 год по совершенствованию этой процедуры. Мы хотим снизить риски манипулирования со стороны продавца и сдачи теста методом механического перебора ответов.
Количество ключевых вопросов на первом этапе увеличится с четырех до восьми, увеличится и количество возможных вариантов ответов. При этом инвестор будет по-прежнему отвечать на четыре вопроса, но каждый раз будет выпадать их новая комбинация, и тем же случайным способом будет проходить ротация вариантов ответов. За счет этого вероятность пройти тест путем перебора вариантов без понимания сути ответов существенно снизится.
Что касается недобросовестного поведения участников рынка, Ассоциация развития финансовой грамотности проверила качество тестирования в разных регионах. В целом всё было более или менее прилично. Хотя были случаи, когда брокер, в том числе в своем приложении, подсказывал человеку, как нужно сдавать тест, вплоть до того, что выводил на экран правильные варианты ответов, объяснял, что неправильно, и говорил, как сдать.
Саморегулируемые организации, куда входят эти брокеры, и сами брокеры объяснили произошедшее технической ошибкой на стороне программного обеспечения. Сегодня таких проблем не фиксируется, но мы будем постоянно и очень тщательно следить через контрольные закупки за тем, насколько честно проводится тестирование.
— Если повторно поймаете какого-то брокера на проблемах с программным обеспечением?
— Вот тогда мы и сможем использовать тот акт о правилах продаж, о котором я уже говорил. В данном случае будет иметь место явное нарушение правил информирования, нарушение процедуры, и мы сможем применить меры.
Еще об изменениях: с 1 октября 2022 года в ключевых информационных документах (КИД) по ценным бумагам появится специальное отражение уровня риска инструмента — от низкого до высокого. Это своего рода подсказка инвестору, которая поможет ему сориентироваться, стоит ли приобретать этот инструмент или нет.
Планируется, что в КИД будут отражаться четыре сценария доходности, которые возможны для каждого инвестпродукта: на что человек вправе рассчитывать при благоприятном течении событий, умеренно благоприятном, неблагоприятном и стрессовом. Сейчас продавец почти никогда не говорит, что вы можете потерять деньги, если наступят такие-то события. А это моделирование даст человеку понять, с какой вероятностью он получит доход или понесет убыток, и тоже поможет более осознанному выбору. Такая модель активно применяется в Европе. Там есть специальное регулирование, из которого мы эту норму, адаптируя, переносим в российское законодательство.
В первом полугодии мы проведем специальную поведенческую экспертизу, чтобы понять, в какой форме инвесторы лучше воспринимают информацию о рисках. Вполне возможно, что наилучшей формой будет «светофор»: зеленый, желтый, красный. Если эта гипотеза подтвердится, в КИД по ценным бумагам появится и цветовая шкала рисков в дополнение к числовой.
Кредитно-депозитная поддержка
— Когда механизм кредитных каникул может стать постоянным? Будет ли он, как и в первый период пандемии, совмещен с послаблениями для банков? И если да, не противоречит ли это курсу на ужесточение макропруденциальных мер? В ЦБ нет внутреннего конфликта по этому поводу?
— Центробанк несколько лет отслеживал, как работают ипотечные каникулы. Когда их вводили, то банки сильно волновались: «сейчас нас завалят заявлениями, придется всем давать каникулы, это плохо повлияет на стабильность системы», «людям это не поможет, пройдет полгода, и они по-прежнему не будут платить». Эти сомнения можно было понять: инструмент новый, а всё новое всегда вызывает тревогу. Но мы исходили из международной практики, где подобные механизмы снижения риска дефолта применяются уже давно, а также логики, что шесть месяцев — это срок, за который в среднем у людей восстанавливается платежеспособность. Если человек теряет работу, то, по данным Росстата, он ищет ее четыре-пять месяцев, плюс месяц добавляется как запас прочности, на всякий случай.
Каникулы — это хороший предохранитель от стресса, которым в том числе является потеря работы, болезнь или другое непредвиденное негативное событие в жизни человека. Важно понимать, что от такого никто не застрахован, и пандемия нам это очень хорошо продемонстрировала. Пока статистика подтверждает, что наш прогноз оказался справедливым. Ипотечные и кредитные каникулы брали не все заемщики подряд, а только те, у кого сильно снизились доходы. И что важно, выходили из ипотечных каникул в обычный график платежей 85% тех, кто получил такую отсрочку. То есть благодаря этому более чем три четверти заемщиков из числа тех, кто столкнулся с серьезными проблемами, не испортили кредитную историю и не допустили просрочки.
По антикризисным мерам (по временному закону о кредитных каникулах. — «Известия») результат был пониже — 70–75%, но это тоже достаточно неплохо.
Поэтому мы пришли к выводу, что в условиях, когда у людей непредсказуемо могут измениться жизненные обстоятельства, а на рынке всё больше «длинных» задолженностей, механизм кредитных каникул нужно распространить на потребительское кредитование на постоянной основе. И сейчас активно участвуем в подготовке законопроекта об этом.
По нашему мнению, такие каникулы должны предоставляться на срок до шести месяцев по всем договорам потребкредита вне зависимости от срока и суммы, если доходы человека упали, — по аналогии с ипотечными каникулами.
— То есть если у человека несколько кредитов в разных банках, он сможет взять каникулы по каждому?
— Он получит право взять по каждому из них каникулы, но один раз. У человека три кредита, он теряет работу, он не сможет обслуживать ни один из них. Какой ему смысл брать каникулы по одному, если по двум он уйдет в дефолт?
— В этом году можно ожидать вступления в силу этого закона?
— Это один из наших приоритетов в перечне мер по использованию возможностей финансового рынка для повышения благосостояния людей. В конце прошлого года мы обсуждали эти инициативы с законодателями и рассчитываем, что у законопроекта хороший шанс на принятие в этом году.
— На поддержке людей с невысокими доходами хотелось бы остановиться подробней. Какие еще меры запланированы для того, чтобы повысить доступность для них финансовых услуг?
— Мы подошли к этому системно: не просто предложили инициативы, но предварительно на нескольких фокус-группах изучили потребности и пожелания людей. Получился целый комплекс мер. Во-первых, это закон о кредитных каникулах, о котором я уже рассказал.
Во-вторых, специальный вклад, который в дополнение к любым обычным вкладам смогут открывать люди с невысокими доходами. Предполагается, что проценты по этому вкладу будут гарантированно выше уровня ключевой ставки, а средства можно будет пополнять и снимать в любое время, за исключением определенного минимального остатка.
Еще одна очень важная инициатива — текущий социальный счет с прикреплением карты «Мир» с начислением процентов на остаток в привязке к ключевой ставке. Это тоже хороший способ поддержки нуждающихся людей. По текущему счету, как правило, процент сегодня не начисляется, или он минимален, а здесь человек будет получать гарантированный дополнительный доход, насчитываемый на остаток по счету, в течение года.
Также предполагается, что переводы, платежи, снятие наличных, любая оплата с этой карты в сумме до 15 тыс. рублей в месяц должны быть освобождены от комиссий. В нашем понимании неважно, за что человек платит — за ЖКХ, за товары, за услуги, переводит деньги другому физлицу, — норма должна работать одинаково.
Еще одна важная инициатива — запрет на взимание комиссий при переводе человеком денег самому себе из одного банка в другой банк на сумму до 1,4 млн рублей. Сейчас эта комиссия иногда значительна.
Страховка без риска
— На мой взгляд, один из самых токсичных продуктов с точки зрения мисселинга — страхование жизни и здоровья, которое привязано к потребкредиту. Регулятор принимает меры, чтобы исправить ситуацию, но почему вообще нельзя запретить такую привязку, если страховка выгодна только банку?
— В большинстве случаев эти страховки действительно не были ориентированы на потребителя: мы видели высокие комиссии банков, большое количество исключений из страхового покрытия и фактическую навязанность. Человеку это часто продавалось как то, без чего кредит не дадут, что противоречит закону. По всем этим трем направлениям мы частично уже реализовали, частично в этом году реализуем определенные защитные меры.
В ближайшее время, полагаю, утвердим требования к стандартным условиям договора кредитного страхования. Тем самым мы исключим вероятность того, что это будут бумажки, за которыми ничего не стоит. В нормативном акте будет четко описано, каким требованиям должна отвечать страховка и к потребительскому, и к ипотечному кредиту.
Навязывание страховок влечет серьезные штрафы, и мы продолжим бороться с навязыванием через контрольные мероприятия. Кроме того, у нас должны появиться полномочия приостанавливать продажу страховок в случаях системных нарушений правил продаж.
Еще хотел бы упомянуть, что поправки в закон «О потребительском кредите», которые уже внесены депутатами в Государственную думу, предполагают расширение «периода охлаждения» в отношении дополнительных услуг, в том числе и кредитных страховок. Сейчас это 14 дней, в законопроекте предусмотрено, что период охлаждения будет действовать до первого платежа по кредиту плюс пять дней. Логика в том, что, как правило, люди начинают отдавать себе отчет о причинах переплаты, только когда начинают обслуживать долг.
Лишая возможности манипулировать последствиями выбора, мы существенным образом убиваем аппетит к нечестным продажам. На стороне банка будут затраты, связанные с обслуживанием этого возврата, с выяснением отношений со страховой компанией.
Анна Каледина
Известия, 15.02.2022";https://www.cbr.ru/press/event/?id=12684
