date,time,information.text,information.href,information.date
19 02 10,11:12:00,О снижении ставки рефинансирования и процентных ставок по отдельным операциям Банка России,https://www.cbr.ru/press/PR/?file=100219_111251refin-1.htm,"Департамент внешних и общественных связей Банка России сообщает, что Совет директоров Банка России 19 февраля 2010 года принял решение о снижении с 24 февраля 2010 года ставки рефинансирования и процентных ставок по отдельным операциям Банка России на 0,25 процентного пункта (таблица «Процентные ставки по операциям Банка России»). Указанное решение было принято в целях дальнейшего стимулирования активности банковского сектора по кредитованию российской экономики. Основой для снижения процентных ставок послужили благоприятная динамика индекса потребительских цен (на 15 февраля 2010 года годовая инфляция снизилась до 7,6% по сравнению с 13,4% на аналогичную дату предыдущего года) и отсутствие в обозримой перспективе значимых рисков ускорения инфляции и превышения ее официального прогноза на 2010 год. В текущем году сохранились положительные тенденции в динамике показателей экономической активности. В январе 2010 года зафиксирован заметный рост объема промышленного производства по отношению к январю 2009 года. Позитивную динамику также показали индикаторы потребительских ожиданий за IV квартал 2009 года. Вместе с тем, несмотря на некоторое улучшение ситуации в промышленности, основные факторы производственной сферы (инвестиции, уровень занятости) и потребительского спроса (реальные доходы населения, объемы кредитования физических лиц) остаются ниже докризисного уровня, что определяет неустойчивую динамику внутреннего спроса. Как ожидается, действия Банка России по снижению процентных ставок будут способствовать созданию благоприятных условий для восстановления устойчивого экономического роста.В условиях высокого уровня ликвидности банковского сектора снижение процентных ставок также направлено на ограничение притока краткосрочного иностранного капитала. При этом, учитывая такие внешние факторы, как относительно слабый рост мировой экономики, а также повышение суверенных рисков в отдельных странах, Банк России допускает вероятность повышения волатильности на внутреннем валютном рынке и соответствующих курсовых рисков.Дальнейшие шаги по изменению процентных ставок будут осуществляться с учетом развития инфляционных тенденций, динамики показателей производственной активности и состояния внутреннего финансового рынка. Следующее заседание Совета директоров Банка России, на котором будет рассматриваться вопрос о процентных ставках, состоится в марте 2010 года."
26 03 10,11:31:00,О снижении ставки рефинансирования и процентных ставок по отдельным операциям Банка России,https://www.cbr.ru/press/PR/?file=100326_113124refin-1.htm,"Департамент внешних и общественных связей Банка России сообщает, что Совет директоров Банка России 26 марта 2010 года принял решение о снижении с 29 марта 2010 года ставки рефинансирования и процентных ставок по отдельным операциям Банка России на 0,25 процентного пункта (таблица «Процентные ставки по операциям Банка России»).Условия для дальнейшего снижения процентных ставок Банка России обеспечиваются продолжившимся замедлением темпов роста потребительских цен (по состоянию на 22 марта годовая инфляция составила 6,9% по сравнению с 7,2% в феврале 2010 года) и отсутствием в текущем году предпосылок для существенного ускорения инфляции.Несмотря на определенные позитивные изменения в динамике макроэкономических показателей, отражающие восстановление экономической активности, этот процесс остается недостаточно устойчивым. Снижение процентных ставок по операциям Банка России направлено на уменьшение стоимости заимствований, повышение доступности кредитных ресурсов для субъектов экономики и создание условий для полноценного восстановления внутреннего спроса.Учитывая сохраняющуюся неопределенность в развитии ситуации на внешних финансовых рынках, Банк России допускает вероятность повышения волатильности курса национальной валюты. Вместе с тем снижение процентных ставок Банка России, ограничивая стимулы к притоку краткосрочного капитала, должно способствовать повышению сбалансированности внутреннего валютного рынка.Одновременно Банком России было принято решение о возобновлении проведения депозитных операций с кредитными организациями на фиксированных условиях «овернайт».В дальнейшем решения о целесообразности изменения процентных ставок будут приниматься с учетом развития инфляционных тенденций, динамики показателей производственной и кредитной активности и состояния внутреннего финансового рынка.Следующее заседание Совета директоров Банка России, на котором будет рассматриваться вопрос о процентных ставках, состоится в апреле 2010 года."
29 04 10,11:20:00,О снижении ставки рефинансирования и процентных ставок по отдельным операциям Банка России,https://www.cbr.ru/press/PR/?file=100429_112021refin-1.htm,"Департамент внешних и общественных связей Банка России сообщает, что Совет директоров Банка России 29 апреля 2010 года принял решение о снижении с 30 апреля 2010 года ставки рефинансирования и процентных ставок по отдельным операциям Банка России на 0,25 процентного пункта (таблица «Процентные ставки по операциям Банка России»).В апреле сохраняется благоприятная динамика индекса потребительских цен (по состоянию на 26 апреля годовая инфляция составила 6,1% по сравнению с 6,5% в марте 2010 года), что формирует условия для снижения процентных ставок Банка России. Динамика основных российских макроэкономических индикаторов свидетельствует о постепенном формировании тенденции к восстановлению экономического роста. В марте продолжился рост реальных располагаемых доходов населения, увеличивался оборот розничной торговли. Однако в целом процесс восстановления экономики остается неустойчивым, сохраняется необходимость поддержки динамики внутреннего спроса. Наблюдаемый в марте-апреле рост банковского кредита экономике является незначительным, несмотря на определенное снижение ставок по кредитам конечным заемщикам.В этих условиях принятое решение Банка России направлено в первую очередь на дальнейшее стимулирование повышения кредитной активности банковского сектора и, в конечном счете, повышение доступности заемных средств для реального сектора экономики.Банк России не исключает возможности повышения годового индекса потребительских цен во втором полугодии 2010 года, хотя в определенной мере это может быть связано с «эффектом базы» предыдущего года. Поэтому при продолжении снижения годовой инфляции в ближайший период, ее динамика может потребовать более детального анализа для принятия в дальнейшем решений о целесообразности изменения процентных ставок по операциям Банка России. При этом будет также учитываться динамика показателей производственной и кредитной активности и состояния внутреннего финансового рынка.Следующее заседание Совета директоров Банка России, на котором будет рассматриваться вопрос о необходимости изменения процентных ставок, предполагается провести в мае 2010 года. Процентные ставки по операциям Банка России, % Срок c 29.03.10 c 30.04.10 Ломбардные аукционы (минимальные процентные ставки) 7 дней — 5,25 14 дней 5,5 — 3 месяца 7 6,75 6 месяцев 7,5 7,25 12 месяцев 8 7,75 Прямое РЕПО на аукционной основе (биржевое и внебиржевое) (минимальные процентные ставки) 1 день 5,5 5,25 7 дней 5,5 5,25 90 дней 7 6,75 6 месяцев 7,5 7,25 12 месяцев 8 7,75 Кредиты овернайт Овернайт 8,25 8 Сделки «валютный своп» (рублевая часть) 1 день 8,25 8 Ломбардные кредиты (по фиксированной процентной ставке) 1 день 7,25 7 7 дней 7,25 7 30 дней 7,25 7 Прямое РЕПО (по фиксированной ставке) 1 день 7,25 7 7 дней 7,25 7 12 месяцев 8 7,75 Кредиты, обеспеченные нерыночными активами или поручительствами (по фиксированной процентной ставке) До 90 дней 7,25 7 От 91 до 180 дней 7,75 7,5 От 181 до 365 дней 8,25 8 Депозитные операции (по фиксированной процентной ставке) «Овернайт» &quot; 2,75 2,5 «Том-некст», «спот-некст», «до востребования» 3 2,75 «Одна неделя», «спот-неделя» 3,5 3,25 Справочно: Ставка рефинансирования 8,25 8"
31 05 10,17:29:00,О снижении ставки рефинансирования и процентных ставок по отдельным операциям Банка России,https://www.cbr.ru/press/PR/?file=100531_172920refin-1.htm,"Департамент внешних и общественных связей Банка России сообщает, что Совет директоров Банка России 31 мая 2010 года принял решение о снижении с 1 июня 2010 года ставки рефинансирования на 0,25 процентного пункта и процентных ставок по отдельным операциям Банка России (таблица «Процентные ставки по операциям Банка России»).В мае 2010 года продолжилось снижение годовых темпов инфляции, уровень которой на 25 мая составил 5,7%. При этом, по оценкам Банка России, риски значимого увеличения инфляции в ближайшие месяцы по-прежнему остаются невысокими.Данные по основным макроэкономическим показателям России, вышедшие после предыдущего заседания Совета директоров Банка России по вопросам изменения процентных ставок, указывают на постепенное восстановление экономического роста. При этом ускорение роста инвестиций, реальной заработной платы и оборота розничной торговли свидетельствует о формировании позитивных тенденций в динамике внутреннего спроса. Зафиксированы положительные сдвиги и на рынке труда.Вместе с тем, сохраняются значительные риски неустойчивости наметившегося восстановления кредитной активности и экономического роста, в частности, связанные с высокой степенью неопределенности будущей внешнеэкономической конъюнктуры, что определяет целесообразность принятого решения о снижении Банком России процентных ставок для поддержки экономической активности.В условиях профицита банковской ликвидности краткосрочные ставки межбанковского рынка определяются процентными ставками по депозитным операциям Банка России. Устанавливаемые настоящим решением параметры процентной политики Банка России создают условия для формирования уровня ставок денежного рынка, обеспечивающего приемлемый баланс между доступностью заемных средств и инфляционными рисками, обусловленными действием монетарных факторов. Соответственно, Банк России считает вероятным сохранение достигнутого уровня процентных ставок в ближайшие месяцы.С учетом достигнутой к настоящему времени гибкости курсообразования Банк России полагает, что устанавливаемый уровень процентных ставок не создаёт существенных предпосылок для притока капитала. При этом наблюдавшаяся в мае текущего года волатильность курса рубля является приемлемой в рамках проводимой Банком России курсовой политики.Следующее заседание Совета директоров Банка России, на котором будут рассмотрены вопросы процентной политики, предполагается провести в июне 2010 года."
30 06 10,11:04:00,О ставке рефинансирования и процентных ставках по операциям Банка России,https://www.cbr.ru/press/PR/?file=100630_110442refin-1.htm,"Департамент внешних и общественных связей Банка России сообщает, что Совет директоров Банка России 30 июня 2010 года принял решение оставить без изменения уровень ставки рефинансирования и процентных ставок по операциям Банка России. Указанное решение было принято с учетом сохранения основных тенденций в динамике показателей экономической активности и состояния денежно-кредитной сферы. Инфляционное давление остается умеренным: годовая инфляция в апреле-июне находится на уровне 6%. Хотя скорость снижения инфляции постепенно замедляется, в ближайшие месяцы инфляционные риски оцениваются Банком России на приемлемом уровне, что не создает предпосылок для ужесточения денежно-кредитной политики. Сохраняются тенденции восстановления производственной активности, занятости и внутреннего спроса. В мае продолжилось повышение индекса промышленного производства при опережающей динамике обрабатывающих отраслей, увеличился годовой темп роста объема инвестиций в основной капитал, а также оборота розничной торговли. Благоприятные тенденции отразились и в показателях рынка труда: в мае заметно снизился уровень безработицы, сохранилась позитивная динамика уровня реальной заработной платы. Положительным фактом является продолжение наметившегося с марта текущего года постепенного роста объемов кредитования экономики со стороны банковского сектора и последовательное снижение процентных ставок по кредитам реальному сектору. Дальнейшее повышение доступности кредитов для конечных заемщиков должно быть достигнуто как за счет эффекта уже реализованных мер по смягчению денежно-кредитной политики, так и за счет переоценки кредитных рисков по мере улучшения экономической ситуации и стабилизации рыночных ожиданий. Действующие параметры процентной политики Банка России определяют условия формирования уровня ставок денежного рынка, обеспечивающего приемлемый баланс между доступностью заемных средств и инфляционными рисками, обусловленными действием монетарных факторов, и нейтрального с точки зрения трансграничных потоков капитала. Соответственно, Банк России считает вероятным сохранение достигнутого уровня процентных ставок в ближайшие месяцы. Следующее заседание Совета директоров Банка России, на котором будут рассмотрены вопросы процентной политики, предполагается провести в июле 2010 года."
30 07 10,11:33:00,О ставке рефинансирования и процентных ставках по операциям Банка России,https://www.cbr.ru/press/PR/?file=100730_113355refin.htm,"Департамент внешних и общественных связей Банка России сообщает, что Совет директоров Банка России 30 июля 2010 года принял решение оставить без изменения уровень ставки рефинансирования и процентных ставок по операциям Банка России."
31 08 10,11:02:00,Совет директоров Банка России оставил без изменения ставку рефинансирования,https://www.cbr.ru/press/PR/?file=100831_110201stavka-ref.htm,"Департамент внешних и общественных связей Банка России сообщает, что Совет директоров Банка России 31 августа 2010 года принял решение оставить без изменения уровень ставки рефинансирования и процентных ставок по операциям Банка России. После продолжительного периода снижения инфляции в августе было отмечено ускорение темпов роста потребительских цен, главным фактором которого стало повышение инфляционных ожиданий, обусловленное разбросом оценок последствий воздействия аномальных погодных условий на производство сельскохозяйственной продукции и повышением цен на зерно на мировом рынке. В результате годовая инфляция возросла с 5,5% в июле текущего года до 5,9% на 23 августа. Однако Банк России в настоящее время не видит достаточных оснований для того, чтобы сделать вывод о негативном влиянии указанных ценовых шоков на инфляцию в среднесрочной или долгосрочной перспективе. Банк России продолжит отслеживать воздействие указанных факторов на инфляционные процессы. Данные о динамике основных макроэкономических индикаторов свидетельствуют о том, что в российской экономике сохраняются риски для устойчивого роста. После существенного улучшения основных экономических показателей, зафиксированного во втором квартале 2010 года, в июле произошло замедление процесса восстановления экономической активности, на что указывают изменение индекса промышленного производства, динамика инвестиций, некоторое ухудшение показателей занятости. Вместе с тем, в июле продолжилось снижение процентных ставок по банковским кредитам нефинансовым организациям, чему способствовала проводимая Банком России стимулирующая денежно-кредитная политика. Кроме того, сохранилась тенденция к оживлению потребительской активности. Признаки неустойчивости восстановления экономического роста проявились не только в России, но и среди ведущих мировых экономик. Учитывая указанные тенденции, а также сохранение на умеренном уровне инфляционных рисков, определяемых монетарными условиями, Банк России считает возможным сохранить в ближайшие месяцы действующие параметры денежно-кредитной политики, которые должны способствовать дальнейшему повышению кредитной активности банковского сектора и обеспечивать поддержку экономики для выхода на траекторию устойчивого роста. Следующее заседание Совета директоров Банка России, на котором будут рассмотрены вопросы процентной политики, предполагается провести в сентябре 2010 года."
28 09 10,10:54:00,О ставке рефинансирования и процентных ставках по операциям Банка России,https://www.cbr.ru/press/PR/?file=100928_105457refin.htm,"Департамент внешних и общественных связей Банка России сообщает, что Совет директоров Банка России 28 сентября 2010 года принял решение оставить без изменения уровень ставки рефинансирования и процентных ставок по операциям Банка России. Указанное решение принято с учетом тенденций в динамике основных макроэкономических показателей и ситуации на внутренних финансовых рынках. Уровень инфляции на 20 сентября 2010 года составил 6,7% в годовом выражении, увеличившись по сравнению с предыдущим месяцем на 0,6 процентного пункта. В сентябре повышенные инфляционные ожидания, связанные с последствиями неблагоприятных погодных условий предшествующего периода, продолжили оказывать давление на уровень цен на отдельные группы продуктов питания. При этом Банк России по-прежнему считает, что инфляционные риски, обусловленные монетарными условиями, находятся на приемлемом уровне и продолжит мониторинг воздействия различных факторов на инфляционные процессы. Ряд показателей производственной активности и инвестиций в августе улучшились по сравнению с предыдущим месяцем, хотя сохраняются признаки неустойчивости экономического роста. Индикаторы занятости остались на прежнем уровне, что с учетом продолжившегося роста реальных доходов населения создает условия для дальнейшего оживления внутреннего спроса. Позитивная динамика сохранилась и по показателям кредитной активности банковского сектора: в августе продолжился рост объема кредитования экономики, а ставки по кредитам реальному сектору приблизились к докризисному уровню. Вместе с тем, повышение степени неопределенности развития внешнеэкономической ситуации создает дополнительные риски для устойчивости роста российской экономики, что определяет необходимость сохранения стимулирующей денежно-кредитной политики для поддержки внутренних факторов роста. С учетом указанных тенденций действующие параметры процентной политики рассматриваются Банком России как обеспечивающие в ближайшие месяцы приемлемый баланс между основными макроэкономическими рисками. Следующее заседание Совета директоров Банка России, на котором будут рассмотрены вопросы процентной политики, предполагается провести в октябре 2010 года."
29 10 10,10:50:00,О ставке рефинансирования и процентных ставках по операциям Банка России,https://www.cbr.ru/press/PR/?file=101029_105043refin.htm,"Департамент внешних и общественных связей Банка России сообщает, что Совет директоров Банка России 29 октября 2010 года принял решение оставить без изменения уровень ставки рефинансирования и процентных ставок по операциям Банка России. В октябре 2010 года отмечено некоторое замедление инфляции: за первые 25 дней месяца темпы роста потребительских цен снизились до 0,5% по сравнению с 0,9% за аналогичный период сентября, что свидетельствует о постепенном ослаблении инфляционных ожиданий, вызванных произошедшим ценовым шоком по отдельным группам продовольственных товаров. В годовом выражении уровень инфляции на 25 октября достиг 7,5%, что в определенной мере связано с «эффектом базы» предыдущего года. Банк России считает, что инфляционные риски, обусловленные монетарными условиями, находятся в настоящее время на приемлемом уровне, а повышение гибкости формирования валютного курса наряду с планируемым в следующем году снижением дефицита федерального бюджета и использованием рыночных механизмов его финансирования могут способствовать формированию условий для снижения указанных рисков. Данные свидетельствуют о восстановлении экономического роста в России, однако сохраняются риски для устойчивости этого процесса. В сентябре наблюдался дальнейший рост промышленного производства, сохранились высокие темпы роста инвестиций в основной капитал, продолжилось восстановление кредитной активности в экономике на фоне снижения процентных ставок по кредитам нефинансовым организациям. Вместе с тем в сентябре наблюдалось некоторое ослабление потребительского спроса: по отношению к предыдущему месяцу произошло снижение оборота розничной торговли в реальном выражении, в особенности по продовольственным товарам, а также продолжилось снижение годовых темпов его роста. Свой вклад в данный процесс внесли ухудшение потребительских ожиданий, зафиксированное по данным за третий квартал, и замедление роста реальных денежных доходов населения. Наблюдаемое ослабление потребительского спроса, а также неопределенность перспектив развития внешнеэкономической ситуации создают дополнительные риски для экономического роста. С учетом вышеизложенного Банк России считает возможным сохранить на ближайшие месяцы стимулирующую денежно-кредитную политику для поддержки внутренних факторов роста. Следующее заседание Совета директоров Банка России, на котором будут рассмотрены вопросы процентной политики, предполагается провести в ноябре 2010 года."
26 11 10,10:57:00,Об уровне ставки рефинансирования и процентных ставок по операциям Банка России,https://www.cbr.ru/press/PR/?file=101126_105732stavka-ref.htm,"Департамент внешних и общественных связей Банка России сообщает, что Совет директоров Банка России 26 ноября 2010 года принял решение оставить без изменения уровень ставки рефинансирования и процентных ставок по операциям Банка России. Уровень инфляции в годовом выражении вырос с 7,5% в октябре до 7,8% по состоянию на 22 ноября 2010 года. Основной вклад в ускорение инфляции внес рост цен на продовольственные товары, в большой степени обусловленный сохраняющимся эффектом неблагоприятных погодных условий летних месяцев, а также повышением мировых цен на сельскохозяйственное сырье. Вместе с тем годовые темпы прироста потребительских цен на непродовольственные товары в последние месяцы стабилизировались на относительно низком уровне. Банк России считает, что инфляционные риски, обусловленные монетарными условиями, находятся в настоящее время на приемлемом уровне, и продолжит мониторинг воздействия различных факторов на инфляционные процессы. Статистические данные за октябрь отразили сохранение основных макроэкономических тенденций. Ряд показателей производственной сферы свидетельствовали о продолжившемся восстановлении экономической активности. В октябре наблюдался рост индекса промышленного производства, положительную динамику также демонстрировал темп роста инвестиций в основной капитал, происходило дальнейшее увеличение кредита экономике со стороны банковского сектора на фоне заметного снижения стоимости заемных ресурсов. В то же время в динамике показателей, характеризующих потребительский спрос, в октябре сохранились негативные тенденции: годовые темпы роста оборота розничной торговли и объема платных услуг продолжили замедляться, а объем реальных располагаемых денежных доходов снизился к октябрю 2009 года. Принимая во внимание создаваемые ослаблением потребительского спроса и неопределенностью развития внешнеэкономической ситуации риски для экономического роста, неустойчивость которого нашла отражение в замедлении динамики ВВП России в третьем квартале текущего года, Банк России считает возможным сохранить стимулирующую денежно-кредитную политику для поддержки внутренних факторов роста. Следующее заседание Совета директоров Банка России, на котором будут рассмотрены вопросы процентной политики, предполагается провести в декабре 2010 года."
