0;1;2;3;4;5
1;21 февраля 2022 года;Новость;Объем средств на счетах эскроу в долевом строительстве в 2021 году превысил 3 трлн рублей;"Объем средств, размещенных участниками долевого строительства на счетах эскроу, по итогам 2021 года достиг почти 3,1 трлн рублей. В IV квартале 2021 года объем привлеченных средств (0,9 трлн рублей) был максимальным с начала реформы, что говорит о сохранении высоких темпов продаж жилья.
Проектное финансирование застройщиков — один из драйверов корпоративного кредитования. Портфель кредитов застройщикам по итогам года вырос до 2,6 трлн рублей и составил 5% от совокупного портфеля юридических лиц. На него приходится 20% квартального и 30% годового роста корпоративного портфеля.
Более подробная информация о динамике финансирования долевого строительства приведена в обзоре «О проектном финансировании строительства жилья в IV квартале 2021 года».";https://www.cbr.ru/press/event/?id=12705
2;17 февраля 2022 года;Новость;Мониторинг отраслевых финансовых потоков: рост экономической активности в начале 2022 года;"Динамика отраслевых финансовых потоков указывает на дальнейшее усиление экономической активности в большинстве отраслей в начале 2022 года, несмотря на ухудшение эпидемической ситуации в стране и мире.
Наиболее сильный рост наблюдался в отраслях, ориентированных на потребительский спрос. Этому способствует повышение потребительской активности на фоне увеличения реальных доходов, розничного кредитования, а также невысокой склонности домашних хозяйств к сбережению.
Более подробно читайте в очередном выпуске «Мониторинга отраслевых финансовых потоков».";https://www.cbr.ru/press/event/?id=12702
3;17 февраля 2022 года;Новость;В январе инфляция ускорилась в большинстве регионов;"Годовая инфляция в январе находилась в диапазоне от 4,5% в Чукотском автономном округе до 12,3% в Республике Калмыкия.
Годовой прирост цен на продовольственные товары увеличился в большинстве регионов — в основном за счет цен на плодоовощную и молочную продукцию. Это было связано с дальнейшим переносом в цены возросших издержек производителей и перебоями в импортных поставках. Темпы роста цен на непродовольственные товары также продолжили повышаться. В большей части регионов ускорилось подорожание легковых автомобилей и моторного топлива.
Услуги в январе дорожали быстрее, чем месяцем ранее. Наиболее заметно ускорился рост цен на услуги зарубежного туризма на фоне ослабления рубля. Продолжилось подорожание авиабилетов, связанное с увеличением цен на авиационный керосин и расширением спроса. В некоторых регионах повышение стоимости жилищных услуг было сильнее, чем годом ранее.
Более всего годовая инфляция в январе увеличилась в Сибири, где заметно ускорилось подорожание плодоовощной продукции и продуктов питания животного происхождения, а также жилищно-коммунальных и транспортных услуг. Менее всего годовая инфляция увеличилась на Северном Кавказе. Сдерживающее влияние на нее здесь оказало замедление роста цен на непродовольственные товары: моторное топливо, легковые автомобили и строительные материалы.
Подробнее об инфляции в регионах можно узнать в опубликованных на сайте Банка России информационно-аналитических материалах.";https://www.cbr.ru/press/event/?id=12701
4;17 февраля 2022 года;Новость;Банк России разработал детскую игру о признаках подлинности банкнот;"Игра «Космический детектив: тайна семи банкнот» рассчитана на детей с 7 лет. В ней нужно спасти город Финбург — столицу финансовых технологий и изобретений — от главного злодея — фальшивомонетчика. На какие именно защитные признаки денег нужно обращать внимание, игроки смогут понять из подсказок. Информацию будет проще запомнить, пройдя квест, а в мини-играх можно сразу применить эти знания на практике.
Основы финансовой грамотности закладываются в детстве. Игра поможет детям научиться распознавать фальшивки. Она может быть также полезна родителям, уделяющим внимание финансовому воспитанию, и использоваться в качестве дополнительного материала в школе на уроках по финансовой грамотности в младших классах.
Играть можно онлайн на сайте «Финансовая культура» или скачав игру на компьютер.";https://www.cbr.ru/press/event/?id=12698
5;16 февраля 2022 года;Новость;В 2021 году Банк России выявил почти 2,7 тысячи нелегальных компаний и финансовых пирамид;"Среди них 871 финансовая пирамида (в 2020 году — 222), 860 нелегальных профессиональных участников рынка ценных бумаг (в 2020 году — 395) и 948 компаний с признаками «черных кредиторов» (в 2020 году — 821).
Такая динамика объясняется несколькими факторами. Мошенники активно осваивают онлайн-пространство, где создавать новые проекты намного дешевле и проще. В то же время Банк России усовершенствовал процесс мониторинга, с помощью которого более эффективно выявляет нелегалов в Сети.
Более половины финансовых пирамид, действовавших в Интернете, привлекали средства клиентов в криптовалюте либо предлагали им вложения в различные несуществующие криптовалютные активы. Злоумышленники пользовались финансовой и цифровой неграмотностью потенциальных жертв и рекламировали инвестиции в проекты, которые невозможно реализовать даже технически.
Большинство выявленных нелегальных профессиональных участников рынка ценных бумаг — 812 из 860 — предлагали услуги форекс-дилеров. Многие из них позиционировали себя в качестве иностранных брокеров, и почти все пытались «завоевывать» клиентов в онлайне.
По инициативе Банка России в прошлом году был разделегирован или ограничен доступ более чем к 3 тысячам сайтов нелегальных участников финансового рынка и финансовых пирамид.
«Мы рекомендуем людям быть внимательнее, анализировать и оценивать все финансовые предложения, особенно те, которые касаются инвестиций. Инвестирование всегда сопряжено с риском. Поэтому надо пользоваться услугами только настоящих профессионалов, имеющих лицензию Банка России. Реестры всех легальных участников рынка размещены на сайте Банка России. Мы публикуем также так называемый предупредительный список — перечень компаний, у которых установлены признаки незаконной деятельности или финансовых пирамид. Проверяйте поступающие предложения при малейшем подозрении на то, что с вами связываются мошенники! Если же вам стало известно о таких схемах или вы оказались их жертвой, обязательно сообщайте об этом в правоохранительные органы и в Банк России. Такая информация поможет быстрее разоблачить злоумышленников», — говорит директор Департамента противодействия недобросовестным практикам Валерий Лях.";https://www.cbr.ru/press/event/?id=12695
6;16 февраля 2022 года;Новость;В Банке России состоялось заседание рабочей группы по финансированию малого и среднего предпринимательства;"Участники встречи обсудили результаты мер поддержки кредитования малого и среднего предпринимательства (МСП), дальнейшие шаги по развитию инструментов его финансирования, вопросы снижения транзакционных издержек бизнеса, работы платформы «Знай своего клиента» и другие.
Регулятор рассмотрит расширение участия в программе стимулирования кредитования региональных банков и банков с базовой лицензией, активно работающих с МСП, отметила глава Банка России Эльвира Набиуллина.
В 2022 году также планируется увеличить с 10 до 50 млн рублей предельный размер ссуд субъектам МСП, оценка риска по которым производится на основании внутрибанковских подходов. Одновременно рассматривается вопрос о калибровке шкалы резервирования по таким ссудам. Это снизит операционные издержки у заемщиков и банков, позволит банкам более оперативно выдавать кредиты большему числу заемщиков.
Дополнительно регулятор начинает собирать предложения бизнеса в дорожную карту по финансированию МСП на 2023–2024 годы.";https://www.cbr.ru/press/event/?id=12694
7;15 февраля 2022 года;Новость;Доходности денежного и долгового рынков выросли;"В январе доходности денежного и долгового рынков продолжили расти. Это было связано с ростом премии за риск и пересмотром участниками рынка ожиданий по дальнейшему изменению ключевой ставки.
Рост ставок по рублевым депозитам в декабре и январе продолжился. При этом повышение ключевой ставки пока не в полном объеме транслировалось в ставки по депозитам.
Более подробно читайте в очередном выпуске комментария «Ликвидность банковского сектора и финансовые рынки».";https://www.cbr.ru/press/event/?id=12691
8;15 февраля 2022 года;Новость;Банк России подвел итоги первых трех месяцев тестирования неквалифицированных инвесторов;"Почти 67% инвесторов, проходивших тестирование перед сделками со сложными финансовыми инструментами, смогли верно ответить на все вопросы, причем 42,5% сдали тест с первого раза. Некоторым потребовалось четыре и более попыток (7,8%). Значительная часть тех, кто не смог пройти тест с первой или повторных попыток, передумали совершать сделку.
Это следует из мониторинга, проведенного НАУФОР и НФА по заказу Банка России. Он основан на данных за октябрь — декабрь 2021 года, предоставленных 24 крупнейшими брокерами, на обслуживании которых к концу года было 19,7 млн клиентов. За три месяца тестирование попытались пройти 2,8 млн человек.
Обязательное тестирование неквалифицированных инвесторов началось 1 октября. Оно призвано помочь людям оценить свои знания и принимаемые на себя риски. В случае отрицательного результата инвестор может пройти тестирование еще раз — количество попыток не ограничено. Кроме того, даже не сумев сдать тест, он может совершить желаемую сделку на ограниченную сумму, если брокер предлагает воспользоваться правом «последнего слова». Так поступили немногим более 20 тыс. человек.
Чаще всего инвесторы проходили тестирование перед покупкой российских акций, не включенных в котировальные списки (18,7% от общего числа тех, кто сдавал тест), а также иностранных акций, не включенных в ведущие мировые индексы (18,2%). Далее с большим отрывом следовали покупки российских облигаций с низким кредитным рейтингом или без него (9,96%) и сделки с другими инструментами. В частности, тестирование для покупки облигаций со структурным доходом и структурных облигаций проходили 5,9 и 6,8% инвесторов соответственно.
Схожие результаты показал первый замер, проведенный по итогам октября 2021 года.";https://www.cbr.ru/press/event/?id=12689
9;15 февраля 2022 года;Новость;1 марта начнется олимпиада по финансовой грамотности и предпринимательству для школьников;"Всероссийская онлайн-олимпиада для учеников 1–9 классов пройдет на платформе Учи.ру. Принять участие в ней можно в течение месяца в любой день — с 1 до 31 марта.
Задания олимпиады на конкретных примерах из повседневной жизни объясняют, в чем заключается рациональная модель финансового поведения. Они помогут научиться распознавать приемы мошенников и маркетинговые уловки, планировать личные сбережения и расходы, безопасно пользоваться банковской картой. Отдельные блоки задач посвящены развитию предпринимательских качеств и бережному отношению к природе как части культуры потребления.
Участники и победители смогут пополнить свои портфолио сертификатами и грамотами, которые появятся в их личных кабинетах на Учи.ру.
Олимпиаду откроет онлайн-урок первого заместителя Председателя Банка России Владимира Чистюхина на тему «Кто есть кто на финансовом рынке». Начало урока — 1 марта в 9:30 по московскому времени. Трансляция пройдет при поддержке социальной сети ВКонтакте: в сообществе Банка России можно будет задать вопрос спикеру. Кроме этого, присоединиться к трансляции можно будет на странице урока и в личных кабинетах учителей и учеников 6–11 классов на Учи.ру.
Олимпиада проводится при содействии Банка России, Минфина России, НИФИ, Минэкономразвития России, Ассоциации развития финансовой грамотности в рамках реализации Стратегии повышения финансовой грамотности и в соответствии с задачами национального проекта «Малое и среднее предпринимательство и поддержка индивидуальной предпринимательской инициативы». Участие в ней бесплатное.
В 2021 году в олимпиаде участвовали более 800 тыс. школьников.";https://www.cbr.ru/press/event/?id=12683
10;15 февраля 2022 года;Новость;Цифровой рубль: старт тестирования;"Банк России и участники рынка приступили к тестированию платформы цифрового рубля и успешно провели первые переводы в цифровых рублях между гражданами.
Создание прототипа платформы цифрового рубля было завершено в декабре 2021 года. Принять участие в тестировании платформы выразили желание 12 банков.
Сейчас три банка из пилотной группы уже подключились к платформе. Два из них успешно провели полный цикл операций по переводу цифровых рублей между клиентами с использованием банковских мобильных приложений. Клиенты не только открыли через мобильное приложение цифровые кошельки на платформе цифрового рубля, но и обменяли безналичные рубли со своих счетов на цифровые и затем провели операции перевода цифровых рублей между собой. Остальные участники пилотной группы планируют подключиться к тестированию платформы цифрового рубля по мере завершения доработок своих ИТ-систем.
Взаимодействие Банка России и участников рынка по операциям с цифровыми рублями строится по принципу двухуровневой розничной модели. Банк России является эмитентом цифровых рублей и оператором платформы. При этом клиенты открывают кошельки и проводят по ним операции на платформе цифрового рубля через финансовые организации. Уникальность цифрового рубля состоит в том, что будет обеспечена возможность доступа к своему цифровому кошельку через мобильное приложение любого банка, в котором обслуживается клиент.
«Платформа цифрового рубля — это новые возможности для граждан, бизнеса и государства. Мы планируем, что для граждан переводы в цифровых рублях будут бесплатными и доступными в любом регионе страны, а для бизнеса это снизит издержки и создаст возможности для разработки инновационных продуктов и сервисов. Государство же получит новый инструмент для целевых выплат и администрирования бюджетных платежей, — отметила первый заместитель Председателя Банка России Ольга Скоробогатова. — В течение этого года мы будем тестировать различные сценарии и дорабатывать платформу цифрового рубля. На последующих этапах развития платформы мы также планируем предусмотреть бесшовное взаимодействие с цифровыми платформами и цифровыми экосистемами».
На первом этапе будет протестирован выпуск цифровых рублей, открытие цифровых кошельков банкам и гражданам, а также переводы между гражданами. На втором этапе планируется протестировать операции по оплате товаров и услуг в торгово-сервисных предприятиях, платежи за государственные услуги, реализацию смарт-контрактов, а также взаимодействие с Федеральным казначейством. В дальнейшем предполагается внедрить возможность оплаты в местах без Интернета (офлайн-режим), организовать взаимодействие с финансовыми посредниками и цифровыми платформами, а также предусмотреть возможность проведения операций с цифровым рублем для клиентов-нерезидентов.
По результатам тестирования будет сформирована дорожная карта внедрения платформы цифрового рубля.";https://www.cbr.ru/press/event/?id=12685
