0;1;2;3;4;5
1;11 февраля 2022 года;Пресс-релиз;Банк России принял решение повысить ключевую ставку на 100 б.п., до 9,50% годовых;"Совет директоров Банка России 11 февраля 2022 года принял решение повысить ключевую ставку на 100 б.п., до 9,50% годовых. Инфляция складывается значительно выше октябрьского прогноза Банка России. Расширение спроса продолжает опережать возможности наращивания выпуска. Быстрый рост экономической активности при ограниченности свободных трудовых ресурсов усиливает инфляционное давление. Проинфляционной остается конъюнктура мировых товарных рынков. Инфляционные ожидания пока не снижаются, оставаясь на многолетних максимумах. В этих условиях баланс рисков для инфляции еще больше сместился в сторону проинфляционных. Проводимая Банком России денежно-кредитная политика направлена на возвращение инфляции к 4%.
При развитии ситуации в соответствии с базовым прогнозом Банк России допускает возможность дальнейшего повышения ключевой ставки на ближайших заседаниях. Решения по ключевой ставке будут приниматься с учетом фактической и ожидаемой динамики инфляции относительно цели, развития экономики на прогнозном горизонте, а также оценки рисков со стороны внутренних и внешних условий и реакции на них финансовых рынков. По прогнозу Банка России, с учетом проводимой денежно-кредитной политики годовая инфляция снизится до 5,0–6,0% в 2022 году и вернется к цели в середине 2023 года. В дальнейшем годовая инфляция будет находиться вблизи 4%.
Динамика инфляции. Инфляция складывается значительно выше октябрьского прогноза Банка России. В январе месячные сезонно сглаженные темпы роста потребительских цен вновь выросли после снижения в декабре, тем не менее были ниже пиковых значений осени 2021 года. Годовая инфляция в январе увеличилась до 8,7% (после 8,4% в декабре 2021 года). По оценке на 4 февраля, она составила 8,8%.
Показатели, характеризующие наиболее устойчивые процессы ценовой динамики, по оценкам Банка России, продолжают находиться значимо выше 4% в годовом выражении. Это является отражением того, что устойчивый рост внутреннего спроса опережает возможности расширения производства по широкому кругу отраслей. На этом фоне предприятиям легче переносить в цены возросшие издержки, в том числе связанные с ростом цен на мировых рынках. При этом дальнейшее расширение производства ограничено растущей нехваткой рабочей силы.
Инерцию роста цен усиливают высокие и незаякоренные инфляционные ожидания населения и бизнеса. В январе инфляционные ожидания населения несколько снизились, но оставались вблизи максимумов за последние шесть лет. Последние данные указывают на рост ценовых ожиданий предприятий и обновление ими многолетних максимумов. Ожидания профессиональных аналитиков на 2022 год повысились, однако на среднесрочную перспективу заякорены вблизи 4%.
Преобладающее влияние проинфляционных факторов привело к значительному и продолжительному отклонению инфляции вверх от цели. По прогнозу Банка России, с учетом проводимой денежно-кредитной политики годовая инфляция снизится до 5,0–6,0% в 2022 году и вернется к цели в середине 2023 года. В дальнейшем годовая инфляция будет находиться вблизи 4%.
Денежно-кредитные условия, по оценкам Банка России, перешли от мягких к нейтральным. Рост фактической инфляции и высокие инфляционные ожидания в настоящий момент сдерживают их переход в область жестких значений. С момента предыдущего заседания Совета директоров Банка России доходности краткосрочных ОФЗ увеличились, преимущественно отражая ожидания рынка по траектории ключевой ставки. Доходности средне- и долгосрочных ОФЗ также выросли, в основном из-за усиления геополитической напряженности. Продолжается увеличение кредитных и депозитных ставок. Вместе с тем рост номинальных процентных ставок пока не обеспечил достаточного увеличения склонности к сбережению и не привел к более сбалансированной динамике кредитования. Приток средств на срочные рублевые депозиты происходит умеренным темпом. Одновременно с этим сохраняется высокая активность на рынке как розничного, так и корпоративного кредитования.
Проводимая Банком России денежно-кредитная политика ускорит формирование жестких денежно-кредитных условий, необходимых для возвращения инфляции к цели и ограничения воздействия текущей высокой инфляции на долгосрочные процентные ставки. Это укрепит тенденцию к повышению привлекательности депозитов для населения, защитит покупательную способность сбережений, обеспечит сбалансированный рост кредитования и экономики в целом.
Экономическая активность. По оценкам Банка России, в IV квартале 2021 года российская экономика заметно отклонилась вверх от траектории сбалансированного роста. Ускоренный рост кредитования, рост реальных заработных плат и невысокая склонность домашних хозяйств к сбережению, обусловленная повышенными инфляционными ожиданиями, поддерживают рост потребительской активности, особенно на рынках непродовольственных товаров. Растущий внутренний и внешний спрос и высокие корпоративные прибыли оказывают поддержку инвестиционной активности.
Ограничения со стороны предложения в российской экономике связаны не только с такими временными проблемами, как перебои в производственных и логистических цепочках, но также и с более устойчивыми факторами. Это в первую очередь касается рынка труда. Спрос на рабочую силу продолжает расти по широкому кругу отраслей. При этом во многих секторах наблюдается ее дефицит, несмотря на приток иностранной рабочей силы. Уровень безработицы находится на историческом минимуме, а число вакансий — на исторических максимумах. Ситуация на рынке труда указывает на то, что в дальнейшем увеличение устойчивых темпов роста российской экономики будет прежде всего определяться темпами роста производительности труда.
Согласно обновленному базовому прогнозу, рост ВВП в 2022 году составит 2,0–3,0%. В 2023 году российская экономика, по прогнозу Банка России, вырастет на 1,5–2,5%, в 2024 году — на 2,0–3,0%. Это предполагает, что российская экономика вернется на траекторию сбалансированного роста к концу 2023 года и далее будет развиваться темпом, соответствующим ее потенциалу.
Инфляционные риски. Баланс рисков еще более сместился в сторону проинфляционных. Действие проинфляционных факторов может быть усилено повышенными инфляционными ожиданиями и сопутствующими вторичными эффектами.
Замедлению инфляции могут препятствовать более медленная, чем ожидается в базовом сценарии, нормализация производственных и логистических цепочек, дефицит трудовых ресурсов, а также структурные изменения на рынке труда в результате влияния пандемии. Усиление дефицита трудовых ресурсов может привести к отставанию темпов роста производительности труда от роста заработной платы.
Вследствие активного роста спроса в мировой экономике проинфляционные риски со стороны ценовой конъюнктуры мировых товарных рынков еще возросли. Это в первую очередь касается рынков энергоносителей и продовольствия.
Усилились краткосрочные проинфляционные риски, связанные с волатильностью на глобальных финансовых рынках, в том числе под влиянием различных геополитических событий, что может отражаться на курсовых и инфляционных ожиданиях. Из-за дальнейшего усиления инфляционного давления в мировой экономике ускоряется нормализация денежно-кредитной политики центральными банками развитых стран. Это может стать дополнительным фактором роста волатильности на мировых финансовых рынках, особенно в странах с формирующимися рынками.
Дезинфляционные риски для базового сценария остаются умеренными и в основном связаны со скоростью и масштабом подстройки предложения к растущему спросу. Понижательное давление на цены может оказать более быстрая, чем ожидается в базовом сценарии, нормализация производственных и логистических цепочек в российской и мировой экономике. Открытие границ по мере снятия ограничительных мер может восстановить потребление зарубежных услуг.
На среднесрочную динамику инфляции значимо влияет бюджетная политика. В базовом сценарии Банк России исходит из заложенной в Основных направлениях бюджетной, налоговой и таможенно-тарифной политики траектории нормализации бюджетной политики, предполагающей возвращение к параметрам бюджетного правила в 2022 году. Банк России также учитывает в прогнозе принятые Правительством Российской Федерации решения об инвестировании ликвидной части Фонда национального благосостояния.
При развитии ситуации в соответствии с базовым прогнозом Банк России допускает возможность дальнейшего повышения ключевой ставки на ближайших заседаниях. Решения по ключевой ставке будут приниматься с учетом фактической и ожидаемой динамики инфляции относительно цели, развития экономики на прогнозном горизонте, а также оценки рисков со стороны внутренних и внешних условий и реакции на них финансовых рынков.
По итогам заседания Совета директоров по ключевой ставке 11 февраля 2022 года Банк России опубликовал среднесрочный прогноз.
Следующее заседание Совета директоров Банка России, на котором будет рассматриваться вопрос об уровне ключевой ставки, запланировано на 18 марта 2022 года. Время публикации пресс-релиза о решении Совета директоров Банка России — 13:30 по московскому времени.
 
Заявление Председателя Банка России Эльвиры Набиуллиной по итогам заседания Совета директоров Банка России 11 февраля 2022 года
 
При использовании материала ссылка на Пресс-службу Банка России обязательна.";https://www.cbr.ru/press/pr/?file=11022022_133000Key.htm
2;18 февраля 2022 года;Пресс-релиз;Информация о работе платежной системы Банка России 19 и 20 февраля 2022 года;"Платежная система Банка России 19 и 20 февраля 2022 года будет функционировать в соответствии с графиком.
При использовании материала ссылка на Пресс-службу Банка России обязательна.";https://www.cbr.ru/press/pr/?file=18022022_210822NPS18022022_211844.htm
3;18 февраля 2022 года;Пресс-релиз;На сайте Банка России пройдут технические работы;"19 февраля 2022 года возможны кратковременные замедления в работе официального сайта Банка России, связанные с проведением технических работ.
Приносим извинения за возможные неудобства.
При использовании материала ссылка на Пресс-службу Банка России обязательна.";https://www.cbr.ru/press/pr/?file=16022022_121208SITE16022022_121305.htm
4;17 февраля 2022 года;Пресс-релиз;Информация к Реестру кредитных организаций, признанных Банком России значимыми на рынке платежных услуг;"В соответствии с пунктом 5.1 Указания Банка России от 06.11.2014 № 3439-У «О порядке признания Банком России кредитных организаций значимыми на рынке платежных услуг» Банк России информирует об аннулировании 14.02.2022 записи о регистрации кредитной организации ПАО КБ «Восточный» (рег. номер № 1460), признанной Банком России значимой на рынке платежных услуг и включенной в соответствующий реестр1.
1 Реестр кредитных организаций, признанных Банком России значимыми на рынке платежных услуг, опубликован в «Вестнике Банка России» № 19 (2259) от 24.03.2021.
При использовании материала ссылка на Пресс-службу Банка России обязательна.";https://www.cbr.ru/press/pr/?file=17022022_190034NPS17022022_190152.htm
5;15 февраля 2022 года;Пресс-релиз;Результаты мониторинга максимальных процентных ставок кредитных организаций;"Результаты мониторинга в феврале 2022 года максимальных процентных ставок по вкладам1 в российских рублях десяти кредитных организаций2, привлекающих наибольший объём депозитов физических лиц:
I декада февраля — 7,80%.
Сведения о динамике результатов мониторинга представлены на официальном сайте Банка России.
1 При определении максимальной процентной ставки по каждой кредитной организации:
— учитываются максимальные ставки по вкладам, доступным любому клиенту (в том числе потенциальному) без ограничений и предварительных условий. Вклады для выделенных категорий клиентов (пенсионеры, дети) и целей (на социальные и гуманитарные цели и т.п.) не рассматриваются;
— не учитываются ставки с капитализацией процентов по вкладу;
— не учитываются ставки, действующие при соблюдении определенных условий (регулярный оборот по банковской карте, постоянный неснижаемый остаток на банковской карте и т.п.);
— не рассматриваются комбинированные депозитные продукты, т.е. вклады с дополнительными условиями. Такими дополнительными условиями начисления повышенной процентной ставки могут быть, например, приобретение инвестиционных паев на определенную сумму, открытие инвестиционного счета, оформление программы инвестиционного или накопительного страхования жизни, подключение дополнительного пакета услуг и т.п.;
— не рассматриваются вклады, срок которых разделен на периоды с различными ставками.
Индикатор средней максимальной процентной ставки рассчитывается как средняя арифметическая максимальных процентных ставок 10 кредитных организаций.
2 ПАО СБЕРБАНК (1481) — www.sberbank.ru, Банк ВТБ (ПАО) (1000) — www.vtb.ru, БАНК ГПБ (АО) (354) — www.gazprombank.ru, АО «АЛЬФА-БАНК» (1326) — alfabank.ru, АО «РОССЕЛЬХОЗБАНК» (3349) — www.rshb.ru, ПАО БАНК «ФК ОТКРЫТИЕ» (2209) — www.open.ru, АО «РАЙФФАЙЗЕНБАНК» (3292) — www.raiffeisen.ru, «ТИНЬКОФФ БАНК» (2673) — www.tinkoff.ru, ПАО «МОСКОВСКИЙ КРЕДИТНЫЙ БАНК» (1978) — mkb.ru, ПАО «Промсвязьбанк» (3251) — psbank.ru. Мониторинг проведен Департаментом банковского регулирования и аналитики Банка России с использованием информации, представленной на указанных веб-сайтах. Публикуемый показатель является индикативным.
При использовании материала ссылка на Пресс-службу Банка России обязательна.";https://www.cbr.ru/press/pr/?file=15022022_094136IK15022022_094542.htm
6;11 февраля 2022 года;Пресс-релиз;Отозвана лицензия на осуществление банковских операций у НКО «ЕРП» (ООО);"Банк России приказом от 11.02.2022 № ОД-285 отозвал лицензию на осуществление банковских операций у Небанковской кредитной организации «Единая Расчетная Палата» (Общество с ограниченной ответственностью) НКО «ЕРП» (ООО) (рег. № 384-К, Московская область, г. Сергиев Посад, далее — НКО «ЕРП»). По величине активов кредитная организация занимала 337 место в банковской системе Российской Федерации1. НКО «ЕРП» не является участником системы страхования вкладов.
Банк России принял такое решение в соответствии с п. 6 части первой ст. 20 Федерального закона «О банках и банковской деятельности»2, руководствуясь тем, что НКО «ЕРП»:
Деятельность НКО «ЕРП» была в значительной степени ориентирована на оказание услуг в области электронной коммерции. Кредитной организацией проводились непрозрачные операции, в том числе по переводу денежных средств за рубеж.
В НКО «ЕРП» назначена временная администрация Банка России3, которая будет действовать до момента назначения конкурсного управляющего4 либо ликвидатора5. Полномочия исполнительных органов кредитной организации в соответствии с федеральными законами приостановлены.
1  Согласно данным отчетности на 01.01.2022.
2  Решение Банка России принято в связи с неисполнением кредитной организацией федеральных законов, регулирующих банковскую деятельность, а также нормативных актов Банка России, с учетом неоднократного применения в течение одного года мер, предусмотренных Федеральным законом «O Центральном банке Российской Федерации (Банке России)».
3  В соответствии с приказом Банка России от 11.02.2022 № ОД-286.
4  В соответствии со статьями 127 и 189.68 Федерального закона «О несостоятельности (банкротстве)».
5  В соответствии со статьей 23.1 Федерального закона «О банках и банковской деятельности».
При использовании материала ссылка на Пресс-службу Банка России обязательна.";https://www.cbr.ru/press/pr/?file=11022022_083141pr2.htm
7;11 февраля 2022 года;Пресс-релиз;Отозвана лицензия на осуществление банковских операций у АО Банк «ККБ»;"Банк России приказом от 11.02.2022 № ОД-283 отозвал лицензию на осуществление банковских операций у Акционерного общества «Консервативный коммерческий банк» АО Банк «ККБ» (рег. № 1087, г. Астрахань, далее — Банк «ККБ»). По величине активов кредитная организация занимала 164 место в банковской системе Российской Федерации1.
Банк России принял такое решение в соответствии с п.п. 6 и 6.1 части первой ст. 20 Федерального закона «О банках и банковской деятельности»2, руководствуясь тем, что Банк «ККБ»:
Банк «ККБ» фактически не осуществлял традиционную банковскую деятельность, специализируясь на оказании услуг в области электронной коммерции. Банком «ККБ» не проводилась работа по изучению экономического смысла операций клиентов, источники денежных средств по которым были непрозрачны. Деятельности кредитной организации были присущи повышенные риски ее вовлечения в обслуживание «теневого» игорного бизнеса, нелегальных участников финансового рынка.
Приказом Банка России от 11.02.2022 № ОД-284 в Банк «ККБ» назначена временная администрация, функции которой возложены на Государственную корпорацию «Агентство по страхованию вкладов» (далее – Агентство). Временная администрация будет действовать до момента назначения конкурсного управляющего3 либо ликвидатора4. Полномочия исполнительных органов кредитной организации в соответствии с федеральными законами приостановлены.
Информация для вкладчиков: Банк «ККБ» является участником системы страхования вкладов, поэтому суммы вкладов будут возвращены вкладчикам5 в размере 100% остатка средств, но не более 1,4 млн рублей в совокупности на одного вкладчика (включая начисленные проценты по вкладам), с учетом особенностей, установленных главой 2.1 Федерального закона «О страховании вкладов в банках Российской Федерации».
Выплата вкладов производится Агентством. Подробная информация о порядке выплат может быть получена вкладчиками круглосуточно по телефону горячей линии Агентства (8 800 200-08-05), а также на сайте Агентства в сети Интернет (https://www.asv.org.ru/).
1  Согласно данным отчетности на 01.01.2022.
2  Решение Банка России принято в связи с неисполнением кредитной организацией федеральных законов, регулирующих банковскую деятельность, и нормативных актов Банка России, неоднократным нарушением в течение одного года требований, предусмотренных статьей 7 (за исключением пункта 3 статьи 7) Федерального закона «O противодействии легализации (отмыванию) доходов, полученных преступным путем, и финансированию терроризма», а также требований нормативных актов Банка России, изданных в соответствии с указанным Федеральным законом, с учетом неоднократного применения в течение одного года мер, предусмотренных Федеральным законом «O Центральном банке Российской Федерации (Банке России)».
3  В соответствии со статьями 127 и 189.68 Федерального закона «О несостоятельности (банкротстве)».
4  В соответствии со статьей 23.1 Федерального закона «О банках и банковской деятельности».
5  Вкладчик — гражданин Российской Федерации, иностранный гражданин, лицо без гражданства, в том числе осуществляющие предпринимательскую деятельность, или юридическое лицо, указанное в статье 5.1 Федерального закона «О страховании вкладов в банках Российской Федерации», заключившие с банком договор банковского вклада или договор банковского счета, либо любое из указанных лиц, в пользу которого внесен вклад и (или) которое является владельцем сберегательного сертификата, либо лицо, являющееся владельцем специального счета (специального депозита), предназначенного для формирования и использования средств фонда капитального ремонта общего имущества в многоквартирном доме, открытого в соответствии с требованиями Жилищного кодекса Российской Федерации.
При использовании материала ссылка на Пресс-службу Банка России обязательна.";https://www.cbr.ru/press/pr/?file=11022022_073806pr1.htm
8;9 февраля 2022 года;Пресс-релиз;Опубликована новая редакция Условий проведения операций по предоставлению и погашению кредитов Банка России;"Новая редакция Условий проведения операций по предоставлению и погашению кредитов Банка России, обеспеченных ценными бумагами или правами требования по кредитным договорам (далее — Условия), будет применяться с 1 апреля 2022 года.
Документ подготовлен в связи с переходом с 1 апреля 2022 года на использование при проведении операций Банка России по предоставлению ликвидности кредитным организациям кредитных рейтингов вместо классификационных групп. В соответствие с новым подходом приведены основания для возникновения у Банка России права потребовать от кредитной организации досрочного погашения кредитов Банка России (пункт 23.1 Условий).
Кроме того, опубликована новая редакция формы договора об участии в операциях по предоставлению и погашению кредитов Банка России, обеспеченных ценными бумагами или правами требования по кредитным договорам (далее — договор), которая будет применяться с 10 февраля 2022 года.
В целях приведения заключенных договоров в соответствие с новой редакцией формы договора Банк России направит кредитным организациям для подписания дополнительные соглашения к договорам.

При использовании материала ссылка на Пресс-службу Банка России обязательна.";https://www.cbr.ru/press/pr/?file=09022022_170500PR2022-02-09T17_01_56.htm
9;8 февраля 2022 года;Пресс-релиз;Банк России начинает предварительный отбор аудиторских организаций, которым может быть поручено проведение проверок некредитных финансовых организаций;"Банк России объявляет1 о начале предварительного отбора аудиторских организаций, которым Банк России может поручить проведение проверок некредитных финансовых организаций.
В предварительном отборе вправе принимать участие аудиторская организация, соответствующая следующим критериям2:
— созданная в соответствии с законодательством Российской Федерации;
— являющаяся членом саморегулируемой организации аудиторов3;
— обладающая безупречной деловой репутацией;
— осуществлявшая в течение пяти лет, предшествовавших дате подписания руководителем аудиторской организации заявки на участие в предварительном отборе, аудиторские проверки некредитных финансовых организаций;
— не имевшая в течение трех лет, предшествовавших дате подписания руководителем аудиторской организации заявки на участие в предварительном отборе, фактов применения к аудиторской организации мер4 дисциплинарного и иного воздействия;
— не имевшая в течение трех лет, предшествовавших дате подписания руководителем аудиторской организации заявки на участие в предварительном отборе, фактов наличия вступивших в законную силу решений суда об удовлетворении требований клиентов к аудиторской организации (аудиторам, являющимся работниками аудиторской организации), возникших в связи с оказанием аудиторских услуг и (или) услуг, связанных с аудиторской деятельностью, указанных в пунктах 1–7 части 7 статьи 1 Федерального закона «Об аудиторской деятельности»;
— являющаяся страхователем ответственности за нарушение договора оказания аудиторских услуг и (или) за причинение вреда имуществу других лиц в результате осуществления аудиторской деятельности.
Заявка на участие в предварительном отборе составляется в соответствии с требованиями к ее оформлению5 и представляется6 в срок не позднее 15 рабочих дней со дня размещения настоящего информационного сообщения на официальном сайте Банка России в сети Интернет.
Заявка на бумажном носителе и в электронном виде (на отчуждаемых (съемных) машинных носителях информации) направляется7 аудиторской организацией в Банк России по адресу: 107016, Москва, ул. Неглинная, д. 12 (с пометками «Представлено на основании Положения Банка России от 7 августа 2014 года № 426-П «О порядке проведения отбора аудиторских организаций для проведения проверок некредитных финансовых организаций по поручению Банка России», «На предварительный отбор») заказным почтовым отправлением с уведомлением о вручении.
На конверте указываются полное и сокращенное (при наличии) фирменные наименования аудиторской организации.
1 В соответствии с пунктами 1.1 и 1.3 Положения Банка России от 07.08.2014 № 426-П «О порядке проведения отбора аудиторских организаций для проведения проверок некредитных финансовых организаций по поручению Банка России», зарегистрированного Министерством юстиции Российской Федерации 25.08.2014 № 33834, 08.07.2020 № 58879 (далее — Положение Банка России № 426-П).
2 Критерии установлены пунктом 2.1 Положения Банка России № 426-П.
3 В соответствии с требованиями статьи 3 Федерального закона от 30.12.2008 № 307-ФЗ «Об аудиторской деятельности» (далее — Федеральный закон «Об аудиторской деятельности»).
4 Меры, предусмотренные частями 1 и 6 статьи 20 Федерального закона «Об аудиторской деятельности» (за исключением мер дисциплинарного и иного воздействия, предусмотренных пунктами 1–3 и 6 части 1 и пунктами 1 и 2 части 6 статьи 20 Федерального закона «Об аудиторской деятельности», в случае своевременного и полного исполнения аудиторской организацией решения о применении в отношении данной аудиторской организации соответствующих мер дисциплинарного и иного воздействия).
5 По форме в приложении 1 к Положению Банка России № 426-П с соблюдением требований, установленных пунктами 1.6 и 2.3 Положения Банка России № 426-П.
6 В соответствии с пунктом 2.4 Положения Банка России № 426-П.
7 В соответствии с абзацем шестым пункта 1.6 Положения Банка России № 426-П.
При использовании материала ссылка на Пресс-службу Банка России обязательна.";https://www.cbr.ru/press/pr/?file=08022022_120000PP08022022_113627.htm
